path	bytes	sha256
.gitattributes	202	5633f67ccbd8cf92a0cc0035c9acd92ef2c35dfef309d6f78ebc3e6f47c6514f
.gitignore	468	442f58736a4f707d26fcdffef2be99bde245b583dd254a94e23351221c58c470
CITATION.cff	974	2d249370200bfa78779d1f419a6eae9c3ea2bf8c28c1304ba0540ed023d85dce
LICENSE	1366	9047cc6b5c63544d5bdbfd17ba49f980ba0bfac3b4733b118b4446467186c9a4
README.md	3996	a7a3bb6ed116cbeb592525e93d3a8c46edfde9e727eca0782cd83bf6869846f3
THIRD_PARTY_NOTICES.md	3861	93143ff54bcfa9538de010b126e0f420a0fe6aa0f9f30c75c29699fc7da0386c
analysis/analyze_cross_platform_state_anchor.py	26175	c36b1f5ae5ea8e899489741ab85c00dd37715b451545af5ea6805f5b366692a8
analysis/analyze_escrivaconde2026_slpi_state_composition.py	24725	317473c36ede65d8a0db738c6ab922c6987fd5da26c972bf13f6499f357b869b
analysis/analyze_gata6_functional_competitor_projection.R	16824	c0ac6dc2db50a3bb28529c6db10066652bc259f87b4ec1f8a53fef1b74eed050
analysis/analyze_gata6_serial_metastatic_selection_projection.R	19657	8555671bb151480c6d2a2600b95c28dd548a073a42dc88fe226b29496ba8726b
analysis/analyze_gse294385_rec_program_extension.py	32344	1b6c07a36778618e20d344a83dc9260c15cedcd4ccd72ca30cc5e9e41931e4fe
analysis/analyze_hgp_interface_ecology.py	40045	6afc5120dd2f3443941d07a568762e9708f738c5258e6b121218d2f3a021e860
analysis/analyze_iss_nc3_cohesive_dual_interface.py	22766	2523486fef929c46ff3b3eeea3182050efb0cd0ed7a552d29a17f1d1ddaa596e
analysis/analyze_iss_state_specific_liver_adjacency.py	18572	4e66df99208c365820c342d24299e645f725de6c8361d8a7084030d158ab4192
analysis/analyze_ogden_anchor_program.R	17703	e1ada33d9fab84ee1b0aedcb8cbbc39b9459235528a8a1309dd455133eacced6
analysis/analyze_ogden_direct_state_contrasts.R	9694	e2971e3b0f74499a64eb414c95479399853e5be70ffa0331f994f3c3bed678fc
analysis/analyze_ogden_rec_within_cell_coexistence.py	30258	9de7f78a1981a47cf08339be0eb719d33e954a12bd1829e6a63500c7dbfe0b8b
analysis/analyze_ogden_regulatory_junction_bridge.R	14307	2b53cf976172b1c89aa1f8e55b096988f7897df03e7e7a0e69d9d363be1bf4a4
analysis/analyze_ogden_regulatory_junction_coexistence.py	25620	f9e9a0c08a722349ddded810b5d28ff819b95f0f12a0e6f7f6accc20f70382de
analysis/analyze_paper_bulk_context.R	13589	4f3ad6e09d25bfb2d36b7aa826fc9ef44694948ae8d8870f5ac5fdda26d7c950
analysis/analyze_paper_hgp_reference.R	5753	8f70604a726a22caa59f42e3d3c4a9f9fca9ac144ffe99212c0bc8b10c094722
analysis/analyze_plexinb2_functional_projection.py	21654	79e8c92199684c9acdaf4c09245a6ae63f5e1e827b75c538d6204dee667ec84f
analysis/analyze_rec_c8_tight_junction_bridge.py	14065	35305c1c1b2fee3e65ab1e4d8624547a5832389ec9003a0cf9e47343f044a9a2
analysis/analyze_rec_epithelial_coexpression.py	10549	01ce44fcbd589c3b0ba247c3bcdfc92690ec0edcc263cd505a0201d4234ed932
analysis/analyze_rec_evidence_bridge_counts.R	8989	3edfd8c3a4d843fbc30598d8019a873ee4a7a192856885dd4ae8bf40b55017ee
analysis/analyze_rec_evidence_bridge_spatial.py	13637	3bac932ec0859a67bbbe99cd4b70bc1e0318121d319c78c5978f4ed44b57d17b
analysis/analyze_rec_external_rival_programs.R	22443	3aa130561cac42194a5b0252dd402fae1dfb34403a16d731a42942ebb06cd876
analysis/analyze_rec_junction_cells.py	8179	ba89d13705f8fed96d2bcbc6f61859ed52a9caff12d79a765297ce41195d59ca
analysis/analyze_rec_junction_contexts.py	9991	72ab598fac3dc4fa823207189c6d22c85c2dcb1d259e7d59c6fd557c3c95f2f9
analysis/analyze_rec_junction_neighbourhoods.py	8233	496d5a0f02739da77745e086c0b424df50fd993be02b336acc2813377d9dcb16
analysis/analyze_rec_junction_sensitivities.py	7879	480c0a75db6be91bf715b874db4cf51f4fbbaad6d913fd9ed2928541982fa42d
analysis/analyze_rec_paired_state_correlations.py	3412	c756485a94cc27da9e2c45636090aad80c971720b46bbb803e0212841f755366
analysis/analyze_rec_program_cross_modal_concordance.py	13096	e648eb57ca8e2c348450316ce154801e52d496947d2e7604cd20701e61456e93
analysis/analyze_rec_program_gse151165_bulk_projection.R	12537	8693d14b77fb685e7cd3534aca987f87cd34a9eabc3f0fb9f8550a5f2e1d505e
analysis/analyze_rec_program_hgp_scrna_projection.py	25391	4c1a349c1751f85da86e434d341d24aa974f85fb40a2bf44acf4e2502a260837
analysis/analyze_rec_program_hgp_spatial_projection.py	40644	86958e20517e31440e6d11fbff267a3bc01baa7344ca2669ee9647cd89510e71
analysis/analyze_rec_program_latacz_interface_summary.R	7069	4a0a74d2ebc5d77e4790af3723530763de1012e88083d63e270289b3f46fba63
analysis/analyze_rec_program_multisource_core.R	7495	8aecf599bed15c733c8c7da33ed66e505eb22397b4c414d3dea9544e9c8c49ca
analysis/analyze_rec_program_two_axis_interpretation.py	9088	f196f547611c7a08ab0b6ffa78785a7b6de5b0e0f2c2aeef2d6fbc69c55c5ff4
analysis/analyze_rec_public_clinical.R	8712	c6de5235ce8a45c965500c3c228304127fed601f966108158298e00b58dd269e
analysis/analyze_rec_public_mapk.R	3206	deaa763f920572dcaba6b251f5a12f7bfb4cae0e7e64dc42e6f8b0b4295c1c49
analysis/analyze_rec_public_proteomics.R	6829	c5f0c7f2944316ef921d081b32fc64f61ffd282bd14a8e1a9981286b208f8e96
analysis/analyze_rec_public_specificity.R	6449	0ab9091a03273e8401ccf912ffffc2c9011d78c057ccf107e96ed3badf289363
analysis/analyze_rec_public_within_cell.py	6543	d22b81dd12f7715ff36f1471eed10f06bd4ef7ab7c5c54a5294d0d493ac9de81
analysis/analyze_rec_q2_external.py	16779	66fbc93f559f8890684fea8a95ba17ad411e1e7d31b8ef808247239097848d20
analysis/analyze_rec_q2_regional.R	9052	ec06da7ab6e67ea5916b6444b7502af54cc7b03abac24b8b1837885833b20a87
analysis/analyze_rec_reinforcement_bulk.R	6285	13cf1145eccbb469ae4b79c47b1e97b6b85c739746d2101e421bc7cef2d171c1
analysis/analyze_rec_reinforcement_cells.py	8118	33af2f4298aaaab6419e500e05e95a0964fc68a7ec5484f84de94c6292f77a4d
analysis/analyze_rec_reinforcement_sections.R	3883	e9a9e26885c8f949c3226fa9808aa75f5467936f4fc076617e6e2bb9112b0b6c
analysis/audit_rec_junction_measurement.py	11091	5e10ee14a637e5ca872d121d9497dffea60caa9ca32af3b2f6a3d1f76cadc3bc
analysis/diagnose_rec_reinforcement_normalization.R	3289	d4bae22c273b0d77d94e054f2bbb8b5085f862e0ae31b048a553f77d95fc2358
analysis/meta_rec_q2_external.R	3681	d723de285921a3034b2811e3a8dfac457c8e2e512a9aa66718fcb7facb21fbe3
analysis/prepare_ogden_direct_state_pseudobulks.py	7605	a4be050e99704af875eb75c9fea27296f08a1c2f982a556225bc780b103130de
analysis/prepare_paper_regional_counts.R	20345	57e8973076aa81f6667aa497970d21e4a26413ebc49a91ded286810c04c4cb2f
analysis/prepare_rec_clinical_matrix.py	2887	c69b0f03aff57a76dd36faeae77177fb3d7d77580b8106c98c1da3315e39ee41
analysis/prepare_rec_mapk_pseudobulk.py	4015	0388234a85af7c51e4b19c267cf375fe78c11c88f2d71d2fc18b07bc00a23c94
analysis/prepare_rec_program_spatial_display.py	8335	a9f442f0bebf615478228708939c24bc67d938cc27ae5a3f45a6bc5de39d0cbf
analysis/prepare_rec_reinforcement_sections.py	3407	2f380b696066d7451126688d112374522189ed58ab82a3a8de10ab46abf057f4
analysis/prepare_slpi_iss_publication_maps.py	5250	4c8191de803e4696809fff1d96379725435858512cf722fd1f46d55f22692aec
analysis/rec_junction_context_common.py	5559	fd51c79edba5497391d02614a209a7f32032f6595342fc71e20812299ef971ca
analysis/rec_public_upgrade_common.R	2576	4b10fcecb43f5742ca1f042c134fa716a77079b4a6ad80624aa08b13b85e9c13
analysis/rec_public_upgrade_common.py	1012	bbd2933b033574be808eac4cff3544d7c3570d69b5ad9d18a4c585cd34a9341c
analysis/reproduce_retained_rec44_spatial.py	1652	69c57017391cc7c6eafe5ea5829e50a62d8f535a221e3d6dc99fa26d39c6276a
analysis/run_ogden_direct_state_gsea.py	11837	cfa05dbf4b024f1f470a869d873149de2066a4d8a34af6056f88f321bd932687
analysis/summarize_paper_compartments.py	497	206b25e4f383e9e2d73fd468ee3ba455f6a61e420b79abe0f67df51defbbb612
analysis/summarize_paper_hgp_scores.py	5414	a59773e038300a53b49b5754084e1c274182812700f72191fad10738c62db490
analysis/summarize_paper_members.py	4678	26dba88d11b912d45fe6c888abe470f0321822b3358fdde725d4f27ce6a3074e
analysis/summarize_paper_rec50_omissions.py	1100	75607d8571754c4c4a65c3cbb0b814a7e2ea3386dad45eb84d9ab7d3f4d0a6d8
analysis/summarize_paper_rivals.R	705	971a35093359b6357335c2daf48066dddd0dfad7e7a059f38751134de51dddbc
analysis/summarize_paper_state_evidence.py	7362	127dac5e9856f5fd3f6f814bf0f4d6b436e0f61b37d9c509d3412bf2a1a63b18
assets/Study_design_connections.tsv	526	dbea37969369ea1d5f323b8f2ad0025486c51796ef1f30504e89e42851fc91ea
assets/Study_design_sources.tsv	317	f278c88758226739263c2d74c1cbe4515d29fa0ebf6d5c30447ad5d33addaa6e
assets/icon_view_windows.json	270	0bdd408b31f000f42acd2faa87193b69307c8e5b32ac15be9e1d9277a8211e79
assets/imagegen_provenance.json	352	27b82746ca146929a0fc3de6f9a3cb60a3c9b4b55a9344e16d3f166e55e8763f
assets/medical_icons.png	1411185	9853821b1a767a420d63c1ec4c38d244c0300b642d38262845c29099a99b042f
data/frozen/analysis_results/cross_platform_state_anchor/leave_one_patient_out_mapping.tsv	2567	181bc6894e5b18b67135f29a8cc12966c9a118de823de51f5eb66e5ff27c9c3f
data/frozen/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/iss_cohesive_dual_interface/iss_cohesive_dual_interface_group_summary.tsv	38583	4d739e443960d72045f6d90e23615882071f3b82b64ed4d243668c79ee02841b
data/frozen/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_direct_state_gsea_targeted.tsv	138867	abd31ba98f733e108af836831929d2553a9fdcb01249356d7b6e680e7d31a467
data/frozen/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_rec_coexistence_patient_equal_summaries.tsv	40951	dfbe32e68d296676fdf0b3ec38715b06b53c18a233cf26ad5d62cb5e834dc7bd
