k	state	metric	value_type	test	hgp	n_ehgp	n_rhgp	effect	bootstrap_ci_lower	bootstrap_ci_upper	exact_p_two_sided	n_exact_assignments	fdr_bh_across_metrics_within_state	fdr_bh_across_states_within_metric
5	NC1	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.005853904582723279	-0.01791259146848094	0.0259195382676244	0.6237762237762238	6435	0.6237762237762238	0.8317016317016317
5	NC1	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0010086006718162499	-0.00016498138867038236	0.002520746151657575	0.28125	128	0.28125	0.875
5	NC1	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.002815624703216702	-0.0050596763129893	0.01112435865227433	0.53125	256	0.7083333333333334	0.96875
5	NC1	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.001807024031400452	-0.006089182082446202	0.010242125000213985	0.7266511266511266	6435	0.7266511266511266	0.922921522921523
5	NC1	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.004568073771521508	-0.013343635227746016	0.0015930722539404104	0.282983682983683	6435	0.37731157731157733	0.565967365967366
5	NC1	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.004446453829211735	5.535001944465512e-05	0.012794894980912953	0.125	128	0.16666666666666666	0.16666666666666666
5	NC1	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	8.486453166586878e-05	-0.0004994546229470869	0.0007840033081058724	0.875	256	0.875	0.875
5	NC1	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.004361589297545866	-0.012877718615154514	0.00034046197742062455	0.17047397047397048	6435	0.34094794094794095	0.2565138565138565
5	NC1	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.41220005849953084	-0.7081786490746365	-0.06949767464467514	0.03434343434343434	6435	0.06868686868686869	0.04579124579124579
5	NC1	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.01567391987139957	0.0038799305346536622	0.028888625085222868	0.046875	128	0.09375	0.0625
5	NC1	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.033276328968053756	0.00034734414530394864	0.0635024617833256	0.1015625	256	0.203125	0.203125
5	NC1	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.017602409096654188	-0.017905636853865533	0.05069874480422562	0.3944055944055944	6435	0.5258741258741259	0.5258741258741259
5	NC1	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.36321472327546456	-0.5563815340700122	-0.14020004133949224	0.0114996114996115	6435	0.045998445998446	0.015332815332815332
5	NC1	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.05464705793212304	0.025030576499071665	0.09078958023181342	0.015625	128	0.0625	0.020833333333333332
5	NC1	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.014649204803807133	0.003421673296628863	0.026205778101580958	0.0546875	256	0.203125	0.109375
5	NC1	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.039997853128315906	-0.07869176118586538	-0.006908476091895782	0.03076923076923077	6435	0.12307692307692308	0.041025641025641026
5	NC2	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.06311745052721299	0.03689255092532303	0.09475596053307235	0.000777000777000777	6435	0.003108003108003108	0.001554001554001554
5	NC2	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		-0.0013487522765524805	-0.004078553835742293	0.0004859110600461785	0.4375	128	0.4375	0.875
5	NC2	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	-0.0005901887656720025	-0.008826315759951672	0.008335817601090811	0.8984375	256	0.8984375	0.96875
5	NC2	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.000758563510880478	-0.007834997428593662	0.009726135448099504	0.8878010878010878	6435	0.8878010878010878	0.922921522921523
5	NC2	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0027514794524754467	0.00023006134969325156	0.005932372674852366	0.14032634032634034	6435	0.2806526806526807	0.5613053613053613
5	NC2	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		-0.0005463805429955627	-0.0010855978785452999	-1.4752172045908602e-05	0.0625	128	0.125	0.125
5	NC2	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.0010365710934972755	-3.091600811077101e-05	0.002508730932332672	0.1875	256	0.25	0.25
5	NC2	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0015829516364928382	0.0003303680567607531	0.0031526988945213257	0.061072261072261075	6435	0.2442890442890443	0.2442890442890443
5	NC2	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.11591135686675258	-0.15575634015785986	0.38702147387599545	0.43512043512043513	6435	0.5801605801605801	0.43512043512043513
5	NC2	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0717052595224639	0.014085746797828704	0.14099183303772053	0.109375	128	0.14583333333333334	0.109375
5	NC2	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.0891431784821754	0.05111993332283721	0.13126694688467186	0.0078125	256	0.015625	0.03125
5	NC2	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0174379189597115	-0.06429900856705792	0.09197914285810259	0.6832944832944833	6435	0.8878010878010878	0.6832944832944833
5	NC2	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.014484399092455913	-0.26430290449998256	0.205425372544229	0.9055167055167055	6435	0.9055167055167055	0.9055167055167055
5	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.047689242724482085	0.02046431235468141	0.07430860779334002	0.0625	128	0.125	0.0625
5	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.07179268074153469	0.05266913261766809	0.09289689769597498	0.0078125	256	0.015625	0.03125
5	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.024103438017052607	-0.008916122649760947	0.0586680611629174	0.20916860916860916	6435	0.4183372183372183	0.20916860916860916
5	NC3	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.09489786785627706	0.05074762775040377	0.1449641974969383	0.0006216006216006216	6435	0.0024864024864024864	0.001554001554001554
5	NC3	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.00042646963346749765	-0.0011643022284132246	0.002371782096819038	0.75	128	1.0	1.0
