comparator_state	analysis_mode	n_ranked_genes	permutations	term	es	nes	nominal_p	fdr_q	fwer_p	tag_fraction	rank_fraction	leading_edge_genes	direction	family	role	citation
Colonocyte	targeted_predeclared	11642	2000	CANELLAS_CORE_HRC	0.8439543189209399	3.3605198438513213	0.0	0.0	0.0	82/95	11.29%	SLC2A1;TM4SF1;KRT80;GPRC5A;EMP1;PLAUR;MUC13;SDCBP2;TSPAN1;AHNAK;JUP;MXD1;TMBIM1;PLEC;TNFRSF21;EZR;CAMK2N1;COL17A1;ARFGAP3;LRP10;LAMC2;ADAM9;ITGB1;TINAGL1;CXCL16;KLK10;ITGB4;LAMB3;SNX9;PRSS22;RRAS;SEMA3B;DDR1;PCDH1;DUSP5;FLNB;SERINC2;UGCG;B4GALT1;CEACAM5;DSG2;C19ORF33;CD59;CYP3A5;SPINT1;SLC6A8;F11R;SLC44A4;MISP;RIOK3;TSPAN3;FA2H;EPS8L1;GJB3;CEACAM1;GBP3;PINK1;CGN;AHNAK2;CYSTM1;MYOF;STK24;LAMA3;PDZK1IP1;LIPH;CD55;PTPRH;CDCP1;ANXA11;MYH14;CRB3;RNF103;LMO7;EFNB1;TIMP2;PTK6;BAIAP2L1;TMPRSS4;CLIC3;HEBP2;B4GALNT3;RHOF	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
Colonocyte	targeted_predeclared	11642	2000	CANELLAS_HRC_KRT20_NEG	0.7307084480707532	3.2903155104290827	0.0	0.0	0.0	146/241	13.25%	ANKRD37;SLC2A1;ERRFI1;GPRC5A;ANXA2;EGLN3;PLAUR;B2M;SDCBP2;KLF6;NEDD9;ISG15;VEGFA;P4HA1;UBC;MXD1;TMBIM1;KRT19;QSOX1;EZR;EFNA1;PTTG1IP;EIF1;BTG1;P4HA2;TAP1;OAS1;PGK1;ISG20;CXCL16;APLP2;NBL1;RRAS;ECM1;BNIP3L;POLD4;ZBP1;GABARAP;DUSP5;PGAM1;PKM;SERINC2;SQSTM1;NPEPPS;CTSD;ALDOC;CDKN1A;IRF1;PSMB9;MPZL3;TNIP1;HILPDA;VMP1;NFKBIA;MSLN;SARAF;ALDOA;F11R;STAT1;BNIP3;LGALS3BP;TMEM59;APOL1;PFKP;MALL;TPI1;TAX1BP3;IRF7;IFI44;CHMP2A;CLIC5;METRNL;JUND;RHOA;UBE2L6;ATP6V1D;NDRG1;WBP2;EFHD2;CTSH;ARL6IP5;CYSTM1;SMIM14;LAMA3;ELF3;EGLN1;RHOG;TIPARP;TMOD3;GIPC1;CDK2AP2;JUNB;PSMB8;S100A14;YPEL5;CRB3;MGAT4B;R3HDM4;IDO1;ADIPOR1;ITGAV;SHISA5;LAPTM4A;INSIG2;ARPC2;ARPC5;BSG;CAPG;TMEM30A;TNFRSF10B;PRNP;TMEM54;S100A16;RTN3;CORO1B;YIPF3;EIF1B;PLEKHB2;PSME1;TNFAIP2;RNF186;PRDM1;ARF6;DAZAP2;PMAIP1;BAIAP2L1;GNAI2;ZBTB7A;CD74;FFAR4;CTTN;TMPRSS4;UPP1;TUBB4B;VAMP3;HIGD1A;CHP1;ERGIC3;AFF4;UBXN1;XPNPEP1;SMOX;DUSP1;MLPH;SCAMP2;MXI1	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
Colonocyte	targeted_predeclared	11642	2000	CANELLAS_HRC_KRT20_POS	0.6898401999364187	3.074953602915848	0.0	0.0	0.0	139/235	16.73%	ANKRD37;SLC2A1;ERRFI1;PMEPA1;GPRC5A;DDIT4;EMP1;SDCBP2;VEGFA;P4HA1;BHLHE40;AHNAK;MXD1;TMBIM1;TES;EFNA1;RHOC;PTTG1IP;EIF1;KLF4;BTG1;P4HA2;LAMC2;RAC1;ITGB1;LAMB3;APLP2;NBL1;TXNIP;ECM1;BNIP3L;POLD4;GABARAP;RABAC1;CTSD;CDKN1A;MPZL3;MFGE8;WEE1;HILPDA;DDIT3;CYP3A5;SPAG9;SARAF;ALDOA;CTSE;F11R;HBEGF;BNIP3;ARRDC3;RIOK3;MALL;SH3GLB1;METRNL;JUND;RHOA;CD164;CALR;KDELR3;CCNI;NDRG1;WBP2;CREB3;ZFAND5;LPIN2;AHNAK2;SMIM14;LAMA3;DUSP4;SYF2;ELF3;GDE1;TIPARP;SMAD7;HERPUD1;CDK2AP2;CYTH2;LGALS3;MAPK6;S100A14;YPEL5;PPP1R15A;FTL;CD24;MGAT4B;RNF103;CAST;R3HDM4;LMO7;TMEM30A;TNFRSF10B;PRNP;TMEM50A;FAM107B;S100A16;ZFAND2A;TGFA;EIF1B;ATP6V0C;PLEKHB2;RNF186;PRDM1;ARF6;DAZAP2;PMAIP1;BAIAP2L1;ATP6V0E1;SAT1;ACTR2;FBXO32;SWAP70;KIAA0232;MARCKSL1;AFF4;YPEL3;PDGFA;CREBRF;CTSB;ARL8B;SMOX;KLF3;BMP2;DUSP1;MXI1;IL22RA1;TP53INP1;CPE;SLCO2A1;CAPZB;PFDN5;SDF2;SC5D;GPA33;BASP1;GPI;ASAP2;TMEM9B;NUCB2;CIRBP	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
Colonocyte	targeted_predeclared	11642	2000	FROZEN_REC_TOP50	0.937063773274153	3.322119939519177	0.0	0.0	0.0	46/48	4.68%	ANKRD37;IL32;KRT80;EGLN3;PLAUR;MUC13;SDCBP2;ISG15;FHL2;HIF1A-AS3;TSPAN1;JUP;MXD1;CLDN3;GSN;SLC16A3;MX2;QSOX1;RHOC;APOL6;STBD1;KLF4;BTG1;P4HA2;ADM;COL17A1;OAS1;ARFGAP3;RSAD2;DUOXA2;BIRC3;DUOX2;LDHA;DDX60;DUSP5;CDHR5;GRHL1;PNCK;CYP3A5;KRT20;APOL1;FXYD3;ADGRF1;C4BPB;CEACAM1;NDRG1	REC_up	anchor	primary_anchor	Ogden et al., Cell Genomics 2025; PMID 40393458
Colonocyte	targeted_predeclared	11642	2000	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.7029626382677767	2.7639927591991444	0.0	0.0	0.0	44/89	10.09%	IL32;PMEPA1;TNFRSF12A;PLOD2;PLAUR;TGFBI;VEGFA;DST;FLNA;QSOX1;SDC4;CXCL1;RHOB;LAMC2;ITGB1;TPM4;ECM1;IGFBP2;ENO2;SERPINE2;JUN;PPIB;CD59;CXCL8;SLC6A8;GADD45A;IL15;COL16A1;AREG;FSTL3;SERPINH1;LAMA3;TNFAIP3;DKK1;ITGAV;CALU;CAPG;MMP14;TIMP1;TNFRSF11B;LRP1;SAT1;CCN2;DPYSL3	REC_up	MSigDB_h.all	plasticity_context	Molecular Signatures Database
Colonocyte	targeted_predeclared	11642	2000	HALLMARK_GLYCOLYSIS	0.5354809527137782	2.268914799581141	0.0	0.0	0.0	48/154	9.83%	DDIT4;EGLN3;PLOD2;TGFBI;VEGFA;P4HA1;TFF3;CLDN3;SLC16A3;QSOX1;P4HA2;ENO1;PGK1;ISG20;ERO1A;LDHA;SOX9;ENO2;HSPA5;PAM;PGAM1;PKM;CHPF;RBCK1;B4GALT1;ALDOA;MIF;DSC2;PFKP;TPI1;STC2;HK2;KDELR3;AGRN;ZNF292;IER3;TPBG;ELF3;BIK;IL13RA1;EFNA3;TGFA;ME1;MET;GFPT1;B3GNT3;COPB2;TXN	REC_up	MSigDB_h.all	metabolic_cooption	Molecular Signatures Database
Colonocyte	targeted_predeclared	11642	2000	HALLMARK_HYPOXIA	0.6805169628254716	2.8724473692771553	0.0	0.0	0.0	78/145	13.46%	SLC2A1;ERRFI1;DDIT4;ANXA2;PLAUR;KLF6;TGFBI;VEGFA;P4HA1;BHLHE40;ATF3;TES;SDC4;EFNA1;STBD1;BTG1;P4HA2;ADM;KDM3A;ENO1;PGK1;ISG20;PLIN2;ERO1A;LDHA;BNIP3L;ENO2;HSPA5;FOS;PAM;ALDOC;CDKN1A;JUN;DDIT3;PDK1;ALDOA;MYH9;MIF;IDS;PIM1;KLF7;GAPDH;PFKP;WSB1;TPI1;PNRC1;STC2;FOSL2;HK2;KDELR3;NDRG1;CDKN1C;ZNF292;ZFP36;NFIL3;IER3;TPBG;GBE1;MAFF;TIPARP;TNFAIP3;PPP1R15A;EFNA3;S100A4;F3;PLAC8;PRKCA;CCN2;AKAP12;MT2A;TGM2;PDGFB;SLC25A1;SCARB1;XPNPEP1;DUSP1;MXI1;ADORA2B	REC_up	MSigDB_h.all	generic_stress	Molecular Signatures Database
Colonocyte	targeted_predeclared	11642	2000	HALLMARK_TNFA_NFKB_OGDEN_COPY	0.736081648877026	3.114069008759225	0.0	0.0	0.0	87/142	13.52%	PMEPA1;PLAUR;KLF6;VEGFA;BHLHE40;ATF3;MXD1;SDC4;EFNA1;CXCL1;EIF1;RHOB;KLF4;BTG1;TAP1;FOSL1;LAMB3;BIRC3;CXCL11;CCL20;PHLDA2;DUSP5;FOS;EDN1;SQSTM1;B4GALT1;CDKN1A;IRF1;TRIB1;CCND1;JUN;TNIP1;NFKBIA;MCL1;HBEGF;CEBPB;IER2;GADD45A;B4GALT5;PHLDA1;RELB;PNRC1;MAP2K3;AREG;RELA;FOSL2;F2RL1;TNFAIP8;MARCKS;ZFP36;NFIL3;IER3;IFIH1;DUSP4;MAFF;YRDC;TIPARP;TNFAIP3;JUNB;PPP1R15A;CXCL10;IFNGR2;CLCF1;IL23A;IFIT2;F3;DDX58;TNFAIP2;EGR1;FOSB;RNF19B;TUBB2A;LDLR;PDLIM5;KLF10;EHD1;SAT1;CXCL2;IL18;NR4A1;LITAF;BCL3;BMP2;DUSP1;TNIP2;SMAD3;RCAN1	REC_up	published_signature	regulatory_context	Ogden et al., Cell Genomics 2025; PMID 40393458
Colonocyte	targeted_predeclared	11642	2000	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.576872227567769	2.2907284333276388	0.0	0.0	0.0	43/99	15.77%	DDIT4;VEGFA;ATF3;HYOU1;ERO1A;YWHAZ;IFIT1;HSPA5;SRPRA;DNAJB9;CEBPB;CEBPG;HSP90B1;ATF4;STC2;CALR;KDELR3;SLC7A5;PDIA6;EIF2AK3;XPOT;HERPUD1;EEF2;SSR1;LSM4;SERP1;POP4;XBP1;DNAJC3;TUBB2A;PSAT1;KHSRP;EIF4A1;SEC11A;MTHFD2;YIF1A;ATP6V0D1;EIF4A2;SPCS1;ERN1;CKS1B;SHC1;EIF4A3	REC_up	MSigDB_h.all	generic_stress	Molecular Signatures Database
Colonocyte	targeted_predeclared	11642	2000	NUSSE_REGENERATIVE	0.7225708838963578	2.6377862889662165	0.0	0.0	0.0	32/56	12.98%	ISG15;S100A6;SLC16A3;OAS3;TAP1;ADM;OAS1;DUOXA2;TRIB3;MX1;PHLDA2;SPATS2L;ZBP1;NPTX2;OASL;APOL1;SLC7A11;IRF7;IFI44;GBP2;AREG;GBP4;S100A14;SERPINB5;IDO1;STXBP1;CD74;RHOF;JDP2;PLK3;CAPN2;DUSP1	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
