pair_id	priority	expected_direction	method	state	minimum_cells	n_patients	n_positive	n_negative	n_zero	median_rho	minimum_rho	maximum_rho	patient_equal_meta_rho	bootstrap_ci_low	bootstrap_ci_high	exact_sign_flip_p	sign_flip_fdr_within_state_method_threshold
actin_tight_junction	secondary	positive_or_context_dependent	gene_z_residual	Hypoxia	10	14	13	1	0	0.1638987371176941	-0.0192486534962443	0.3225861517123653	0.1322345780530711	0.08239994890158929	0.1827811668549848	0.00048828125	0.00048828125
e2f_g2m	technical_positive_control	positive	gene_z_residual	Hypoxia	10	14	14	0	0	0.588602733809064	0.23662648031580075	0.7917034610454352	0.5866788170374457	0.5048854419169251	0.6567565879352683	0.0001220703125	0.00020345052083333334
hrc_e2f	biological_discriminator	negative_or_weak	gene_z_residual	Hypoxia	10	14	0	14	0	-0.1771200122381567	-0.46949755124251774	-0.044466403162055336	-0.22060060440001864	-0.2874708205182811	-0.1576785829618154	0.0001220703125	0.00020345052083333334
hrc_tight_junction	primary	positive	gene_z_residual	Hypoxia	10	14	13	1	0	0.26213620046397057	-0.004890259386903683	0.3921421003989812	0.2389304397762386	0.18512019641875388	0.28901371476410814	0.000244140625	0.00030517578125
pemt_tight_junction	key_secondary	positive	gene_z_residual	Hypoxia	10	14	14	0	0	0.20083140213719558	0.08644946316179195	0.3880666321033293	0.2017625190987987	0.15392068268059414	0.25243577218956337	0.0001220703125	0.00020345052083333334
actin_tight_junction	secondary	positive_or_context_dependent	gene_z_residual	REC	10	12	9	3	0	0.1470497313597562	-0.5604395604395606	0.40659340659340654	0.07497890735565031	-0.08241598186799468	0.19628574998599568	0.36181640625	0.36181640625
e2f_g2m	technical_positive_control	positive	gene_z_residual	REC	10	12	12	0	0	0.5343795876290474	0.23855203619909499	0.8153846153846154	0.5571376535527373	0.42253967526987646	0.6714382408024914	0.00048828125	0.001220703125
hrc_e2f	biological_discriminator	negative_or_weak	gene_z_residual	REC	10	12	1	11	0	-0.095373316504067	-0.5659340659340659	0.02857142857142857	-0.18363719422456484	-0.2979237406880365	-0.08233911780544473	0.00146484375	0.0018310546875
hrc_tight_junction	primary	positive	gene_z_residual	REC	10	12	11	1	0	0.23576599870717513	-0.12087912087912088	0.4213360256076228	0.22463066379783936	0.13439892257394315	0.30270674226732663	0.00146484375	0.0018310546875
pemt_tight_junction	key_secondary	positive	gene_z_residual	REC	10	12	12	0	0	0.2634842742779021	0.06593406593406594	0.7142857142857143	0.2852156278772015	0.1783327798927874	0.4096141334172325	0.00048828125	0.001220703125
actin_tight_junction	secondary	positive_or_context_dependent	gene_z_residual	UPR	10	11	2	9	0	-0.054427286696727716	-0.24545454545454545	0.20657915573251287	-0.06760067715355864	-0.13645633874152577	0.007149202576520242	0.1083984375	0.1806640625
e2f_g2m	technical_positive_control	positive	gene_z_residual	UPR	10	11	11	0	0	0.5410876463508042	0.31717914438502676	0.8274509803921569	0.5889664494390495	0.4762259025604701	0.6912345272246475	0.0009765625	0.0048828125
