comparator_state	analysis_mode	n_ranked_genes	permutations	term	es	nes	nominal_p	fdr_q	fwer_p	tag_fraction	rank_fraction	leading_edge_genes	direction	term_label
Hypoxia	full_gobp_discovery	12496	1000	GOBP_CENTROMERE_COMPLEX_ASSEMBLY	-0.6998419126803501	-2.4777804509765384	0.0	0.0	0.0	16/26	16.03%	CENPP;KNTC1;CENPK;CENPE;CENPA;OIP5;SENP6;CENPF;HJURP;NASP;CENPI;ITGB3BP;TRAPPC12;DLGAP5;CENPV;CENPN	REC_down	Centromere assembly
Hypoxia	full_gobp_discovery	12496	1000	GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE	0.7483639501025482	2.3037446208249177	0.0	0.0	0.0	13/30	10.33%	MUC13;LSR;MUC4;TFF1;CXADR;MUC2;TFF3;INAVA;SOX9;RBP4;PKP3;TFF2;NOD2	REC_up	Epithelial structure maintenance
Hypoxia	full_gobp_discovery	12496	1000	GOBP_HOMOTYPIC_CELL_CELL_ADHESION	0.6539214907378967	2.403853187616409	0.0	0.0	0.0	36/69	17.97%	CEACAM1;PLAUR;JUP;CDHR5;CLIC1;DSP;F11R;MYL12A;DSC2;DSG2;PDIA3;CEACAM5;CXADR;ACTB;STXBP1;RAP2B;GNAS;CD99;CD9;CTNNA3;ACTG1;HSPB1;TJP2;IL6R;CDHR2;CSRP1;JAK2;SERPINE2;FLNA;PRKCD;ENTPD1;MYL9;TLN1;ILK;IL6ST;ADGRG1	REC_up	Homotypic cell–cell adhesion
Hypoxia	full_gobp_discovery	12496	1000	GOBP_INTERSTRAND_CROSS_LINK_REPAIR	-0.6527326617410164	-2.312327814280404	0.0	6.431217275374453e-05	0.002	12/29	10.54%	ATR;FANCI;FANCA;RAD51AP1;MCM8;FANCM;FANCC;ERCC6L2;FANCD2;FANCL;FANCB;RNF168	REC_down	Interstrand cross-link repair
Hypoxia	full_gobp_discovery	12496	1000	GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM	0.8217085524822255	2.021283127529772	0.0	0.0009724367378524	0.148	7/11	1.95%	ERO1A;CANX;P4HB;PDIA3;HSPA5;HSP90B1;CALR	REC_up	ER protein folding
Hypoxia	full_gobp_discovery	12496	1000	GOBP_RESPONSE_TO_OXYGEN_LEVELS	0.4084063162420165	1.7664767443716882	0.0	0.0185949484622143	1.0	89/240	23.94%	CLDN3;SLC2A1;TMBIM6;ERO1A;LCN2;CPEB4;ATP1B1;P4HB;HSP90B1;EGLN3;PINK1;SOD3;DDIT4;ATP6V1G1;BBC3;EDN1;NOS2;ATP6AP1;BNIP3L;ANG;PML;CAPN2;HYOU1;CD24;JUND;HK2;MMP14;ANGPTL4;EPAS1;NPEPPS;CYBA;ZFP36L1;FOXO1;HILPDA;ATF4;CFLAR;SCN2A;BIRC2;HIGD1A;ADAM8;SLC9A1;PLAT;FOXO3;NDRG1;PGK1;ITGA2;MALAT1;BMP2;LMNA;SMAD3;PLOD2;ATP6V0D1;CHCHD2;CA9;VEGFA;LIF;RTN4;EGLN2;TGFB2;ENO1;DPP4;FOSL2;PIN1;BAD;CASP3;HSF1;WTIP;CITED2;PLAU;EDNRA;PPARD;PMAIP1;CPEB2;EGLN1;APAF1;RGCC;REST;BNIP2;BMP7;CCDC115;KCND2;NOP53;ALAS1;BNIP1;FUNDC1;EPHA4;SOD2;VEGFB;PLEKHN1	REC_up	Response to oxygen levels
Hypoxia	full_reactome_discovery	12496	1000	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.8036513870480889	2.7388475692462677	0.0	0.0	0.0	29/40	11.11%	PERP;JUP;DSP;KRT80;KRT19;KRT20;DSC2;KRT16;DSG2;PRSS8;ST14;KLK8;KRT8;KRT17;PPL;PI3;DSG3;SPRR2D;CAPNS1;KRT12;SPRR2A;KRT18;KRT6A;KRT86;PKP3;KRT7;FURIN;CAPN1;KRT23	REC_up	Cornified-envelope formation
Hypoxia	full_reactome_discovery	12496	1000	REACTOME_KERATINIZATION	0.8036513870480889	2.7388475692462677	0.0	0.0	0.0	29/40	11.11%	PERP;JUP;DSP;KRT80;KRT19;KRT20;DSC2;KRT16;DSG2;PRSS8;ST14;KLK8;KRT8;KRT17;PPL;PI3;DSG3;SPRR2D;CAPNS1;KRT12;SPRR2A;KRT18;KRT6A;KRT86;PKP3;KRT7;FURIN;CAPN1;KRT23	REC_up	Keratinization
Hypoxia	full_reactome_discovery	12496	1000	REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.8138369013899501	2.2443620124406456	0.0	0.0	0.0	9/18	7.05%	CLDN4;CLDN7;CLDN3;F11R;CLDN18;CLDN23;CRB3;PARD6B;CLDN12	REC_up	Tight-junction interactions
Hypoxia	full_reactome_discovery	12496	1000	REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR	0.5307500814272889	2.03385024595058	0.0	0.0012005659026102	0.042	34/85	14.89%	MYDGF;HSPA5;HSP90B1;CALR;SRPRA;CREB3;IGFBP1;PDIA6;HYOU1;TPP1;DNAJB9;XBP1;CREB3L2;SERP1;DNAJB11;ATF3;PPP2R5B;ATF4;KDELR3;CXCL8;YIF1A;SSR1;DDIT3;CREB3L1;CEBPB;CREBRF;EIF2S2;HERPUD1;LMNA;DCTN1;ATP6V0D1;SHC1;DNAJC3;GSK3A	REC_up	Unfolded-protein response
