qc_definition	endpoint_id	declared_gene_count	measurable_variable_gene_count	coverage_fraction	retained_genes	missing_or_zero_variance_genes
primary_qc	REC_PROGRAM_TOP50	50	42	0.84	ANKRD37;SDCBP2;DUOXA2;DUOX2;TSPAN1;PLAUR;QSOX1;MUC13;KRT20;SLC16A3;STBD1;CEACAM1;P4HA2;KRT80;NDRG1;DDX60;KLF4;BIRC3;ADGRF1;GSN;ADM;NDUFA4L2;CDHR5;COL17A1;FXYD3;BTG1;JUP;ANGPTL4;ISG15;MXD1;ARFGAP3;CLDN3;APOL6;RHOC;ABCG1;RSAD2;DUSP5;PTPRH;FHL2;LDHA;GRHL1;EGLN3	C4BPB;CYP3A5;APOL1;HIF1A-AS3;MX2;OAS1;IL32;PNCK
primary_qc	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	25	0.8333333333333334	CLDN1;CLDN10;CLDN11;CLDN12;CLDN14;CLDN15;CLDN16;CLDN18;CLDN19;CLDN2;CLDN23;CLDN3;CLDN4;CLDN6;CLDN7;CLDN8;CLDN9;CRB3;F11R;PARD3;PARD6A;PARD6B;PARD6G;PATJ;PRKCI	CLDN17;CLDN22;CLDN5;PALS1;CLDN20
primary_qc	CORE_HRC	100	92	0.92	LAMB3;SDCBP2;EMP1;EPS8L1;JUP;LMO7;MYOF;ITGB4;GPRC5A;AHNAK;CAMK2N1;MYH14;CD55;RHOF;TMBIM1;SEMA3B;TINAGL1;MISP;COL17A1;PLEC;TSPAN1;PTPRH;CRB3;ITGA3;RIOK3;LAMC2;FA2H;RRAS;MUC13;CEACAM1;TMPRSS2;SERINC2;SLC44A4;PCDH1;USP53;FLNB;CXCL16;EZR;TNFRSF21;CDA;ADAM9;RNF103;KRT80;EFNB1;SMAD3;PDZK1IP1;LRP10;PRSS22;AHNAK2;B4GALT1;ANXA11;BAIAP2L1;F11R;DUSP5;DDR1;ITGB1;SLC2A1;CDKN2B;PLAUR;ITGA2;CDCP1;DSG2;KLK10;ARFGAP3;CD68;CGN;TM4SF1;PPP2CB;HEBP2;UGCG;GBP3;TIMP2;PINK1;CYSTM1;SLC6A8;PPARD;LIPH;CLIC3;SPINT1;PTK6;TJP3;STK24;MXD1;SNX9;ERO1L;TSPAN3;SLPI;BMP2;GJB3;LAMA3;TMPRSS4;B4GALNT3	C19ORF33;ABHD11-AS1;CYP3A5;C1ORF106;CD59;AC009133.12;CEACAM5;SSFA2
primary_qc	PARTIAL_EMT	71	63	0.8873239436619719	MMP3;COL7A1;CXCL1;PLAUR;IL6;LAMC2;LAMA3;COL5A3;ITGA2;QSOX1;SERPINE1;TNFRSF11B;TMEM158;COLGALT1;TFPI2;SAT1;SLC6A8;LOXL2;PLOD1;FAS;ENO2;PVR;VEGFA;ANPEP;TPM4;PPIB;ITGB1;CALU;COL12A1;GADD45A;IL15;TGM2;SDC1;AREG;CD44;TNFRSF12A;CCL8;COPA;MCM7;NT5E;FBN2;SGCB;GADD45B;LAMA1;ETV1;PLOD2;JUN;IGFBP2;RHOB;ECM1;GLIPR1;FUCA1;LAMC1;SDC4;PTHLH;SNAI1;DST;ID2;CAPG;LRP1;PLOD3;TWIST1;SPP1	CXCL8;MMP1;CXCL6;WNT5A;SNAI2;CD59;IL32;DKK1
primary_qc	HALLMARK_E2F_TARGETS	200	191	0.955	AK2;ANP32E;ASF1A;ASF1B;ATAD2;AURKA;AURKB;BARD1;BIRC5;BRCA1;BRCA2;BRMS1L;BUB1B;CBX5;CCNB2;CCNE1;CCP110;CDC20;CDC25A;CDC25B;CDCA3;CDCA8;CDK1;CDK4;CDKN1A;CDKN1B;CDKN2A;CDKN2C;CDKN3;CENPE;CENPM;CHEK1;CHEK2;CIT;CKS1B;CKS2;CNOT9;CSE1L;CTCF;DCK;DCLRE1B;DCTPP1;DEK;DIAPH3;DLGAP5;DNMT1;DONSON;DSCC1;DUT;E2F8;EED;EIF2S1;ESPL1;EXOSC8;EZH2;GINS1;GINS3;GINS4;GSPT1;HELLS;HMGA1;HMGB2;HMGB3;HMMR;HNRNPD;HUS1;ILF3;ING3;IPO7;JPT1;KIF18B;KIF22;KIF2C;KPNA2;LBR;LIG1;LMNB1;LUC7L3;LYAR;MAD2L1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MELK;MKI67;MLH1;MMS22L;MSH2;MTHFD2;MXD3;MYBL2;MYC;NAA38;NAP1L1;NASP;NBN;NCAPD2;NME1;NOLC1;NOP56;NUDT21;NUP107;NUP153;NUP205;ORC2;ORC6;PA2G4;PAICS;PAN2;PCNA;PDS5B;PHF5A;PLK1;PLK4;PMS2;PNN;POLA2;POLD1;POLD2;POLD3;POLE;POLE4;POP7;PPM1D;PPP1R8;PRDX4;PRIM2;PRKDC;PRPS1;PSIP1;PSMC3IP;PTTG1;RACGAP1;RAD1;RAD21;RAD50;RAD51AP1;RAD51C;RAN;RANBP1;RBBP7;RFC1;RFC2;RFC3;RNASEH2A;RPA1;RPA2;RPA3;RRM2;SHMT1;SLBP;SMC1A;SMC3;SMC4;SMC6;SNRPB;SPAG5;SPC24;SPC25;SRSF1;SRSF2;SSRP1;STAG1;STMN1;SUV39H1;SYNCRIP;TACC3;TBRG4;TCF19;TFRC;TIMELESS;TIPIN;TK1;TMPO;TOP2A;TRA2B;TRIP13;TUBG1;UBE2S;UBE2T;UBR7;UNG;USP1;WDR90;WEE1;XPO1;XRCC6;ZW10	CTPS1;DDX39A;DEPDC1;H2AX;H2AZ1;KIF4A;MRE11;TP53;TUBB
primary_qc	HALLMARK_G2M_CHECKPOINT	200	190	0.95	ABL1;AMD1;ARID4A;ATF5;ATRX;AURKA;AURKB;BARD1;BCL3;BIRC5;BRCA2;BUB1;BUB3;CASP8AP2;CBX1;CCNA2;CCNB2;CCND1;CCNF;CCNT1;CDC20;CDC25A;CDC25B;CDC27;CDC45;CDC6;CDC7;CDK1;CDK4;CDKN1B;CDKN2C;CDKN3;CENPA;CENPE;CENPF;CHAF1A;CHEK1;CHMP1A;CKS1B;CKS2;CTCF;CUL1;CUL3;CUL4A;CUL5;DBF4;DKC1;DMD;DR1;DTYMK;E2F1;E2F2;E2F3;E2F4;EFNA5;EGF;ESPL1;EWSR1;EXO1;EZH2;FANCC;FBXO5;FOXN3;G3BP1;GINS2;GSPT1;HIF1A;HIRA;HMGA1;HMGB3;HMGN2;HMMR;HNRNPD;HNRNPU;HSPA8;HUS1;ILF3;INCENP;JPT1;KATNA1;KIF11;KIF15;KIF20B;KIF22;KIF23;KIF2C;KIF5B;KMT5A;KNL1;KPNA2;KPNB1;LBR;LIG3;LMNB1;MAD2L1;MAP3K20;MAPK14;MARCKS;MCM2;MCM3;MCM5;MCM6;MEIS1;MEIS2;MKI67;MNAT1;MTF2;MYBL2;MYC;NASP;NCL;NDC80;NEK2;NOLC1;NOTCH2;NSD2;NUMA1;NUP50;NUP98;NUSAP1;ODC1;ODF2;ORC5;ORC6;PAFAH1B1;PBK;PDS5B;PLK1;PLK4;PML;POLA2;POLE;POLQ;PRC1;PRIM2;PRMT5;PTTG1;PURA;RACGAP1;RAD21;RAD23B;RAD54L;RASAL2;RBL1;RBM14;RPA2;RPS6KA5;SAP30;SFPQ;SLC12A2;SLC38A1;SLC7A1;SLC7A5;SMAD3;SMARCC1;SMC1A;SMC2;SMC4;SNRPD1;SQLE;SRSF1;SRSF10;SRSF2;SS18;STAG1;STIL;STMN1;SUV39H1;SYNCRIP;TACC3;TENT4A;TFDP1;TGFB1;TLE3;TMPO;TNPO2;TOP1;TOP2A;TPX2;TRA2B;TRAIP;TROAP;TTK;UBE2C;UBE2S;UCK2;UPF1;WRN;XPO1;YTHDC1	DDX39A;H2AX;H2AZ1;H2AZ2;H2BC12;HOXC10;KIF4A;MT2A;PRP4K;PTTG3P
primary_qc	ACTIN_TURNOVER	57	56	0.9824561403508771	ACTN2;ADD1;ADD2;ADD3;ASB2;AVIL;CAPG;CAPZA1;CAPZA2;CAPZB;CARMIL1;CARMIL2;CFL1;CFL2;DMTN;DSTN;EPS8;F2RL1;FLII;GSN;LIMA1;LMOD1;LMOD2;LMOD3;MICAL1;MICAL2;MICAL3;MTPN;PDXP;PIK3CA;PLEK;PLEKHH2;PPP1R9B;RDX;SCIN;SEMA5A;SH3BP1;SPECC1L;SPTAN1;SPTB;SPTBN1;SPTBN2;SPTBN4;SPTBN5;SVIL;SWAP70;TMOD1;TMOD2;TMOD3;TMOD4;TRIOBP;TWF1;TWF2;VIL1;VILL;WDR1	WASHC2C
primary_qc	JUNB_TIGHT_JUNCTION_TARGETS_5_POSTHOC	5	5	1.0	CLDN3;CLDN4;CLDN7;CRB3;F11R	
primary_qc	REC_PROGRAM_TOP50_DISJOINT_JUNCTION	49	41	0.8367346938775511	ANKRD37;SDCBP2;DUOXA2;DUOX2;TSPAN1;PLAUR;QSOX1;MUC13;KRT20;SLC16A3;STBD1;CEACAM1;P4HA2;KRT80;NDRG1;DDX60;KLF4;BIRC3;ADGRF1;GSN;ADM;NDUFA4L2;CDHR5;COL17A1;FXYD3;BTG1;JUP;ANGPTL4;ISG15;MXD1;ARFGAP3;APOL6;RHOC;ABCG1;RSAD2;DUSP5;PTPRH;FHL2;LDHA;GRHL1;EGLN3	C4BPB;CYP3A5;APOL1;HIF1A-AS3;MX2;OAS1;IL32;PNCK
primary_qc	TIGHT_JUNCTION_DISJOINT_REC	29	24	0.8275862068965517	CLDN1;CLDN10;CLDN11;CLDN12;CLDN14;CLDN15;CLDN16;CLDN18;CLDN19;CLDN2;CLDN23;CLDN4;CLDN6;CLDN7;CLDN8;CLDN9;CRB3;F11R;PARD3;PARD6A;PARD6B;PARD6G;PATJ;PRKCI	CLDN17;CLDN22;CLDN5;PALS1;CLDN20
