set_id	n_libraries	n_gata6_ko	n_control	gata6_ko_mean	control_mean	gata6_ko_minus_control	bootstrap_ci_lower	bootstrap_ci_upper	hedges_g	ko_above_control_median_n	exact_p_two_sided	n_exact_allocations	fdr_bh_module_family
"REC_PROGRAM_TOP50"	6	3	3	-0.432938922928782	0.432938922928783	-0.865877845857565	-1.15886549956471	-0.440632916733404	-2.450236755585	0	0.1	20	0.2
"CORE_HRC"	6	3	3	-0.355776931934121	0.355776931934121	-0.711553863868243	-1.21506819485718	-0.358498111399518	-1.68259522977078	0	0.1	20	0.2
"PUBLISHED_FETAL"	6	3	3	-0.0948622372482534	0.0948622372482538	-0.189724474496507	-0.595330768167284	0.230001028186334	-0.487007918184364	1	0.5	20	0.625
"PARTIAL_EMT"	6	3	3	-0.288201721021032	0.288201721021032	-0.576403442042064	-0.915925372299847	-0.331570361399037	-2.0342802467565	0	0.1	20	0.2
"HALLMARK_EMT"	6	3	3	-0.117908674437892	0.117908674437891	-0.235817348875783	-0.619831612712479	0.0560100634334207	-0.751676372303165	1	0.4	20	0.625
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	6	3	3	-0.493286780638379	0.493286780638379	-0.986573561276757	-1.20506038422809	-0.655015081462292	-3.76609167144832	0	0.1	20	0.2
"JUNB_TIGHT_JUNCTION_TARGETS_5"	6	3	3	-0.854426545951448	0.854426545951448	-1.7088530919029	-2.15850992176057	-1.36187516031791	-4.17441127432293	0	0.1	20	0.2
"ACTIN_TURNOVER"	6	3	3	-0.0801854722553032	0.080185472255303	-0.160370944510606	-0.476041890788988	0.121900674654842	-0.561198549689512	1	0.6	20	0.666666666666667
"HALLMARK_E2F_TARGETS"	6	3	3	0.147092107774833	-0.147092107774833	0.294184215549665	-0.410939907183599	1.05950667199357	0.414416999032599	2	0.8	20	0.8
"HALLMARK_G2M_CHECKPOINT"	6	3	3	0.129917475483765	-0.129917475483766	0.259834950967531	-0.233839960587836	0.775407700253022	0.538396549519574	2	0.5	20	0.625
