sample_id	condition	set_id	score
"Control_replicate1"	"control"	"REC_PROGRAM_TOP50"	0.346021420288773
"Control_replicate2"	"control"	"REC_PROGRAM_TOP50"	0.410501657077727
"Control_replicate3"	"control"	"REC_PROGRAM_TOP50"	0.542293691419848
"GATA6KO_replicate1"	"GATA6_KO"	"REC_PROGRAM_TOP50"	0.0137994184583629
"GATA6KO_replicate2"	"GATA6_KO"	"REC_PROGRAM_TOP50"	-0.643724915712712
"GATA6KO_replicate3"	"GATA6_KO"	"REC_PROGRAM_TOP50"	-0.668891271531999
"Control_replicate1"	"control"	"CORE_HRC"	0.324133902340162
"Control_replicate2"	"control"	"CORE_HRC"	0.262493511091921
"Control_replicate3"	"control"	"CORE_HRC"	0.480703382370281
"GATA6KO_replicate1"	"GATA6_KO"	"CORE_HRC"	-0.0499769063892038
"GATA6KO_replicate2"	"GATA6_KO"	"CORE_HRC"	-0.126419596896142
"GATA6KO_replicate3"	"GATA6_KO"	"CORE_HRC"	-0.890934292517018
"Control_replicate1"	"control"	"PUBLISHED_FETAL"	0.00566045945470188
"Control_replicate2"	"control"	"PUBLISHED_FETAL"	0.00609280373120082
"Control_replicate3"	"control"	"PUBLISHED_FETAL"	0.272833448558859
"GATA6KO_replicate1"	"GATA6_KO"	"PUBLISHED_FETAL"	-0.10912556101915
"GATA6KO_replicate2"	"GATA6_KO"	"PUBLISHED_FETAL"	0.32500738019342
"GATA6KO_replicate3"	"GATA6_KO"	"PUBLISHED_FETAL"	-0.50046853091903
"Control_replicate1"	"control"	"PARTIAL_EMT"	0.213404424556091
"Control_replicate2"	"control"	"PARTIAL_EMT"	0.226545020245773
"Control_replicate3"	"control"	"PARTIAL_EMT"	0.424655718261231
"GATA6KO_replicate1"	"GATA6_KO"	"PARTIAL_EMT"	-0.108855901618103
"GATA6KO_replicate2"	"GATA6_KO"	"PARTIAL_EMT"	-0.12364541160295
"GATA6KO_replicate3"	"GATA6_KO"	"PARTIAL_EMT"	-0.632103849842043
"Control_replicate1"	"control"	"HALLMARK_EMT"	0.118180675313153
"Control_replicate2"	"control"	"HALLMARK_EMT"	0.0715706767388172
"Control_replicate3"	"control"	"HALLMARK_EMT"	0.163974671261704
"GATA6KO_replicate1"	"GATA6_KO"	"HALLMARK_EMT"	-0.0409864882265831
"GATA6KO_replicate2"	"GATA6_KO"	"HALLMARK_EMT"	0.189183403187496
"GATA6KO_replicate3"	"GATA6_KO"	"HALLMARK_EMT"	-0.501922938274588
"Control_replicate1"	"control"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.510861636929692
"Control_replicate2"	"control"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.499126104138304
"Control_replicate3"	"control"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.46987260084714
"GATA6KO_replicate1"	"GATA6_KO"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	-0.157816456560117
"GATA6KO_replicate2"	"GATA6_KO"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	-0.606358437501511
"GATA6KO_replicate3"	"GATA6_KO"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	-0.715685447853508
"Control_replicate1"	"control"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	0.787382801614645
"Control_replicate2"	"control"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	0.792997860742029
"Control_replicate3"	"control"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	0.982898975497669
"GATA6KO_replicate1"	"GATA6_KO"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-0.520094440146612
"GATA6KO_replicate2"	"GATA6_KO"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-0.677673136689191
"GATA6KO_replicate3"	"GATA6_KO"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-1.36551206101854
"Control_replicate1"	"control"	"ACTIN_TURNOVER"	-0.0039101505018652
"Control_replicate2"	"control"	"ACTIN_TURNOVER"	0.101245844558094
"Control_replicate3"	"control"	"ACTIN_TURNOVER"	0.14322072270968
"GATA6KO_replicate1"	"GATA6_KO"	"ACTIN_TURNOVER"	0.216077772960674
"GATA6KO_replicate2"	"GATA6_KO"	"ACTIN_TURNOVER"	-0.0467861451423703
"GATA6KO_replicate3"	"GATA6_KO"	"ACTIN_TURNOVER"	-0.409848044584213
"Control_replicate1"	"control"	"HALLMARK_E2F_TARGETS"	-0.168065512555533
"Control_replicate2"	"control"	"HALLMARK_E2F_TARGETS"	0.0796606329492098
"Control_replicate3"	"control"	"HALLMARK_E2F_TARGETS"	-0.352871443718175
"GATA6KO_replicate1"	"GATA6_KO"	"HALLMARK_E2F_TARGETS"	-0.558032014958432
"GATA6KO_replicate2"	"GATA6_KO"	"HALLMARK_E2F_TARGETS"	0.0252917970099815
"GATA6KO_replicate3"	"GATA6_KO"	"HALLMARK_E2F_TARGETS"	0.974016541272948
"Control_replicate1"	"control"	"HALLMARK_G2M_CHECKPOINT"	-0.100400283294015
"Control_replicate2"	"control"	"HALLMARK_G2M_CHECKPOINT"	-0.021398654574951
"Control_replicate3"	"control"	"HALLMARK_G2M_CHECKPOINT"	-0.26795348858233
"GATA6KO_replicate1"	"GATA6_KO"	"HALLMARK_G2M_CHECKPOINT"	-0.39009131231129
"GATA6KO_replicate2"	"GATA6_KO"	"HALLMARK_G2M_CHECKPOINT"	0.108019637753641
"GATA6KO_replicate3"	"GATA6_KO"	"HALLMARK_G2M_CHECKPOINT"	0.671824101008945
