sample_id	generation	origin	set_id	score
"1171_Primary"	"round2"	"primary"	"REC_PROGRAM_TOP50"	-0.821807786613806
"1172_Primary"	"round2"	"primary"	"REC_PROGRAM_TOP50"	-0.20937104039706
"1177_Primary"	"round2"	"primary"	"REC_PROGRAM_TOP50"	-0.279267692580817
"1184_Met"	"round2"	"metastatic"	"REC_PROGRAM_TOP50"	-0.086746852190483
"1186_Met"	"round2"	"metastatic"	"REC_PROGRAM_TOP50"	0.100373889694481
"1188_Met"	"round2"	"metastatic"	"REC_PROGRAM_TOP50"	0.647981221071054
"1242_Primary"	"round3"	"primary"	"REC_PROGRAM_TOP50"	-0.755713541604808
"1244_Primary"	"round3"	"primary"	"REC_PROGRAM_TOP50"	0.0916643544480478
"1248_Primary"	"round3"	"primary"	"REC_PROGRAM_TOP50"	0.113894347785763
"1235_Met"	"round3"	"metastatic"	"REC_PROGRAM_TOP50"	0.51450010644243
"1237_Met"	"round3"	"metastatic"	"REC_PROGRAM_TOP50"	0.701819396055866
"1238_Met"	"round3"	"metastatic"	"REC_PROGRAM_TOP50"	-0.0173264021106663
"1171_Primary"	"round2"	"primary"	"CORE_HRC"	-0.693525267216212
"1172_Primary"	"round2"	"primary"	"CORE_HRC"	-0.00430595514681386
"1177_Primary"	"round2"	"primary"	"CORE_HRC"	0.00434503369400164
"1184_Met"	"round2"	"metastatic"	"CORE_HRC"	-0.679461013752778
"1186_Met"	"round2"	"metastatic"	"CORE_HRC"	0.242467980458473
"1188_Met"	"round2"	"metastatic"	"CORE_HRC"	0.399642952033347
"1242_Primary"	"round3"	"primary"	"CORE_HRC"	-0.526908503321992
"1244_Primary"	"round3"	"primary"	"CORE_HRC"	0.165793913363535
"1248_Primary"	"round3"	"primary"	"CORE_HRC"	0.229677999140533
"1235_Met"	"round3"	"metastatic"	"CORE_HRC"	0.310225758378175
"1237_Met"	"round3"	"metastatic"	"CORE_HRC"	0.593348032533987
"1238_Met"	"round3"	"metastatic"	"CORE_HRC"	-0.0413009301642553
"1171_Primary"	"round2"	"primary"	"PUBLISHED_FETAL"	-0.19571693579823
"1172_Primary"	"round2"	"primary"	"PUBLISHED_FETAL"	0.184760320921352
"1177_Primary"	"round2"	"primary"	"PUBLISHED_FETAL"	0.13524944714396
"1184_Met"	"round2"	"metastatic"	"PUBLISHED_FETAL"	-0.688073986665469
"1186_Met"	"round2"	"metastatic"	"PUBLISHED_FETAL"	0.233279144248654
"1188_Met"	"round2"	"metastatic"	"PUBLISHED_FETAL"	0.0161182449516002
"1242_Primary"	"round3"	"primary"	"PUBLISHED_FETAL"	0.0510024919722756
"1244_Primary"	"round3"	"primary"	"PUBLISHED_FETAL"	0.0888479282561078
"1248_Primary"	"round3"	"primary"	"PUBLISHED_FETAL"	0.305908474623089
"1235_Met"	"round3"	"metastatic"	"PUBLISHED_FETAL"	-0.224971440183819
"1237_Met"	"round3"	"metastatic"	"PUBLISHED_FETAL"	0.21249170314695
"1238_Met"	"round3"	"metastatic"	"PUBLISHED_FETAL"	-0.118895392616474
"1171_Primary"	"round2"	"primary"	"PARTIAL_EMT"	-0.248689700484625
"1172_Primary"	"round2"	"primary"	"PARTIAL_EMT"	0.241077126127131
"1177_Primary"	"round2"	"primary"	"PARTIAL_EMT"	0.143908936298627
"1184_Met"	"round2"	"metastatic"	"PARTIAL_EMT"	-0.0784566863014245
"1186_Met"	"round2"	"metastatic"	"PARTIAL_EMT"	-0.260546571059585
"1188_Met"	"round2"	"metastatic"	"PARTIAL_EMT"	-0.371545890749613
"1242_Primary"	"round3"	"primary"	"PARTIAL_EMT"	-0.175329566729794
"1244_Primary"	"round3"	"primary"	"PARTIAL_EMT"	0.438246013242606
"1248_Primary"	"round3"	"primary"	"PARTIAL_EMT"	0.639493428311622
"1235_Met"	"round3"	"metastatic"	"PARTIAL_EMT"	-0.280734548117597
