restriction	model	component	n	effect	low	high	p	n_positive	loo_min	loo_max	family	q
all_tumour	adjusted	Claudin	6	0.31022666967781637	0.19416317043683837	0.4177246759630033	0.03125	6	0.27429969398182613	0.3462277682305733	components	0.0625
all_tumour	adjusted	Polarity	6	0.07276064100721769	0.020736250991853465	0.12547853575403217	0.0625	5	0.05428814728841765	0.09097313611641156	components	0.0625
all_tumour	adjusted	gene_CLDN1	6	0.04174494843118087	-0.040098954693027745	0.13723738158066642	0.5625	2	-0.00047289631808679583	0.06321592360636308	genes	0.7744565217391305
all_tumour	adjusted	gene_CLDN10	6	0.012507664116411955	-0.0007414023693200311	0.026557184318105834	0.21875	4	0.007153062240466561	0.016605874869027457	genes	0.5048076923076923
all_tumour	adjusted	gene_CLDN11	6	0.009227402654084518	-0.019322572088893878	0.042767173929222566	0.71875	3	-0.00519021992616817	0.019655050921834828	genes	0.829326923076923
all_tumour	adjusted	gene_CLDN12	6	0.07020523156665322	0.03734742518968725	0.10913301863631962	0.03125	6	0.053169504295612666	0.08111565618930658	genes	0.10416666666666667
all_tumour	adjusted	gene_CLDN14	6	-0.01004886027576096	-0.033581858894613126	0.025042859403441437	0.59375	1	-0.026782626139081403	-0.0030728773685258113	genes	0.7744565217391305
all_tumour	adjusted	gene_CLDN15	6	0.03695453687068815	-0.025455664454296905	0.1079830774888873	0.40625	4	0.007397329352957374	0.056189212069422914	genes	0.6770833333333334
all_tumour	adjusted	gene_CLDN16	6	-0.024353064437980528	-0.0645894025569734	0.007264323174307016	0.34375	2	-0.032535007760894546	-0.005650716073550649	genes	0.64453125
all_tumour	adjusted	gene_CLDN17	6	-0.0035640997914295797	-0.014928032669071865	0.006495168698740321	0.65625	3	-0.00747908767083621	0.001180129766668117	genes	0.8203125
all_tumour	adjusted	gene_CLDN18	6	0.00434998341254691	-0.012072311194601384	0.02400824783838594	0.71875	3	-0.0045741284511079516	0.010509122393193519	genes	0.829326923076923
all_tumour	adjusted	gene_CLDN19	6	-0.007771851428184172	-0.02752078517995513	0.01906472964595696	0.5625	1	-0.020177611042792802	-0.0012004600254363147	genes	0.7744565217391305
all_tumour	adjusted	gene_CLDN2	6	0.012308648199668336	-0.005142197682936275	0.029751999411415535	0.28125	4	0.006209825532479476	0.018574068706755376	genes	0.6026785714285714
all_tumour	adjusted	gene_CLDN20	6	-0.001837730285098272	-0.012947772715372735	0.007895773494996492	0.78125	3	-0.004509081639862113	0.0026271393594336713	genes	0.8370535714285714
all_tumour	adjusted	gene_CLDN22	6	-0.006892213238341738	-0.019415962138205876	0.0035095122773647434	0.34375	2	-0.010574226080911731	-0.0013302428463586441	genes	0.64453125
all_tumour	adjusted	gene_CLDN23	6	0.0921047621841896	0.04656190616840857	0.15461092356853648	0.03125	6	0.06233270718150267	0.10508894007895676	genes	0.10416666666666667
all_tumour	adjusted	gene_CLDN3	6	0.2303041441634324	0.1709663986795873	0.272554726570988	0.03125	6	0.21953761149231893	0.25763439853299613	genes	0.10416666666666667
all_tumour	adjusted	gene_CLDN4	6	0.3354053605064335	0.1764780557576458	0.4703748222880456	0.03125	6	0.27259131414019727	0.39555804270574	genes	0.10416666666666667
all_tumour	adjusted	gene_CLDN5	6	0.013407816512542753	-0.04126619685777866	0.06342958912907883	0.59375	4	-0.0028555062313810288	0.034812127597546046	genes	0.7744565217391305
all_tumour	adjusted	gene_CLDN6	6	0.006303259936390607	-0.0075671833150229	0.02785164397079923	0.8125	3	-0.0035284926522554725	0.009715557487941619	genes	0.8405172413793104
all_tumour	adjusted	gene_CLDN7	6	0.1749297238373736	0.11440868774450898	0.24676749005194984	0.03125	6	0.13940134933778733	0.19565976435466412	genes	0.10416666666666667
all_tumour	adjusted	gene_CLDN8	6	0.015081364846845571	-0.009700527705495048	0.0408997828940354	0.375	3	0.004227130295568432	0.023589588735334954	genes	0.6617647058823529
all_tumour	adjusted	gene_CLDN9	6	0.03881817559048944	0.021435564582021362	0.05678601880803283	0.03125	6	0.030693212152025105	0.04446942081450193	genes	0.10416666666666667
all_tumour	adjusted	gene_CRB3	6	0.06903286447711576	0.03595562839678499	0.0985814699478587	0.0625	5	0.057980453415775075	0.08306241916480585	genes	0.15625
all_tumour	adjusted	gene_F11R	6	0.11324109638177018	0.062001309504475514	0.17865100850618768	0.03125	6	0.08462979193138953	0.12670710291458123	genes	0.10416666666666667
all_tumour	adjusted	gene_PALS1	6	0.011515534999277415	-0.012756366726493528	0.03524458544300333	0.4375	4	0.005275100733774111	0.020781515448967783	genes	0.6907894736842105
all_tumour	adjusted	gene_PARD3	6	0.03584456263550378	0.01668659157707404	0.05461469889202482	0.0625	5	0.02808423776901023	0.04383048236829834	genes	0.15625
all_tumour	adjusted	gene_PARD6A	6	0.0035492988521571077	-0.03492350696999577	0.03504794909987931	0.875	3	-0.006754825303856447	0.019611563646836448	genes	0.875
all_tumour	adjusted	gene_PARD6B	6	0.09210929797566841	0.04524008350554714	0.1422984862449432	0.03125	6	0.06908032635127465	0.11038416351988539	genes	0.10416666666666667
all_tumour	adjusted	gene_PARD6G	6	-0.0061130862566096305	-0.03469158749914807	0.023265681767022872	0.75	3	-0.015417719109408024	0.003143494061315221	genes	0.8333333333333334
all_tumour	adjusted	gene_PATJ	6	0.044798505478769735	0.018917549205261047	0.07223056650993132	0.03125	6	0.03407164441896275	0.05273873229782702	genes	0.10416666666666667
all_tumour	adjusted	gene_PRKCI	6	0.04436426258576973	0.014926640900381363	0.07063092662726647	0.0625	5	0.03576861188010376	0.05626516387804627	genes	0.15625
all_tumour	unadjusted	Claudin	6	0.49924148226958104	0.32785499014572944	0.6781317860367565	0.03125	6	0.39522301556819506	0.5360953279204074	components	0.03125
all_tumour	unadjusted	Polarity	6	0.28417139264541863	0.24126934332931507	0.3221530181926038	0.03125	6	0.26988562419714424	0.30114889184800414	components	0.03125
all_tumour	unadjusted	gene_CLDN1	6	0.01269161756180353	-0.1885370124906235	0.1630781301788357	0.90625	4	-0.041525078611474336	0.10300278104168986	genes	0.90625
all_tumour	unadjusted	gene_CLDN10	5	0.007206487403739072	-0.023285246230957752	0.028574006306410923	0.6875	4	0.00022235370970803925	0.02183190196163181	genes	0.7447916666666666
all_tumour	unadjusted	gene_CLDN11	6	0.013168040677145767	-0.0639234922456554	0.07679444357482888	0.84375	4	-0.006597770265722577	0.046685592954968325	genes	0.8775000000000001
all_tumour	unadjusted	gene_CLDN12	6	0.22110349085212122	0.15341394897164223	0.28712829385645905	0.03125	6	0.19873994133661033	0.2415252403464241	genes	0.05416666666666667
all_tumour	unadjusted	gene_CLDN14	6	0.03243179169752628	-0.005037941374605252	0.07884099125054735	0.34375	4	0.011817007806231824	0.0428654958565014	genes	0.40625
all_tumour	unadjusted	gene_CLDN15	6	0.21221677539232717	0.08034705421222414	0.4033995458714528	0.03125	6	0.11322318380925765	0.24723230499719084	genes	0.05416666666666667
all_tumour	unadjusted	gene_CLDN16	6	0.016887181293138587	-0.010736613507992902	0.037403909256947185	0.28125	5	0.010943062721066536	0.029718968719165746	genes	0.36562500000000003
all_tumour	unadjusted	gene_CLDN17	4	-0.004111761649728602	-0.026860440160095696	0.01864117342172538	NA	2	-0.013331438883771243	0.0039163493876054065	genes	NA
all_tumour	unadjusted	gene_CLDN18	5	0.01462850017727861	-0.008371657449361587	0.0340473728072644	0.3125	4	0.007496275390880682	0.025491268608456387	genes	0.3869047619047619
all_tumour	unadjusted	gene_CLDN19	4	0.0037661561537957115	-0.016462309664893114	0.023991540245207166	NA	2	-0.0029871283171850186	0.010575111186763792	genes	NA
all_tumour	unadjusted	gene_CLDN2	6	0.07892676247136014	0.03156392122282046	0.13105340519781095	0.03125	6	0.05690961203890949	0.09262839663007653	genes	0.05416666666666667
all_tumour	unadjusted	gene_CLDN20	3	-0.00999019774729254	-0.06308833741519285	0.02391321428113427	NA	2	-0.026938163337961507	0.016598799117133512	genes	NA
all_tumour	unadjusted	gene_CLDN22	3	-0.005263482226206717	-0.007455059333964222	-0.001835628763067626	NA	0	-0.006977367607283186	-0.004167673395147686	genes	NA
all_tumour	unadjusted	gene_CLDN23	6	0.20076067449245102	0.08990258031596547	0.31100051216173563	0.0625	5	0.1530910334913369	0.24454462334832952	genes	0.09558823529411764
all_tumour	unadjusted	gene_CLDN3	6	0.3539010409434121	0.20325978728953661	0.5548239822550868	0.03125	6	0.24278603141672608	0.39215880338034675	genes	0.05416666666666667
all_tumour	unadjusted	gene_CLDN4	6	0.4108871168145172	0.21026377152147538	0.6192994821136535	0.03125	6	0.2949316280974467	0.47054448362744283	genes	0.05416666666666667
all_tumour	unadjusted	gene_CLDN5	6	0.08411737234418976	0.009177890684161704	0.15425256931025125	0.125	4	0.06098786606932899	0.11262490688539259	genes	0.17105263157894737
all_tumour	unadjusted	gene_CLDN6	6	0.027088490563396846	0.007607419619540579	0.048104280923636555	0.0625	5	0.018731102635712215	0.03450761008745878	genes	0.09558823529411764
all_tumour	unadjusted	gene_CLDN7	6	0.29839341520060064	0.1187202375309454	0.556649963947382	0.03125	6	0.15377665372021995	0.3454507959423129	genes	0.05416666666666667
all_tumour	unadjusted	gene_CLDN8	5	0.01061015940557173	-0.012304359782717676	0.03446476886620748	0.5625	3	-0.00018094312878223198	0.01770211172460089	genes	0.6358695652173912
all_tumour	unadjusted	gene_CLDN9	6	0.13446992562870405	0.0930329164039745	0.16832917999971042	0.03125	6	0.1246103052241989	0.15329452423862128	genes	0.05416666666666667
all_tumour	unadjusted	gene_CRB3	6	0.22449768008779244	0.171289867509515	0.27428551472103874	0.03125	6	0.20221413165652036	0.24345052567334652	genes	0.05416666666666667
all_tumour	unadjusted	gene_F11R	6	0.24035994821248996	0.19409819728070826	0.2952262826699647	0.03125	6	0.21498852995418488	0.2569253951969361	genes	0.05416666666666667
all_tumour	unadjusted	gene_PALS1	6	0.16262229119756227	0.1151377486756385	0.21311847720648627	0.03125	6	0.14337086307392985	0.17657001669635014	genes	0.05416666666666667
all_tumour	unadjusted	gene_PARD3	6	0.16830274786317523	0.10382883272432403	0.22268452684571766	0.03125	6	0.15110207358110792	0.19586691156618669	genes	0.05416666666666667
all_tumour	unadjusted	gene_PARD6A	6	0.12929462702020372	0.08562152115315023	0.17551482697862997	0.03125	6	0.11235279465842544	0.1408789753004731	genes	0.05416666666666667
all_tumour	unadjusted	gene_PARD6B	6	0.2673038903958967	0.2150535807293439	0.3147936360124967	0.03125	6	0.24907531170280503	0.28716565153879586	genes	0.05416666666666667
all_tumour	unadjusted	gene_PARD6G	6	0.052372509231451196	0.005964527401434809	0.10041660816992123	0.125	4	0.03471081922268196	0.06672573611074419	genes	0.17105263157894737
all_tumour	unadjusted	gene_PATJ	6	0.14728444214730838	0.10515591298364613	0.19545189081038036	0.03125	6	0.12549059932953763	0.1588212483696128	genes	0.05416666666666667
all_tumour	unadjusted	gene_PRKCI	6	0.19704419306844953	0.14648092520439537	0.2504863837080309	0.03125	6	0.17379373672052836	0.21677429957124522	genes	0.05416666666666667
epithelial_high	adjusted	Claudin	6	0.2835873260776394	0.1432888929201083	0.39368135530351955	0.0625	5	0.242951905834575	0.33816111690466305	components	0.125
epithelial_high	adjusted	Polarity	6	0.06791838414547095	0.01781422002339331	0.12240890376704175	0.125	4	0.04395358214694967	0.08441297291909503	components	0.125
epithelial_high	adjusted	gene_CLDN1	6	0.020339202257586057	-0.0644207091526604	0.11481832634222043	0.71875	3	-0.017913960468507323	0.05386060185189771	genes	0.8624999999999999
epithelial_high	adjusted	gene_CLDN10	6	0.005366425624219339	-0.025782213129796554	0.035702036216790196	0.875	3	-0.004884220505990015	0.01862671567286996	genes	0.9375
epithelial_high	adjusted	gene_CLDN11	6	0.0008745130233714219	-0.04756120929418139	0.04617002753286576	1.0	3	-0.013488555990537077	0.021092224395080364	genes	1.0
epithelial_high	adjusted	gene_CLDN12	6	0.031161278501245115	-0.02049737550752439	0.07443543068561848	0.3125	5	0.01394153596301792	0.05370312111769562	genes	0.5859375
epithelial_high	adjusted	gene_CLDN14	6	-0.0043318576184929	-0.040898899312862946	0.032738838856510036	0.84375	3	-0.018823012660814983	0.009677042821988382	genes	0.9375
epithelial_high	adjusted	gene_CLDN15	6	0.01094715488155315	-0.04175008149349913	0.06206797275079422	0.78125	3	-0.0049188339589625795	0.029078584454084032	genes	0.9014423076923076
epithelial_high	adjusted	gene_CLDN16	6	-0.030161787759097194	-0.051146757500617174	-0.008054163111019925	0.09375	1	-0.03953035718848374	-0.02194573334131275	genes	0.234375
epithelial_high	adjusted	gene_CLDN17	6	0.006008273535589087	-0.013176482051416801	0.027296198137690422	0.71875	3	-0.0021138834405077652	0.014180350319977759	genes	0.8624999999999999
epithelial_high	adjusted	gene_CLDN18	6	0.0032316397372257064	-0.024293152651075286	0.03744991068157901	0.9375	2	-0.012433630843999111	0.010748516942815074	genes	0.9698275862068966
epithelial_high	adjusted	gene_CLDN19	6	-0.01003743027917454	-0.018384057332834967	-0.0007658636355063932	0.15625	1	-0.013484891200488576	-0.0075389766618345466	genes	0.33482142857142855
epithelial_high	adjusted	gene_CLDN2	6	0.03300995299064164	0.011952382734768742	0.05536468531641569	0.0625	5	0.02426403324706101	0.04043356407504563	genes	0.1875
epithelial_high	adjusted	gene_CLDN20	6	0.011826672976422717	-0.012503838414011662	0.03651247705928099	0.375	3	0.0028663743427686738	0.02106050443304032	genes	0.6617647058823529
epithelial_high	adjusted	gene_CLDN22	6	0.005233023944251527	-0.016207709555735878	0.025608682430820585	0.5625	4	-0.003044206132220677	0.014163537205402551	genes	0.84375
epithelial_high	adjusted	gene_CLDN23	6	0.10865065542756505	0.06912524877991723	0.1642461727536553	0.03125	6	0.08389905973213176	0.1186735000257062	genes	0.1875
epithelial_high	adjusted	gene_CLDN3	6	0.23085500502464062	0.1608675088688976	0.2863800708071828	0.03125	6	0.21031303794503958	0.2603048427920448	genes	0.1875
epithelial_high	adjusted	gene_CLDN4	6	0.35685000292443225	0.14838640420480606	0.519790649304829	0.0625	5	0.28450718078688036	0.43990864111285466	genes	0.1875
epithelial_high	adjusted	gene_CLDN5	6	-0.0125057696079096	-0.06130925222090197	0.03911284203310489	0.6875	3	-0.02970512685921087	0.005417192540198041	genes	0.8624999999999999
epithelial_high	adjusted	gene_CLDN6	6	-0.010014454652338977	-0.04518378043501682	0.031043354509063745	0.71875	2	-0.028747198190634007	0.0003305447581907457	genes	0.8624999999999999
epithelial_high	adjusted	gene_CLDN7	6	0.1977041266838423	0.144015196116217	0.261739763954606	0.03125	6	0.16871204101097997	0.21536237169247446	genes	0.1875
epithelial_high	adjusted	gene_CLDN8	6	0.029773540553062007	0.007509465238866676	0.0535204171749572	0.125	4	0.01941878793799255	0.03718846075730515	genes	0.28846153846153844
epithelial_high	adjusted	gene_CLDN9	6	0.042873865825784126	0.012549445541378408	0.07207990737221309	0.09375	5	0.032214535910006954	0.05466370969655846	genes	0.234375
epithelial_high	adjusted	gene_CRB3	6	0.05768270787552761	0.017336863549372646	0.10278020195712127	0.0625	5	0.03857073925672042	0.07442794108282019	genes	0.1875
epithelial_high	adjusted	gene_F11R	6	0.09394392123297345	0.022591096817710616	0.17122412312752355	0.0625	5	0.060357578846436125	0.12214204180132798	genes	0.1875
epithelial_high	adjusted	gene_PALS1	6	0.015133029060331826	-0.029844377972602035	0.06071847154313227	0.59375	4	-0.0034590486519436806	0.03210863691492646	genes	0.8482142857142857
epithelial_high	adjusted	gene_PARD3	6	0.040274038056367874	0.028887362849011514	0.055230527534373	0.03125	6	0.03338116986406672	0.04392034602917495	genes	0.1875
epithelial_high	adjusted	gene_PARD6A	6	0.015109367269190762	-0.019270004083517908	0.04816912943064437	0.5	3	0.0045315651713418925	0.027635120627964443	genes	0.7894736842105263
epithelial_high	adjusted	gene_PARD6B	6	0.0854456482870969	0.043883119958168224	0.1238154368308795	0.0625	5	0.07032299198586986	0.102927378198419	genes	0.1875
epithelial_high	adjusted	gene_PARD6G	6	-0.024080183691442422	-0.07007397261899954	0.015027147560717956	0.4375	3	-0.03744631643918133	-0.003936108522968169	genes	0.7291666666666667
epithelial_high	adjusted	gene_PATJ	6	0.030313527694928493	0.012987114351882134	0.051929384333131004	0.03125	6	0.020350644909064786	0.035685751773651735	genes	0.1875
epithelial_high	adjusted	gene_PRKCI	6	0.02435566546334084	-0.01715912579645387	0.063398476566398	0.3125	5	0.008432060823429902	0.04122513620359814	genes	0.5859375
epithelial_high	unadjusted	Claudin	6	0.5039726155856553	0.3230166667299202	0.6737694843101034	0.03125	6	0.40896640885309443	0.5559158735149565	components	0.03125
epithelial_high	unadjusted	Polarity	6	0.29140368941701367	0.22642443275517352	0.3462809363521529	0.03125	6	0.27018952434417465	0.31883688325928844	components	0.03125
epithelial_high	unadjusted	gene_CLDN1	6	-0.01329993177028363	-0.24278158836012587	0.14299251364781038	1.0	5	-0.061027986248467496	0.09564128117075896	genes	1.0
epithelial_high	unadjusted	gene_CLDN10	4	0.021004478564798198	-0.0035083700168279963	0.04549209966311927	NA	2	0.0112512344752655	0.030198056857288606	genes	NA
epithelial_high	unadjusted	gene_CLDN11	6	0.005845795175095209	-0.10304669718884006	0.08888239316023143	0.90625	4	-0.01678508419072032	0.05670482589923648	genes	0.9474431818181818
epithelial_high	unadjusted	gene_CLDN12	6	0.2185559009046629	0.14304800267563	0.28690602063169546	0.03125	6	0.19543492274724888	0.24786368107554616	genes	0.055288461538461536
