hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
3	all_tumour	mean_logCPM	Claudin	21	near_minus_deep	6	0.011608215251296258	-0.11488459822019255	0.17394088873934943	0.90625	3.0	-0.061958324730526385	0.057501700259858166	0.9375
3	all_tumour	mean_logCPM	Claudin	21	HGP_near	6	0.05848351871984181	-0.4334620165873784	0.5504290540270615	0.8	NA	-0.14634429695175544	0.2860877425162671	1.0
3	all_tumour	mean_logCPM	Claudin	21	HGP_localization	6	-0.10584029767886453	-0.41599421804207387	0.17178864549690567	0.7	NA	-0.24703408461998544	0.051615977855975936	0.7
3	all_tumour	mean_logCPM	Polarity	8	near_minus_deep	6	0.0033754606739157347	-0.045570538103164804	0.05471016096743068	0.90625	4.0	-0.01880560215840088	0.021716939273540882	0.9375
3	all_tumour	mean_logCPM	Polarity	8	HGP_near	6	-0.058529139952341325	-0.5096292735727586	0.39257099366807324	0.8	NA	-0.2544828819951501	0.14864931084674016	1.0
3	all_tumour	mean_logCPM	Polarity	8	HGP_localization	6	0.044234800938435015	-0.044554227211084665	0.13302382908795468	0.6	NA	-0.00015915590774777041	0.07724800380233339	0.7
3	all_tumour	mean_logCPM	Junction	30	near_minus_deep	6	0.0030353938147038573	-0.09195376577754281	0.11761234072048661	0.9375	2.0	-0.047189037701212654	0.03888915577000738	0.9375
3	all_tumour	mean_logCPM	Junction	30	HGP_near	6	0.024917537937078293	-0.1887624815820952	0.23859755745625089	0.8	NA	-0.053864039871517555	0.13104868147261284	1.0
3	all_tumour	mean_logCPM	Junction	30	HGP_localization	6	-0.06343138928254517	-0.2713535728054821	0.1427921622262831	0.7	NA	-0.16892364149144026	0.046271842186609805	0.7
3	all_tumour	mean_logCPM	HRC	87	near_minus_deep	6	-0.13180977132277683	-0.28165683867503866	0.001181899306350746	0.1875	2.0	-0.1662584852515737	-0.06805901069002136	0.75
3	all_tumour	mean_logCPM	HRC	87	HGP_near	6	0.004721325572119461	-0.7556742541154327	0.6877701776254366	1.0	NA	-0.24237929060963825	0.38491911541589374	1.0
3	all_tumour	mean_logCPM	HRC	87	HGP_localization	6	-0.22016013548215402	-0.4288338709048543	0.018185758608783686	0.3	NA	-0.34906673207958	-0.11582326777080383	0.7
3	all_tumour	mean_gene_z	Claudin	21	near_minus_deep	6	-0.04252597571446295	-0.17239209714903928	0.12085059313570369	0.5625	2.0	-0.11765492108647344	-0.006143249440054932	0.71875
3	all_tumour	mean_gene_z	Claudin	21	HGP_near	6	-0.006164316019543006	-0.28619999069410046	0.2422291487868001	1.0	NA	-0.08105411209453241	0.1338535213177357	1.0
3	all_tumour	mean_gene_z	Claudin	21	HGP_localization	6	-0.14270838027743998	-0.43653628688674484	0.11702386259171269	0.6	NA	-0.2654658099807509	0.00943688808322625	0.7
3	all_tumour	mean_gene_z	Polarity	8	near_minus_deep	6	-0.014055007572164714	-0.08273425583621699	0.04729760659550299	0.71875	3.0	-0.03465042873599968	0.014085381319329168	0.71875
3	all_tumour	mean_gene_z	Polarity	8	HGP_near	6	-0.22942605280025985	-0.8385233487654407	0.37967124316492107	0.6	NA	-0.5070724351017638	0.053021350452277835	1.0
3	all_tumour	mean_gene_z	Polarity	8	HGP_localization	6	0.027925907372714373	-0.09903376738781772	0.1548855821332465	0.7	NA	-0.03544358801284174	0.06993792701148473	0.7
3	all_tumour	mean_gene_z	Junction	30	near_minus_deep	6	-0.04901706754450926	-0.14549488695297713	0.06466657978722243	0.34375	1.0	-0.09924445064615181	-0.019917390400494662	0.6875
3	all_tumour	mean_gene_z	Junction	30	HGP_near	6	-0.06656437486961224	-0.24365212130104125	0.091585785255381	0.7	NA	-0.13931737372798358	0.021979498346102258	1.0
3	all_tumour	mean_gene_z	Junction	30	HGP_localization	6	-0.09539654898101069	-0.29883518999871805	0.0971894800902891	0.5	NA	-0.19144046446784585	0.00632277152784301	0.7
3	all_tumour	mean_gene_z	HRC	87	near_minus_deep	6	-0.14583290871683185	-0.3011022507961391	-0.008705346838739164	0.1875	2.0	-0.18442811525864014	-0.08244732610104957	0.6875
