minimum_cells	method	rival	comparator	n_pairs	fisher_z_difference	CI_low	CI_high	mean_rho_difference	n_REC_greater	p_signflip	allocations	bootstrap_B	seed	analysis_role	p_BH_six_tests
20	matched	ICMS3_MINUS_ICMS2	Hypoxia	9	0.0899023517485939	-0.03483653393356979	0.20551718246806575	0.08166015964464562	6	0.1953125	512	10000	42	primary_extension	0.29296875
20	matched	ICMS3_MINUS_ICMS2	UPR	6	0.17684205747510884	0.022259304790994583	0.31502605128834	0.1643282327746719	5	0.09375	64	10000	42	primary_extension	0.1875
20	matched	ICMS3_MINUS_ICMS2	iREC	5	0.00527846468235933	-0.19775015119176403	0.28749574368134345	0.012622231450702171	1	1.0	32	10000	42	primary_extension	1.0
20	matched	WHITE_RSC	Hypoxia	9	0.10588985649402116	0.032442924254740046	0.17913335563538074	0.09868978543117257	8	0.02734375	512	10000	42	primary_extension	0.09375
20	matched	WHITE_RSC	UPR	6	0.13877802200376332	0.09320011515013242	0.19837185549592315	0.12861165420377715	6	0.03125	64	10000	42	primary_extension	0.09375
20	matched	WHITE_RSC	iREC	5	0.07601540886626616	-0.18433120002874168	0.3981888205013294	0.08103118316760101	2	0.875	32	10000	42	primary_extension	1.0
20	gene_z	ICMS3_MINUS_ICMS2	Hypoxia	9	0.015230922813864227	-0.1140885058249011	0.13303936720862367	0.014309044520923402	5	0.82421875	512	10000	42	sensitivity	0.875
20	gene_z	ICMS3_MINUS_ICMS2	UPR	6	0.011372465851617851	-0.1049586216199291	0.12465538031534142	0.011725517524712195	3	0.8125	64	10000	42	sensitivity	0.875
20	gene_z	ICMS3_MINUS_ICMS2	iREC	5	-0.030392688216487995	-0.21992876937828093	0.21128441029201803	-0.02732919384170839	2	0.875	32	10000	42	sensitivity	0.875
20	gene_z	WHITE_RSC	Hypoxia	9	0.028302277346913953	-0.027092687610580608	0.08859021285432728	0.026975065203343026	5	0.390625	512	10000	42	sensitivity	0.875
20	gene_z	WHITE_RSC	UPR	6	0.054562328729222655	-0.06773806146471638	0.1532735235594698	0.055110188469180865	4	0.5	64	10000	42	sensitivity	0.875
20	gene_z	WHITE_RSC	iREC	5	0.1457005143547655	-0.07916478354188097	0.4408113376152836	0.14187894508417437	3	0.5	32	10000	42	sensitivity	0.875
10	matched	ICMS3_MINUS_ICMS2	Hypoxia	12	0.04386454344969398	-0.07121284465000455	0.15521124898151126	0.038531779269009685	7	0.47119140625	4096	10000	42	sensitivity	0.5654296875
10	matched	ICMS3_MINUS_ICMS2	UPR	9	0.2233232624086454	0.05232940742249569	0.40451078021599185	0.21025458588913212	7	0.04296875	512	10000	42	sensitivity	0.0859375
10	matched	ICMS3_MINUS_ICMS2	iREC	8	0.05489548410759827	-0.13091333153316584	0.2714162445587564	0.05719961682925313	3	0.6015625	256	10000	42	sensitivity	0.6015625
10	matched	WHITE_RSC	Hypoxia	12	0.10921838328903888	0.033962141310949864	0.1793148700464281	0.10042917164129184	10	0.01806640625	4096	10000	42	sensitivity	0.0859375
10	matched	WHITE_RSC	UPR	9	0.24281143463346597	0.05650118438281069	0.48937635706864996	0.21986263579420892	8	0.03125	512	10000	42	sensitivity	0.0859375
10	matched	WHITE_RSC	iREC	8	0.18374729631410103	-0.04218675636544013	0.4202782611187259	0.17988564306300944	5	0.21875	256	10000	42	sensitivity	0.328125
10	gene_z	ICMS3_MINUS_ICMS2	Hypoxia	12	-0.025679532748572303	-0.12733444020549778	0.07719560208296154	-0.025837616996145795	5	0.640625	4096	10000	42	sensitivity	0.8046875
10	gene_z	ICMS3_MINUS_ICMS2	UPR	9	0.0824372055177343	-0.14473057564212344	0.361466386512883	0.06791789836222038	5	0.65234375	512	10000	42	sensitivity	0.8046875
10	gene_z	ICMS3_MINUS_ICMS2	iREC	8	-0.02340625917704632	-0.17649915497229784	0.1530908650273317	-0.020750596038022887	3	0.8046875	256	10000	42	sensitivity	0.8046875
10	gene_z	WHITE_RSC	Hypoxia	12	0.019264461162063023	-0.08683796095457787	0.1192974677673413	0.016539514458198807	7	0.71826171875	4096	10000	42	sensitivity	0.8046875
10	gene_z	WHITE_RSC	UPR	9	0.12885294095001967	-0.1053337405454947	0.36444329419264254	0.12123742002505053	6	0.328125	512	10000	42	sensitivity	0.8046875
10	gene_z	WHITE_RSC	iREC	8	0.22929855608450606	0.042219386339690114	0.42264408018781263	0.21959851518730983	6	0.0703125	256	10000	42	sensitivity	0.421875
