gene	compartment	mean_detection	n_patients
CLDN1	B	0.0	1
CLDN1	Endothelial	0.03456758389542815	8
CLDN1	Epithelial	0.298247088681048	15
CLDN1	Hepatocyte	0.6884102654451492	6
CLDN1	Myeloid	0.0363939617889117	14
CLDN1	Plasma	0.0	1
CLDN1	Stromal	0.05847301249874777	10
CLDN1	T-NK-ILC	0.019444569617945648	11
CLDN10	B	0.0	1
CLDN10	Endothelial	0.02928403541275605	8
CLDN10	Epithelial	0.02868271271929873	15
CLDN10	Hepatocyte	0.14446122353099092	6
CLDN10	Myeloid	0.0046784500214615285	14
CLDN10	Plasma	0.0	1
CLDN10	Stromal	0.008030020088843601	10
CLDN10	T-NK-ILC	0.006668748867757563	11
CLDN11	B	0.0	1
CLDN11	Endothelial	0.029046921386850912	8
CLDN11	Epithelial	0.01814437736066826	15
CLDN11	Hepatocyte	0.005483405483405468	6
CLDN11	Myeloid	0.004071110434816029	14
CLDN11	Plasma	0.0	1
CLDN11	Stromal	0.09086649034443149	10
CLDN11	T-NK-ILC	0.0030342710974234997	11
CLDN12	B	0.0344827586206896	1
CLDN12	Endothelial	0.051282494040471624	8
CLDN12	Epithelial	0.2593746978247996	15
CLDN12	Hepatocyte	0.17591026544514912	6
CLDN12	Myeloid	0.049142913041315954	14
CLDN12	Plasma	0.0	1
CLDN12	Stromal	0.13232543329234503	10
CLDN12	T-NK-ILC	0.018041202617770556	11
CLDN14	B	0.0	1
CLDN14	Endothelial	0.06351821555765871	8
CLDN14	Epithelial	0.006204004750287246	15
CLDN14	Hepatocyte	0.12101119165072649	6
CLDN14	Myeloid	0.02882930942999698	14
CLDN14	Plasma	0.0	1
CLDN14	Stromal	0.005842033783210239	10
CLDN14	T-NK-ILC	0.0	11
CLDN15	B	0.0344827586206896	1
CLDN15	Endothelial	0.0458638425510576	8
CLDN15	Epithelial	0.12179367792274111	15
CLDN15	Hepatocyte	0.06864240410752036	6
CLDN15	Myeloid	0.026403297080194104	14
CLDN15	Plasma	0.0	1
CLDN15	Stromal	0.031858062321297585	10
CLDN15	T-NK-ILC	0.020011444327203635	11
CLDN16	B	0.0	1
CLDN16	Endothelial	0.0034722222222222125	8
CLDN16	Epithelial	0.047799463481769014	15
