scope	scoring	model	component	n	effect	low	high	p	n_positive	loo_min	loo_max	q_within_three_tests
All_epithelial	matched	conditional	Claudin	14	0.1466974886678518	0.11149975175345397	0.17937893516311929	0.0001220703125	14	0.14034610245700202	0.15665904839011946	0.0003662109375
All_epithelial	matched	conditional	Polarity	14	0.05125999005218788	0.026261067083237173	0.07620103138350094	0.0020751953125	11	0.04310748481646321	0.05791691318481274	0.0020751953125
All_epithelial	matched	technical	Claudin	14	0.21828713311908154	0.17242303679957027	0.25726946690697955	0.0001220703125	14	0.2108291972870175	0.2336496891390348	0.0003662109375
All_epithelial	matched	technical	Polarity	14	0.055568604561568334	0.037343852666786186	0.07400689108262185	0.00048828125	12	0.05007218408342075	0.06010883919034454	0.00048828125
All_epithelial	raw	conditional	Claudin	14	0.1569731506009268	0.11670778261203962	0.19388625708066584	0.000244140625	13	0.1486639916438237	0.16933501261391112	0.00054931640625
All_epithelial	raw	conditional	Polarity	14	0.08096808380166245	0.05116367038415572	0.11176947313896478	0.0003662109375	13	0.07163566044373601	0.08790087031312083	0.00054931640625
All_epithelial	raw	technical	Claudin	14	0.24486069012522144	0.19024998994157155	0.2882385498723333	0.000244140625	13	0.23610024169385282	0.2650181387953312	0.000244140625
All_epithelial	raw	technical	Polarity	14	0.09051083643784484	0.06592517041002008	0.11568362809745328	0.0001220703125	14	0.08336674088559765	0.09623424372086418	0.000244140625
REC	matched	conditional	Claudin	9	0.2416499344843793	0.1950136820321603	0.29201156135139805	0.00390625	9	0.22175250090728404	0.25282462699209934	0.01171875
REC	matched	conditional	Polarity	9	0.08759099745956397	-0.027418347483556087	0.1941970645140474	0.1875	6	0.053562125910697006	0.12401490422063761	0.1875
REC	matched	technical	Claudin	9	0.35486999727144586	0.2896187168946498	0.4115083592069491	0.00390625	9	0.3387539981445872	0.3777770352777888	0.005859375
REC	matched	technical	Polarity	9	0.08073451514270429	-0.022543036589562526	0.17156106701230628	0.15625	6	0.056942873132555034	0.11560900686694446	0.15625
REC	raw	conditional	Claudin	9	0.29144311565533787	0.23305376698302632	0.34845805588343487	0.00390625	9	0.27911000769598365	0.30774731783978737	0.01171875
REC	raw	conditional	Polarity	9	0.05371200080817337	-0.03879512042986123	0.14719540756679958	0.31640625	5	0.028335736560158517	0.07629569969167428	0.31640625
REC	raw	technical	Claudin	9	0.379333969565994	0.30603427134336253	0.4445704263537406	0.00390625	9	0.3580479971102153	0.40369377955946556	0.01171875
REC	raw	technical	Polarity	9	0.1023690943269427	0.004561495838803794	0.1935266500251644	0.08203125	7	0.07758593862744192	0.1336893385741742	0.08203125
All_epithelial	matched	conditional	Polarity_minus_Claudin_Fisher_z	14	-0.09645864853028614	-0.12940649154575007	-0.06260493460065755	0.0003662109375	1	-0.10490236687494774	-0.08913017058935205	0.00054931640625
All_epithelial	matched	technical	Polarity_minus_Claudin_Fisher_z	14	-0.16623092640340836	-0.20190995063434364	-0.12796823444179614	0.000244140625	1	-0.17935787417336277	-0.15848039476832065	0.0003662109375
All_epithelial	raw	conditional	Polarity_minus_Claudin_Fisher_z	14	-0.07713613603785223	-0.11256187925641199	-0.04173485789657675	0.0013427734375	2	-0.08587393106788901	-0.06870884638202009	0.0013427734375
All_epithelial	raw	technical	Polarity_minus_Claudin_Fisher_z	14	-0.15917910949249325	-0.19796151030009318	-0.1141970476005425	0.000244140625	1	-0.17530356285704085	-0.151252924092539	0.000244140625
REC	matched	conditional	Polarity_minus_Claudin_Fisher_z	9	-0.15870959076773578	-0.30465159529755265	-0.01801587440578347	0.07421875	2	-0.19729414566439024	-0.11103026054991275	0.111328125
REC	matched	technical	Polarity_minus_Claudin_Fisher_z	9	-0.29009385210397903	-0.42019084304659704	-0.15895965060248418	0.00390625	0	-0.32572838592933406	-0.24976938932132253	0.005859375
REC	raw	conditional	Polarity_minus_Claudin_Fisher_z	9	-0.24637886796344435	-0.3824689805171294	-0.11039986896258441	0.015625	2	-0.2865973194545554	-0.21135484681016753	0.0234375
REC	raw	technical	Polarity_minus_Claudin_Fisher_z	9	-0.2965524937359691	-0.4342533593691595	-0.15910069361567236	0.0078125	1	-0.3359275013027674	-0.2608803810026501	0.01171875
