component	gene	role	source_gene	measured
Claudin	CLDN1	target	CLDN1	True
Claudin	CLDN10	target	CLDN10	True
Claudin	CLDN11	target	CLDN11	True
Claudin	CLDN12	target	CLDN12	True
Claudin	CLDN14	target	CLDN14	True
Claudin	CLDN15	target	CLDN15	True
Claudin	CLDN16	target	CLDN16	True
Claudin	CLDN17	target	CLDN17	False
Claudin	CLDN18	target	CLDN18	True
Claudin	CLDN19	target	CLDN19	True
Claudin	CLDN2	target	CLDN2	True
Claudin	CLDN20	target	CLDN20	True
Claudin	CLDN22	target	CLDN22	True
Claudin	CLDN23	target	CLDN23	True
Claudin	CLDN3	target	CLDN3	True
Claudin	CLDN4	target	CLDN4	True
Claudin	CLDN5	target	CLDN5	True
Claudin	CLDN6	target	CLDN6	True
Claudin	CLDN7	target	CLDN7	True
Claudin	CLDN8	target	CLDN8	True
Claudin	CLDN9	target	CLDN9	True
Claudin	AP001255.1	control	AP001255.1	True
Claudin	KRTAP10-6	control	KRTAP10-6	True
Claudin	AC134508.1	control	AC134508.1	True
Claudin	AC121161.2	control	AC121161.2	True
Claudin	AC105094.1	control	AC105094.1	True
Claudin	IGHV3-33	control	IGHV3-33	True
Claudin	AC025754.1	control	AC025754.1	True
Claudin	TRGJP	control	TRGJP	True
Claudin	AL355981.1	control	AL355981.1	True
Claudin	AL357793.1	control	AL357793.1	True
Claudin	IGLV1-44	control	IGLV1-44	True
Claudin	AC005625.1	control	AC005625.1	True
Claudin	LINC02619	control	LINC02619	True
Claudin	AC079851.1	control	AC079851.1	True
Claudin	CFC1	control	CFC1	True
Claudin	AC051635.1	control	AC051635.1	True
Claudin	AL133415.1	control	AL133415.1	True
Claudin	AC109349.1	control	AC109349.1	True
Claudin	SPART	control	SPART	True
Claudin	HSFX4	control	HSFX4	True
Claudin	AC104232.1	control	AC104232.1	True
Claudin	FAM66E	control	FAM66E	True
Claudin	USH1G	control	USH1G	True
Claudin	CFAP97D1	control	CFAP97D1	True
Claudin	LINC01345	control	LINC01345	True
Claudin	IGFL3	control	IGFL3	True
Claudin	NT5C1A	control	NT5C1A	True
Claudin	SLC5A7	control	SLC5A7	True
Claudin	AL158069.1	control	AL158069.1	True
Claudin	AL645634.2	control	AL645634.2	True
Claudin	AC108752.1	control	AC108752.1	True
Claudin	OMP	control	OMP	True
Claudin	RFPL4B	control	RFPL4B	True
Claudin	AC118755.1	control	AC118755.1	True
Claudin	AC103809.1	control	AC103809.1	True
Claudin	AC073848.1	control	AC073848.1	True
Claudin	AC019209.3	control	AC019209.3	True
Claudin	AC120036.4	control	AC120036.4	True
Claudin	NKX2-8	control	NKX2-8	True
Claudin	AC090618.1	control	AC090618.1	True
Claudin	AC007728.2	control	AC007728.2	True
Claudin	AP001885.3	control	AP001885.3	True
Claudin	AC131159.1	control	AC131159.1	True
Claudin	AC107081.4	control	AC107081.4	True
Claudin	AC009090.1	control	AC009090.1	True
Claudin	CIB3	control	CIB3	True
Claudin	ALPP	control	ALPP	True
Claudin	GAS2L2	control	GAS2L2	True
Claudin	AL589794.2	control	AL589794.2	True
Claudin	AC019155.2	control	AC019155.2	True
Claudin	AC130371.2	control	AC130371.2	True
Claudin	C11ORF72	control	C11orf72	True
Claudin	SPEF1	control	SPEF1	True
Claudin	AC130456.4	control	AC130456.4	True
Claudin	C1QTNF8	control	C1QTNF8	True
Claudin	AL589642.1	control	AL589642.1	True
Claudin	AC005264.1	control	AC005264.1	True
Claudin	AC068787.2	control	AC068787.2	True
Claudin	AL590138.1	control	AL590138.1	True
Claudin	AC078942.1	control	AC078942.1	True
Claudin	GALNTL5	control	GALNTL5	True
Claudin	ASH1L-IT1	control	ASH1L-IT1	True
Claudin	AC074286.1	control	AC074286.1	True
Claudin	NKAIN3-IT1	control	NKAIN3-IT1	True
Claudin	AL035420.3	control	AL035420.3	True
Claudin	SLC22A16	control	SLC22A16	True
Claudin	HCG14	control	HCG14	True
Claudin	AC087276.1	control	AC087276.1	True
Claudin	AC090572.3	control	AC090572.3	True
Claudin	AC008972.2	control	AC008972.2	True
Claudin	PPM1K-DT	control	PPM1K-DT	True
Claudin	ASB15	control	ASB15	True
Claudin	AC087672.2	control	AC087672.2	True
Claudin	TCERG1L	control	TCERG1L	True
Claudin	MMP10	control	MMP10	True
Claudin	LINC02678	control	LINC02678	True
Claudin	AC006273.1	control	AC006273.1	True
Claudin	AC013267.2	control	AC013267.2	True
Claudin	LINC00410	control	LINC00410	True
Claudin	LINC02080	control	LINC02080	True
Claudin	DACT3	control	DACT3	True
Claudin	LINC01270	control	LINC01270	True
Claudin	AL162394.1	control	AL162394.1	True
