dataset	component	gene	source_gene	measured_variable
GSE151165	Claudin	CLDN1	CLDN1	True
GSE151165	Claudin	CLDN10	CLDN10	True
GSE151165	Claudin	CLDN11	CLDN11	True
GSE151165	Claudin	CLDN12	CLDN12	True
GSE151165	Claudin	CLDN14	CLDN14	True
GSE151165	Claudin	CLDN15	CLDN15	True
GSE151165	Claudin	CLDN16	CLDN16	True
GSE151165	Claudin	CLDN17		False
GSE151165	Claudin	CLDN18	CLDN18	True
GSE151165	Claudin	CLDN19	CLDN19	True
GSE151165	Claudin	CLDN2	CLDN2	True
GSE151165	Claudin	CLDN20	CLDN20	True
GSE151165	Claudin	CLDN22	CLDN22	True
GSE151165	Claudin	CLDN23	CLDN23	True
GSE151165	Claudin	CLDN3	CLDN3	True
GSE151165	Claudin	CLDN4	CLDN4	True
GSE151165	Claudin	CLDN5	CLDN5	True
GSE151165	Claudin	CLDN6	CLDN6	True
GSE151165	Claudin	CLDN7	CLDN7	True
GSE151165	Claudin	CLDN8	CLDN8	True
GSE151165	Claudin	CLDN9	CLDN9	True
GSE151165	Polarity	CRB3	CRB3	True
GSE151165	Polarity	PALS1	MPP5	True
GSE151165	Polarity	PARD3	PARD3	True
GSE151165	Polarity	PARD6A	PARD6A	True
GSE151165	Polarity	PARD6B	PARD6B	True
GSE151165	Polarity	PARD6G	PARD6G	True
GSE151165	Polarity	PATJ		False
GSE151165	Polarity	PRKCI	PRKCI	True
GSE151165	Junction	CLDN1	CLDN1	True
GSE151165	Junction	CLDN10	CLDN10	True
GSE151165	Junction	CLDN11	CLDN11	True
GSE151165	Junction	CLDN12	CLDN12	True
GSE151165	Junction	CLDN14	CLDN14	True
GSE151165	Junction	CLDN15	CLDN15	True
GSE151165	Junction	CLDN16	CLDN16	True
GSE151165	Junction	CLDN17		False
GSE151165	Junction	CLDN18	CLDN18	True
GSE151165	Junction	CLDN19	CLDN19	True
GSE151165	Junction	CLDN2	CLDN2	True
GSE151165	Junction	CLDN20	CLDN20	True
GSE151165	Junction	CLDN22	CLDN22	True
GSE151165	Junction	CLDN23	CLDN23	True
GSE151165	Junction	CLDN3	CLDN3	True
GSE151165	Junction	CLDN4	CLDN4	True
GSE151165	Junction	CLDN5	CLDN5	True
GSE151165	Junction	CLDN6	CLDN6	True
GSE151165	Junction	CLDN7	CLDN7	True
GSE151165	Junction	CLDN8	CLDN8	True
GSE151165	Junction	CLDN9	CLDN9	True
GSE151165	Junction	CRB3	CRB3	True
GSE151165	Junction	F11R	F11R	True
GSE151165	Junction	PALS1	MPP5	True
GSE151165	Junction	PARD3	PARD3	True
GSE151165	Junction	PARD6A	PARD6A	True
GSE151165	Junction	PARD6B	PARD6B	True
GSE151165	Junction	PARD6G	PARD6G	True
GSE151165	Junction	PATJ		False
GSE151165	Junction	PRKCI	PRKCI	True
GSE151165	HRC	ABHD11-AS1		False
GSE151165	HRC	AC009133.12		False
GSE151165	HRC	ADAM9	ADAM9	True
GSE151165	HRC	AHNAK	AHNAK	True
GSE151165	HRC	AHNAK2	AHNAK2	True
GSE151165	HRC	ANXA11	ANXA11	True
GSE151165	HRC	ARFGAP3	ARFGAP3	True
GSE151165	HRC	B4GALNT3	B4GALNT3	True
GSE151165	HRC	B4GALT1	B4GALT1	True
GSE151165	HRC	BAIAP2L1	BAIAP2L1	True
GSE151165	HRC	BMP2	BMP2	True
GSE151165	HRC	C19ORF33	C19ORF33	True
GSE151165	HRC	C1ORF106	C1ORF106	True
GSE151165	HRC	CAMK2N1	CAMK2N1	True
GSE151165	HRC	CD55	CD55	True
GSE151165	HRC	CD59	CD59	True
GSE151165	HRC	CD68	CD68	True
GSE151165	HRC	CDA	CDA	True
GSE151165	HRC	CDCP1	CDCP1	True
GSE151165	HRC	CDKN2B	CDKN2B	True
