dataset	transform	filter	score	component	n_genes	n	effect	low	high	p	n_positive	loo_min	loo_max
GSE294385	historical_fixed_count_prior	all_members	mean_gene_z	Claudin	21	11	-0.47368609509109094	-0.7993014011284486	-0.2365731410859241	0.0009765625	0	-0.5200336950947942	-0.33976668328690746
GSE294385	historical_fixed_count_prior	all_members	mean_gene_z	Polarity	8	11	0.17002928550829494	-0.047757973976046794	0.421018390189811	0.2236328125	7	0.0810186757746671	0.21766415679411644
GSE294385	historical_fixed_count_prior	all_members	mean_gene_z	Junction	30	11	-0.24927295615555217	-0.511921634995795	-0.054106972529824396	0.029296875	4	-0.2794564234498891	-0.1417344060587251
GSE294385	historical_fixed_count_prior	all_members	mean_gene_z	HRC	88	11	0.624968440411569	0.4379193529904216	0.8202576502646073	0.0009765625	11	0.56478549683458	0.6673770932729031
GSE294385	historical_fixed_count_prior	all_members	mean_log_expression	Claudin	21	11	-0.661165520838651	-1.070810097034069	-0.357102470853747	0.0009765625	0	-0.7193600012889313	-0.4847314890491788
GSE294385	historical_fixed_count_prior	all_members	mean_log_expression	Polarity	8	11	-0.04181252348932924	-0.17771519526263752	0.10018770637286074	0.578125	5	-0.0905174312573088	-0.003119549586392001
GSE294385	historical_fixed_count_prior	all_members	mean_log_expression	Junction	30	11	-0.45925125947273604	-0.7791322603768535	-0.2359300663747409	0.0009765625	0	-0.5003056736581051	-0.3242668329320394
GSE294385	historical_fixed_count_prior	all_members	mean_log_expression	HRC	88	11	0.5386020184026786	0.37709253846006163	0.703419156088784	0.0009765625	11	0.4912842134073635	0.574405064369075
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	Claudin	15	11	-0.2108939424933122	-0.442700894600276	-0.013670044696734534	0.1064453125	4	-0.26256070956428934	-0.1218649777088177
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	Polarity	8	11	0.17002928550829494	-0.05154955855949159	0.4258339846847412	0.2236328125	7	0.0810186757746671	0.21766415679411644
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	Junction	24	11	-0.02892457604805583	-0.23586704846485104	0.1497421894157703	0.791015625	6	-0.07635971525489586	0.04396222923462652
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	HRC	88	11	0.624968440411569	0.43699322433463916	0.8238965699543561	0.0009765625	11	0.56478549683458	0.6673770932729031
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	Claudin	15	11	-0.31625300347955837	-0.6052101915609477	-0.0783680120540656	0.0341796875	1	-0.37941221764277355	-0.2010252505936913
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	Polarity	8	11	-0.04181252348932924	-0.17736663074350928	0.09663861413696871	0.578125	5	-0.0905174312573088	-0.003119549586392001
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	Junction	24	11	-0.19320237078182456	-0.4156882802638203	-0.017672540729845334	0.0869140625	3	-0.23307472697155002	-0.1068342698680751
GSE294385	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	HRC	88	11	0.5386020184026786	0.3750338041424502	0.7058615184958201	0.0009765625	11	0.4912842134073635	0.574405064369075
