patient	neighbour	component	n_spots	n_nonzero_context	rho
PAT1	neighbour_liver	Claudin	2163	132	0.011655423648812502
PAT1	neighbour_liver	Polarity	2163	132	-0.08724657261929457
PAT1	neighbour_stroma	Claudin	2163	269	0.03166062118999291
PAT1	neighbour_stroma	Polarity	2163	269	0.00559082149909643
PAT10	neighbour_liver	Claudin	7171	511	-0.02600307081794358
PAT10	neighbour_liver	Polarity	7171	511	-0.053619406017029574
PAT10	neighbour_stroma	Claudin	7171	1072	-0.07625985178578377
PAT10	neighbour_stroma	Polarity	7171	1072	-0.09246795481006534
PAT11	neighbour_liver	Claudin	942	314	-0.04835062441028204
PAT11	neighbour_liver	Polarity	942	314	-0.055412162681867175
PAT11	neighbour_stroma	Claudin	942	359	0.07765304430085516
PAT11	neighbour_stroma	Polarity	942	359	0.0050760248543152845
PAT2	neighbour_liver	Claudin	7314	155	-0.038798681282984686
PAT2	neighbour_liver	Polarity	7314	155	-0.050513058863547414
PAT2	neighbour_stroma	Claudin	7314	1460	0.020251245630823835
PAT2	neighbour_stroma	Polarity	7314	1460	-0.03232101533723149
PAT3	neighbour_liver	Claudin	5110	523	-0.1126206136415641
PAT3	neighbour_liver	Polarity	5110	523	-0.2011566710727161
PAT3	neighbour_stroma	Claudin	5110	829	0.06111439827037655
PAT3	neighbour_stroma	Polarity	5110	829	-0.006541530611084659
PAT4	neighbour_liver	Claudin	1866	252	-0.07296954042446914
PAT4	neighbour_liver	Polarity	1866	252	-0.029833464947663684
PAT4	neighbour_stroma	Claudin	1866	767	-0.23027288796142253
PAT4	neighbour_stroma	Polarity	1866	767	-0.009901139452835243
PAT5	neighbour_liver	Claudin	4205	135	0.02111252939498561
PAT5	neighbour_liver	Polarity	4205	135	0.01317817526470525
PAT5	neighbour_stroma	Claudin	4205	1980	-0.06084750655494758
PAT5	neighbour_stroma	Polarity	4205	1980	-0.05985738934627496
PAT6	neighbour_liver	Claudin	3459	54	0.03043542242762833
PAT6	neighbour_liver	Polarity	3459	54	-0.028317083216118474
PAT6	neighbour_stroma	Claudin	3459	1127	0.0711448253223022
PAT6	neighbour_stroma	Polarity	3459	1127	-0.07130307272947474
PAT7	neighbour_liver	Claudin	2364	204	-0.07623428166245118
PAT7	neighbour_liver	Polarity	2364	204	-0.05880181236147808
PAT7	neighbour_stroma	Claudin	2364	652	-0.04121928729345065
PAT7	neighbour_stroma	Polarity	2364	652	-0.05656271427759303
PAT8	neighbour_liver	Claudin	5030	340	-0.03378064744063829
PAT8	neighbour_liver	Polarity	5030	340	-0.10005192901559996
PAT8	neighbour_stroma	Claudin	5030	864	0.052332444490092285
PAT8	neighbour_stroma	Polarity	5030	864	-0.08236572013910823
PAT9	neighbour_liver	Claudin	6178	467	-0.03205585603109574
PAT9	neighbour_liver	Polarity	6178	467	-0.1183335413495471
PAT9	neighbour_stroma	Claudin	6178	1644	-0.1416753715644005
PAT9	neighbour_stroma	Polarity	6178	1644	-0.1194141496716498
