component	covariate	deoverlap	omitted	effect
HRC	Epithelial	FALSE	KR-003	0.381613724136637
HRC	Epithelial	FALSE	KR-005	0.3519157447725
HRC	Epithelial	FALSE	KR-007	0.335673860464446
HRC	Epithelial	FALSE	KR-011	0.358003660603595
HRC	Epithelial	FALSE	KR-015	0.299461085314353
HRC	Epithelial	FALSE	KR-017	0.34789950778849
HRC	Epithelial	FALSE	KR-025	0.35173597510732
HRC	Epithelial	FALSE	KR-027	0.386706390121178
HRC	Epithelial	FALSE	KR-064	0.335513667352809
HRC	Epithelial	FALSE	KR-009	0.325564081769134
HRC	Epithelial	FALSE	KR-013	0.382487940829046
HRC	Epithelial	FALSE	KR-019	0.422345648504098
HRC	Epithelial	FALSE	KR-021	0.40875075021831
HRC	Epithelial	FALSE	KR-031	0.304897805649366
HRC	Epithelial	FALSE	KR-066	0.299883206285634
HRC	Liver	FALSE	KR-003	0.514527907852871
HRC	Liver	FALSE	KR-005	0.42635409685456
HRC	Liver	FALSE	KR-007	0.434584801173245
HRC	Liver	FALSE	KR-011	0.535030641509979
HRC	Liver	FALSE	KR-015	0.426890657110713
HRC	Liver	FALSE	KR-017	0.434447147099035
HRC	Liver	FALSE	KR-025	0.392824181379099
HRC	Liver	FALSE	KR-027	0.437125879530508
HRC	Liver	FALSE	KR-064	0.439642906614833
HRC	Liver	FALSE	KR-009	0.368447612565811
HRC	Liver	FALSE	KR-013	0.446394164106742
HRC	Liver	FALSE	KR-019	0.512136890166602
HRC	Liver	FALSE	KR-021	0.497673779089804
HRC	Liver	FALSE	KR-031	0.357286913926403
HRC	Liver	FALSE	KR-066	0.360910146035811
Junction	Epithelial	FALSE	KR-003	0.340636791819417
Junction	Epithelial	FALSE	KR-005	0.298875137560244
Junction	Epithelial	FALSE	KR-007	0.324639356111372
Junction	Epithelial	FALSE	KR-011	0.279868415762585
Junction	Epithelial	FALSE	KR-015	0.31256973664601
Junction	Epithelial	FALSE	KR-017	0.317562214809458
Junction	Epithelial	FALSE	KR-025	0.29100180828468
Junction	Epithelial	FALSE	KR-027	0.308478805173528
Junction	Epithelial	FALSE	KR-064	0.201186148410753
Junction	Epithelial	FALSE	KR-009	0.304147949625348
Junction	Epithelial	FALSE	KR-013	0.29836357249707
Junction	Epithelial	FALSE	KR-019	0.270314846179318
Junction	Epithelial	FALSE	KR-021	0.285926251866996
Junction	Epithelial	FALSE	KR-031	0.296439902500751
Junction	Epithelial	FALSE	KR-066	0.320876189313399
Junction	Liver	FALSE	KR-003	0.31486788586697
Junction	Liver	FALSE	KR-005	0.231195560939828
Junction	Liver	FALSE	KR-007	0.229572123905582
Junction	Liver	FALSE	KR-011	0.0880772380399498
Junction	Liver	FALSE	KR-015	0.239167761252504
Junction	Liver	FALSE	KR-017	0.250342588296824
Junction	Liver	FALSE	KR-025	0.220540878513138
Junction	Liver	FALSE	KR-027	0.231362491798698
Junction	Liver	FALSE	KR-064	0.217638701473894
Junction	Liver	FALSE	KR-009	0.229192879347377
Junction	Liver	FALSE	KR-013	0.235657196981661
Junction	Liver	FALSE	KR-019	0.209983427675883
Junction	Liver	FALSE	KR-021	0.224069961018886
Junction	Liver	FALSE	KR-031	0.232939010385977
Junction	Liver	FALSE	KR-066	0.2572304241898
