component	gene	gene_z_effect
HRC	LAMB3	0.378769578251976
HRC	SDCBP2	0.583908917194774
HRC	EMP1	1.1394826425266
HRC	EPS8L1	0.616071673494855
HRC	JUP	0.271328125676058
HRC	LMO7	0.586230960164086
HRC	MYOF	0.859875557828475
HRC	ITGB4	0.421287836181541
HRC	GPRC5A	0.324385557680448
HRC	AHNAK	0.891211163724693
HRC	CAMK2N1	0.026192317510805
HRC	C19ORF33	0.123569559253003
HRC	MYH14	0.39436518301908
HRC	CD55	0.667900251260761
HRC	RHOF	1.21670063092471
HRC	TMBIM1	0.16101639153516
HRC	SEMA3B	0.450346241273464
HRC	TINAGL1	0.0656416123407303
HRC	COL17A1	0.931910727487844
HRC	PLEC	0.284348487715812
HRC	TSPAN1	0.568350486652151
HRC	PTPRH	0.723232576779093
HRC	CRB3	-0.243860087826752
HRC	ITGA3	0.808813279310959
HRC	RIOK3	0.460517782025464
HRC	LAMC2	0.626365277112048
HRC	CYP3A5	-0.00122102410963483
HRC	FA2H	0.993685466589402
HRC	RRAS	0.699836197465247
HRC	MUC13	-0.0758184787876835
HRC	CEACAM1	0.975114175041061
HRC	TMPRSS2	0.505801809458551
HRC	SERINC2	0.696684542047989
HRC	SLC44A4	0.414203466531029
HRC	PCDH1	0.51405692148171
HRC	USP53	-0.253394776393465
HRC	C1ORF106	0.0979360050732722
HRC	FLNB	0.848502092485418
HRC	CXCL16	0.918578454204026
HRC	EZR	0.425264887296024
HRC	TNFRSF21	0.380602922235015
HRC	CDA	1.23255381997117
HRC	ADAM9	0.869223307792659
HRC	RNF103	-0.050945910335106
HRC	KRT80	0.470244916506908
HRC	EFNB1	0.596561632317506
HRC	SMAD3	0.559362120514984
HRC	PDZK1IP1	0.192006223795592
HRC	LRP10	0.516002947161768
HRC	PRSS22	0.310127912833827
HRC	AHNAK2	1.14302789825926
HRC	B4GALT1	0.972436865748477
HRC	ANXA11	0.768966368950037
HRC	BAIAP2L1	0.480459645009085
HRC	F11R	-0.0400222776940679
HRC	DUSP5	1.12906591763993
HRC	DDR1	0.044286032262834
HRC	ITGB1	1.09060721223927
HRC	SLC2A1	0.582997222528043
HRC	CDKN2B	1.01835241762093
HRC	PLAUR	1.1550238893136
HRC	ITGA2	0.103356097719106
HRC	CDCP1	0.389986868673408
HRC	CD59	0.774610853367378
HRC	DSG2	0.014781876407445
HRC	KLK10	1.01793037836552
HRC	ARFGAP3	0.462906003952904
HRC	CD68	1.1696986852075
HRC	CGN	-0.066691751959441
HRC	TM4SF1	0.355766473809193
HRC	PPP2CB	0.835358948711909
HRC	HEBP2	0.00556592333129897
HRC	UGCG	0.314688013356531
HRC	GBP3	0.0610870345269771
HRC	TIMP2	0.767039100000587
HRC	PINK1	0.558024405197611
HRC	CYSTM1	0.310452619520477
HRC	SLC6A8	0.594250733160787
HRC	PPARD	0.393287323169995
HRC	LIPH	0.22595530321878
HRC	CLIC3	0.406000895089673
HRC	SPINT1	0.624194664121264
HRC	PTK6	0.40731419159121
HRC	TJP3	0.656075681228779
HRC	STK24	0.494975870872999
HRC	CEACAM5	0.313865651128373
HRC	MXD1	0.124772640476766
HRC	SNX9	0.621672339393657
HRC	ERO1L	0.487425014098975
HRC	SSFA2	0.293108677013484
HRC	TSPAN3	0.161238531443069
HRC	SLPI	1.0804477030088
HRC	BMP2	0.129424213620179
HRC	GJB3	0.831123623725724
HRC	LAMA3	0.88040939983103
HRC	TMPRSS4	0.261760744148198
HRC	B4GALNT3	0.075941741939403
Junction	CLDN1	0.644226342781113
Junction	CLDN10	0.836548294328953
Junction	CLDN11	0.609490148254934
Junction	CLDN12	0.0561799888359026
Junction	CLDN14	0.336142819947977
Junction	CLDN15	0.341934309918801
Junction	CLDN16	0.0967452899721013
Junction	CLDN18	1.18957556953586
Junction	CLDN19	0.939781744663217
Junction	CLDN2	0.669527951722116
Junction	CLDN20	0.407175812527799
Junction	CLDN22	0.992901025656773
Junction	CLDN23	-0.00696678738258891
Junction	CLDN3	-0.33497472401872
Junction	CLDN4	-0.365968583265297
Junction	CLDN5	0.480050118053004
Junction	CLDN6	1.18938979897391
Junction	CLDN7	-0.153234190114665
Junction	CLDN8	-0.526158939634325
Junction	CLDN9	0.188272291642105
Junction	CRB3	-0.243860087826752
Junction	F11R	-0.0400222776940679
Junction	PALS1	0.0838963577342559
Junction	PARD3	0.74182201943062
Junction	PARD6A	-0.420520771093478
Junction	PARD6B	0.257929263693086
Junction	PARD6G	0.755825586020389
Junction	PRKCI	-0.714156794606661
HRC_disjoint	LAMB3	0.378769578251976
HRC_disjoint	SDCBP2	0.583908917194774
HRC_disjoint	EMP1	1.1394826425266
HRC_disjoint	EPS8L1	0.616071673494855
HRC_disjoint	JUP	0.271328125676058
HRC_disjoint	LMO7	0.586230960164086
HRC_disjoint	MYOF	0.859875557828475
HRC_disjoint	ITGB4	0.421287836181541
HRC_disjoint	GPRC5A	0.324385557680448
HRC_disjoint	AHNAK	0.891211163724693
HRC_disjoint	CAMK2N1	0.026192317510805
HRC_disjoint	C19ORF33	0.123569559253003
HRC_disjoint	MYH14	0.39436518301908
HRC_disjoint	CD55	0.667900251260761
HRC_disjoint	RHOF	1.21670063092471
HRC_disjoint	TMBIM1	0.16101639153516
HRC_disjoint	SEMA3B	0.450346241273464
HRC_disjoint	TINAGL1	0.0656416123407303
HRC_disjoint	COL17A1	0.931910727487844
HRC_disjoint	PLEC	0.284348487715812
HRC_disjoint	TSPAN1	0.568350486652151
HRC_disjoint	PTPRH	0.723232576779093
HRC_disjoint	ITGA3	0.808813279310959
HRC_disjoint	RIOK3	0.460517782025464
HRC_disjoint	LAMC2	0.626365277112048
HRC_disjoint	CYP3A5	-0.00122102410963483
HRC_disjoint	FA2H	0.993685466589402
HRC_disjoint	RRAS	0.699836197465247
HRC_disjoint	MUC13	-0.0758184787876835
HRC_disjoint	CEACAM1	0.975114175041061
HRC_disjoint	TMPRSS2	0.505801809458551
HRC_disjoint	SERINC2	0.696684542047989
HRC_disjoint	SLC44A4	0.414203466531029
HRC_disjoint	PCDH1	0.51405692148171
HRC_disjoint	USP53	-0.253394776393465
HRC_disjoint	C1ORF106	0.0979360050732722
HRC_disjoint	FLNB	0.848502092485418
HRC_disjoint	CXCL16	0.918578454204026
HRC_disjoint	EZR	0.425264887296024
HRC_disjoint	TNFRSF21	0.380602922235015
HRC_disjoint	CDA	1.23255381997117
HRC_disjoint	ADAM9	0.869223307792659
HRC_disjoint	RNF103	-0.050945910335106
HRC_disjoint	KRT80	0.470244916506908
HRC_disjoint	EFNB1	0.596561632317506
HRC_disjoint	SMAD3	0.559362120514984
HRC_disjoint	PDZK1IP1	0.192006223795592
HRC_disjoint	LRP10	0.516002947161768
HRC_disjoint	PRSS22	0.310127912833827
HRC_disjoint	AHNAK2	1.14302789825926
HRC_disjoint	B4GALT1	0.972436865748477
HRC_disjoint	ANXA11	0.768966368950037
HRC_disjoint	BAIAP2L1	0.480459645009085
HRC_disjoint	DUSP5	1.12906591763993
HRC_disjoint	DDR1	0.044286032262834
HRC_disjoint	ITGB1	1.09060721223927
HRC_disjoint	SLC2A1	0.582997222528043
HRC_disjoint	CDKN2B	1.01835241762093
HRC_disjoint	PLAUR	1.1550238893136
