gene	component	mean_log_expression	detection_fraction	z_log_mean	z_logit_detection	matched
CLDN1	Claudin	0.40242076919567854	0.31955045215826583	0.8471735538230633	0.7762624716294464	True
CLDN10	Claudin	0.02800664176713705	0.030731477913534404	-0.13054653548447373	-0.2103009551132307	False
CLDN11	Claudin	0.01787417490410217	0.01944040431500175	-0.29530071023810983	-0.38215085854014763	True
CLDN12	Claudin	0.28124539836944823	0.25842094247462294	0.7157360419812101	0.667060539810223	True
CLDN14	Claudin	0.00411983279005432	0.0066471479467363715	-0.8336936375993952	-0.779690423555844	False
CLDN15	Claudin	0.12673544085780358	0.11425946011202785	0.42329724506361177	0.30332906041506774	False
CLDN16	Claudin	0.04889586899637538	0.05121371087332399	0.07389029728091329	-0.015552285711138432	True
CLDN18	Claudin	0.041042467132689685	0.03653728813675415	0.009657247940286235	-0.14476453581758544	False
CLDN19	Claudin	0.0006245146560304712	0.0007119178333294931	-1.525821517220957	-1.5995419701622522	False
CLDN2	Claudin	0.11437533114122223	0.10471699031824279	0.38565073840862046	0.26748654810150485	False
CLDN20	Claudin	0.029236355380655398	0.03768515271954907	-0.11478180522687932	-0.1330063073631568	False
CLDN22	Claudin	8.720755457473561e-05	0.00015802781289506952	-2.248065756549037	-2.1506679129152704	False
CLDN23	Claudin	0.019750491086836835	0.024008110519370567	-0.258679567749536	-0.3031986969969706	False
CLDN3	Claudin	0.9206311339532507	0.5615841773972247	1.1507780801099194	1.1435340817676156	False
CLDN4	Claudin	1.1060432446569928	0.6282624833369493	1.21809252647417	1.2449848119095746	True
CLDN5	Claudin	0.0002683722794388447	0.0017062248423399854	-1.8356768842913418	-1.2792523920238497	False
CLDN6	Claudin	0.0026165248850538677	0.0029350652721243974	-1.000238400021828	-1.0802578612128397	False
CLDN7	Claudin	0.7027333299495835	0.4993190029266911	1.0516940436365079	1.0519139184648192	True
CLDN8	Claudin	0.0005070760143013076	0.0005855477275617575	-1.602244909354439	-1.6711130653160184	False
CLDN9	Claudin	0.005420256067012923	0.006727891745898351	-0.7330509613032479	-0.7752414205302604	True
CRB3	Polarity	0.06143761482210831	0.07297691520200951	0.15765669823980535	0.1225602928932573	True
PALS1	Polarity	0.36477377598208094	0.32571038152593657	0.8111396057226868	0.7865794825690031	True
PARD3	Polarity	1.9219404665957138	0.8390893533214208	1.420803291273243	1.6573735112448764	True
PARD6A	Polarity	0.008804378108497489	0.01112474484748894	-0.555081779852635	-0.5895448241014587	True
PARD6B	Polarity	0.430444589324212	0.35863678076448363	0.871871146353579	0.8401514295696092	True
PARD6G	Polarity	0.015147011798032628	0.017675131701707997	-0.356036808542551	-0.41765199633056266	True
PATJ	Polarity	1.9458747355080814	0.8696727069398598	1.425343732940017	1.7476329012835612	False
PRKCI	Polarity	0.499470282986176	0.41223066899670435	0.9264350241867888	0.9230664560320251	True
