gene	component	Ogden_HRC_rho	Spatial_HRC_rho	Bulk_rHGP_minus_dHGP_logFC	Bulk_rHGP_minus_dHGP_PValue	Bulk_rHGP_minus_dHGP_q_junction	Liu_macro_minus_micro_logFC	Liu_macro_minus_micro_PValue	Liu_macro_minus_micro_q_junction	Spatial_HGP_by_localization_logFC	Spatial_HGP_by_localization_PValue	Spatial_HGP_by_localization_q_junction	Spatial_rHGP_minus_dHGP_near_logFC	Spatial_rHGP_minus_dHGP_near_PValue	Spatial_rHGP_minus_dHGP_near_q_junction	Spatial_rHGP_minus_dHGP_tumour_logFC	Spatial_rHGP_minus_dHGP_tumour_PValue	Spatial_rHGP_minus_dHGP_tumour_q_junction	GATA6_KO_RNA_logFC	GATA6_promoter_peak	H3K27ac_relative_logFC	Epithelial_detection	Hepatocyte_detection	Endothelial_detection	Stromal_detection	Same_section_macro_minus_micro_logFC
CLDN1	Claudin	0.0524058122498537	0.0417449484311808	0.480416823156513	0.255027410805142	0.685527199083343	-0.212760507721989	0.218834238926729	0.276422196539026	-0.102365677546	0.565966170643272	0.935302971151041	1.167939711074	0.214111760896934	0.672922677104648	1.18675768362061	0.196064386238036	0.616202356748115		0.0		0.298247088681048	0.6884102654451492	0.0345675838954281	0.0584730124987477	-0.232521161456882
CLDN2	Claudin	-0.0302514091149686	0.0123086481996683	0.812663370095509	0.359085675710322	0.685527199083343	0.828735678694252	0.003173299255089	0.0132687098056279	-0.116163885236346	0.851089369473955	0.935302971151041	3.07008153530453	0.0182525232806132	0.133851837391164	3.07366168314467	0.0159061510613704	0.116645107783383	-7.3403833718823	0.0		0.1068267667212689	0.1106513641397362	0.0197048926576485	0.0281977066352066	0.910903849031887
CLDN3	Claudin	0.0829743000717475	0.2303041441634324	-0.421816094939663	0.320201296369288	0.685527199083343	0.424281824512207	0.0285992957130122	0.0762647885680324	-0.333345274279069	0.131139385427465	0.745962004573941	0.308468107762706	0.700544519106102	0.935063511850018	0.387169432799378	0.603420567511471	0.797228578861251	-0.618258939225966	0.0	-0.0868902577067132	0.569599777691955	0.2117118024094767	0.1788549676036268	0.1375728251169427	0.592708916433243
CLDN4	Claudin	0.1619839089679944	0.3354053605064335	-0.218487808048476	0.468073582290589	0.773140615379054	0.259817027613646	0.138120993247292	0.220993589195667	-0.297856534159392	0.275450909846158	0.807025490720444	0.192749827088591	0.820242509026878	0.935063511850018	0.273538198579311	0.724162822525977	0.838504320819552				0.6197116511144859	0.1681264471962146	0.1248691411861799	0.1219630455990749	0.472547219697368
CLDN5	Claudin	-0.0181138591453546	0.0134078165125427	0.751128685886128	0.160086207769258	0.685527199083343	-1.00863569052773	0.0038700403599747	0.0132687098056279	-0.0644651314171495	0.85549387987985	0.935302971151041	1.79925711484277	0.0776564614198612	0.284740358539491	1.71782562290219	0.0781663200661685	0.343931808291141		0.0		0.0015924765195172	0.0022727272727272	0.4660364921415664	0.003125	-0.608504712233626
CLDN6	Claudin	0.018475355849202	0.0063032599363906				-0.406346781492404	0.306373210401028	0.334225320437485											0.0	-0.2407203622975089	0.0027393942539827	0.0007575757575757	0.0016025641025641	0.0033333333333333	-0.15367261756724
CLDN7	Claudin	0.0765332311244135	0.1749297238373736	0.0198585004575602	0.961517606924679	0.97947827791063	0.549291052013112	0.0038621505959959	0.0132687098056279	-0.434227735063579	0.102297790194677	0.745962004573941	0.132961325408767	0.850057738045471	0.935063511850018	0.234141327248804	0.71710175063262	0.838504320819552	-0.543859769871315	0.0	0.0198279046963296	0.4993644027315783	0.1693030806402899	0.1523656194708216	0.0967813091452796	0.597037445809988
CLDN8	Claudin	0.0416672245736887	0.0150813648468455																2.2971627120813	0.0		0.0005465112123909	0.0	0.0	0.0	
CLDN9	Claudin	0.0360285979074784	0.0388181755904894				-0.369040058797469	0.189506838419296	0.267539066003713	0.198460473151432	0.660937381165758	0.935302971151041	2.37386928187231	0.0095898570485683	0.105488427534251	2.32885852618031	0.005616029951588	0.109836218842626	-0.410778886847513	0.0	-0.1385992592695881	0.006279365629505	0.0062409812409812	0.0	0.0	-0.351620839078197
CLDN10	Claudin	0.020398943738622	0.0125076641164119	-0.647237756368533	0.61430517485761	0.921457762286415	-0.499897503111953	0.0953691535384856	0.176066129609512											0.0		0.0286827127192987	0.1444612235309909	0.029284035412756	0.0080300200888436	-0.391573204805617
