gene	logFC	original_logFC
CLDN1	-0.232521161456882	-0.212760507721989
CLDN10	-0.391573204805617	-0.499897503111953
CLDN11	0.0871436337361001	-0.455726001171001
CLDN12	0.628834320825638	0.622014831716511
CLDN14	-0.857955921338491	-0.716322052002405
CLDN15	-0.208397900454877	-0.0767556198028153
CLDN16	-0.509637423854867	-0.475605421764864
CLDN2	0.910903849031887	0.828735678694252
CLDN23	0.110777368452858	0.0236511891078693
CLDN3	0.592708916433243	0.424281824512207
CLDN4	0.472547219697368	0.259817027613646
CLDN5	-0.608504712233626	-1.00863569052773
CLDN6	-0.15367261756724	-0.406346781492404
CLDN7	0.597037445809988	0.549291052013112
CLDN9	-0.351620839078197	-0.369040058797469
CRB3	0.466762407096411	0.496328769031662
F11R	0.390549410325864	0.488032697385515
PALS1	0.166865915537278	0.318879354560758
PARD3	0.0758836993451143	0.15320784870423
PARD6A	-0.170104271121035	-0.224628520284953
PARD6B	0.204986669131931	0.246413063287773
PARD6G	-0.68192475439341	-1.09581289042267
PATJ	0.241345499858902	0.401402960099283
PRKCI	0.295596883809237	0.31845190396731
