endpoint	sensitivity	model	n_patients	n_events	status	warnings	beta	se	HR	CI_low	CI_high	p	n_parameters	events_per_parameter	increment_LR_p	bootstrap_n_valid	bootstrap_n	bootstrap_low	bootstrap_high	p_BH
"OS"	"primary"	"univariable"	160	102	"estimable"	""	0.182658261814358	0.0983457765440105	1.20040411405428	0.989951368079699	1.45559679344009	0.0632675431305337	1	102	0.0684469958605952	1000	1000	0.987003845611316	1.4973484643601	0.189802629391601
"OS"	"primary"	"clinical"	160	102	"estimable"	""	0.140298706327537	0.106066367247276	1.15061744424132	0.934642315195985	1.41649963998774	0.185920351921187	8	12.75	0.191455774728068	1000	1000	0.91964442272666	1.47022229976471	0.278880527881781
"OS"	"primary"	"clinical_LMS"	160	102	"estimable"	""	-0.0716552315467784	0.128962627619601	0.930851768819096	0.722945108411638	1.19854883231366	0.578465267295392	12	8.5	0.579467682093044	999	1000	0.699143915577602	1.23202310323736	0.578465267295392
"OS"	"R0_R1"	"univariable"	151	93	"estimable"	""	0.154990140893801	0.105378411212173	1.16764644909803	0.949754693516865	1.43552670957875	0.141346306864361	1	93	0.147610395058052	NA	NA	NA	NA	0.424038920593083
"OS"	"R0_R1"	"clinical"	151	93	"estimable"	""	0.097805870180895	0.119478156106018	1.10274868792455	0.872518592404119	1.39372923317156	0.4130096437385	7	13.2857142857143	0.415639019822055	NA	NA	NA	NA	0.548425551324014
"OS"	"R0_R1"	"clinical_LMS"	151	93	"estimable"	""	-0.082584050500372	0.137612316260455	0.920734046447143	0.703066223469799	1.20579136927255	0.548425551324014	11	8.45454545454546	0.549570705376933	NA	NA	NA	NA	0.548425551324014
"OS"	"alternative_initial_sample"	"univariable"	160	102	"estimable"	""	0.139011373367675	0.0967599537437579	1.14913716948882	0.950622604426582	1.38910670559671	0.150813984803237	1	102	0.157276444934137	NA	NA	NA	NA	0.37715727204349
"OS"	"alternative_initial_sample"	"clinical"	160	102	"estimable"	""	0.0924862008978704	0.104723542213401	1.09689800524827	0.893354373640193	1.34681742141694	0.37715727204349	8	12.75	0.382044128008081	NA	NA	NA	NA	0.37715727204349
"OS"	"alternative_initial_sample"	"clinical_LMS"	160	102	"estimable"	""	-0.129634895016354	0.124033566754306	0.878416086471415	0.688843836636387	1.12015928710278	0.295949130000441	12	8.5	0.29726414900381	NA	NA	NA	NA	0.37715727204349
"OS"	"median_initial_samples"	"univariable"	160	102	"estimable"	""	0.148804010947519	0.0995377679064632	1.16044553229995	0.954765026668199	1.41043481466241	0.134927426659592	1	102	0.140821840446744	NA	NA	NA	NA	0.371383659290558
"OS"	"median_initial_samples"	"clinical"	160	102	"estimable"	""	0.0962358020336089	0.10766021281794	1.10101865582472	0.891563857391356	1.35968059990789	0.371383659290558	8	12.75	0.375648451881126	NA	NA	NA	NA	0.371383659290558
"OS"	"median_initial_samples"	"clinical_LMS"	160	102	"estimable"	""	-0.121713441807396	0.127002968647435	0.885402051365007	0.690292912668532	1.13565817955572	0.337885716249062	12	8.5	0.339065279258118	NA	NA	NA	NA	0.371383659290558
"CSS"	"primary"	"univariable"	160	94	"estimable"	""	0.154596181764539	0.103431451091285	1.16718653471934	0.953010400101486	1.4294958446257	0.134999843328345	1	94	0.141392311106615	1000	1000	0.946687945035357	1.46493829007828	0.404999529985035
