endpoint	model	term	chisq	df	p
"OS"	"univariable"	"REC"	1.00728749761739	1	0.315553548716395
"OS"	"univariable"	"GLOBAL"	1.00728749761739	1	0.315553548716395
"OS"	"clinical"	"REC"	0.253908503729791	1	0.614336326990158
"OS"	"clinical"	"sex"	0.077786029124287	1	0.780320441552101
"OS"	"clinical"	"synchronous"	0.889473570461838	1	0.345620005174042
"OS"	"clinical"	"margin"	1.22981815195755	2	0.540690054788413
"OS"	"clinical"	"extrahepatic"	0.0073250262694633	1	0.931795236001533
"OS"	"clinical"	"neoadjuvant"	0.00514590947346812	1	0.942812806098298
"OS"	"clinical"	"RAS"	1.57755399994758	1	0.209113372134674
"OS"	"clinical"	"GLOBAL"	3.8716568107251	8	0.868513324949331
"OS"	"clinical_LMS"	"REC"	0.117080935080147	1	0.732222272062854
"OS"	"clinical_LMS"	"sex"	0.00112735953525057	1	0.973215121058792
"OS"	"clinical_LMS"	"synchronous"	0.641571348771201	1	0.423142361205022
"OS"	"clinical_LMS"	"margin"	1.35678176696976	2	0.507432854367315
"OS"	"clinical_LMS"	"extrahepatic"	0.13343600177841	1	0.714895741522502
"OS"	"clinical_LMS"	"neoadjuvant"	5.40433296847732e-05	1	0.994134470828488
"OS"	"clinical_LMS"	"RAS"	1.16742949222941	1	0.279930040804605
"OS"	"clinical_LMS"	"LMS"	0.53244072238888	4	0.970266996104349
"OS"	"clinical_LMS"	"GLOBAL"	3.90967937413014	12	0.985011558659362
"CSS"	"univariable"	"REC"	0.381269592640176	1	0.536924553898801
"CSS"	"univariable"	"GLOBAL"	0.381269592640176	1	0.536924553898801
"CSS"	"clinical"	"REC"	0.0101120980213542	1	0.919900602000439
"CSS"	"clinical"	"sex"	0.042074941693242	1	0.837476985832035
"CSS"	"clinical"	"synchronous"	1.77804694328001	1	0.182389333542051
"CSS"	"clinical"	"margin"	1.33814371907873	2	0.512183735694169
"CSS"	"clinical"	"extrahepatic"	0.164531482932784	1	0.685018299783315
"CSS"	"clinical"	"neoadjuvant"	0.071419535812747	1	0.789281040890566
"CSS"	"clinical"	"RAS"	2.17237490372234	1	0.140509093852201
"CSS"	"clinical"	"GLOBAL"	5.52497442849578	8	0.700271493819229
"CSS"	"clinical_LMS"	"REC"	0.00143061038104998	1	0.969828478853621
"CSS"	"clinical_LMS"	"sex"	0.000542874671893328	1	0.981411234093025
"CSS"	"clinical_LMS"	"synchronous"	1.45345493610693	1	0.227974386862698
"CSS"	"clinical_LMS"	"margin"	1.39997975559136	2	0.496590330354756
"CSS"	"clinical_LMS"	"extrahepatic"	0.0351809672526377	1	0.85121695875056
"CSS"	"clinical_LMS"	"neoadjuvant"	0.0357868727696464	1	0.849956298689561
"CSS"	"clinical_LMS"	"RAS"	1.76656930871948	1	0.183807224596334
"CSS"	"clinical_LMS"	"LMS"	0.919433318789939	4	0.92175638816608
"CSS"	"clinical_LMS"	"GLOBAL"	6.34061775364586	12	0.897947726252682
