selection	program	n_defined	n_measured
"epithelial"	"FROZEN_REC_TOP50"	50	41
"epithelial"	"WHITE_RSC"	210	205
"epithelial"	"WHITE_CBC"	352	352
"epithelial"	"WHITE_MAPK"	16	16
"epithelial"	"WHITE_WNT"	111	111
"epithelial"	"CANELLAS_CORE_HRC"	100	86
"epithelial"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	30	29
"epithelial"	"FOCUSED_JUNCTION_5"	5	5
"epithelial"	"HALLMARK_E2F_TARGETS"	200	192
"epithelial"	"HALLMARK_G2M_CHECKPOINT"	200	187
"strict_epithelial"	"FROZEN_REC_TOP50"	50	41
"strict_epithelial"	"WHITE_RSC"	210	205
"strict_epithelial"	"WHITE_CBC"	352	352
"strict_epithelial"	"WHITE_MAPK"	16	16
"strict_epithelial"	"WHITE_WNT"	111	111
"strict_epithelial"	"CANELLAS_CORE_HRC"	100	86
"strict_epithelial"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	30	28
"strict_epithelial"	"FOCUSED_JUNCTION_5"	5	5
"strict_epithelial"	"HALLMARK_E2F_TARGETS"	200	192
"strict_epithelial"	"HALLMARK_G2M_CHECKPOINT"	200	186
"all_QC"	"FROZEN_REC_TOP50"	50	41
"all_QC"	"WHITE_RSC"	210	205
"all_QC"	"WHITE_CBC"	352	352
"all_QC"	"WHITE_MAPK"	16	16
"all_QC"	"WHITE_WNT"	111	111
"all_QC"	"CANELLAS_CORE_HRC"	100	86
"all_QC"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	30	29
"all_QC"	"FOCUSED_JUNCTION_5"	5	5
"all_QC"	"HALLMARK_E2F_TARGETS"	200	192
"all_QC"	"HALLMARK_G2M_CHECKPOINT"	200	187
