sample_id	source_sample	mouse	treatment	selection	n_cells	n_all_cells	library_size	eligible	FROZEN_REC_TOP50	WHITE_RSC	WHITE_CBC	WHITE_MAPK	WHITE_WNT	CANELLAS_CORE_HRC	REACTOME_TIGHT_JUNCTION_INTERACTIONS	FOCUSED_JUNCTION_5	HALLMARK_E2F_TARGETS	HALLMARK_G2M_CHECKPOINT
"GSM9231171__epithelial"	"GSM9231171"	"BVAR_RZF119_5b"	"MRTX1133"	"epithelial"	3443	11106	54996053	TRUE	-0.662761689281739	-0.263063721188557	0.270531064275101	-0.290583680945635	0.296499481439487	-0.56652886607285	-0.224660702266392	-0.566732150303404	0.898667046034102	0.801670526898703
"GSM9231172__epithelial"	"GSM9231172"	"BVAR_RZF124_2a"	"MRTX1133"	"epithelial"	6889	15257	43794334	TRUE	-0.0756958624786919	-0.357263557710903	0.10334421811416	-0.659187504796181	-0.0870186438990405	-0.266150793840886	-0.284355089698495	-0.108906896778178	0.516967392333199	0.306353009394258
"GSM9231173__epithelial"	"GSM9231173"	"BVAR_RZF124_1a"	"MRTX1133"	"epithelial"	752	6808	4079618	TRUE	0.584965932127414	-0.284295380929144	-0.421777947055616	-0.414065507485198	-0.691725785488248	0.258599601166216	0.104101873754625	-1.04279587429942	-0.535633642008184	-0.185155788253215
"GSM9231174__epithelial"	"GSM9231174"	"BVAR_RZF122_1c"	"MRTX1133"	"epithelial"	2341	9316	17971480	TRUE	-0.0994333758149118	-0.031160773283337	0.207090355187581	0.0782122054564422	0.277967087892727	-0.48580219643532	0.214929147262848	0.264978579782945	-0.0644492809294167	-0.0862886206041281
"GSM9231175__epithelial"	"GSM9231175"	"BVAR_RZF122_3d"	"MRTX1133"	"epithelial"	209	1228	595217	TRUE	-0.154569227074375	-0.0580055309280992	-0.0773419463165384	0.578648869413526	-0.127236938058849	0.0242530900810206	-0.15601195002061	0.26304296456919	-0.52631294849501	-0.476717221150618
"GSM9231176__epithelial"	"GSM9231176"	"BVAR_RZF118_6c"	"Vehicle"	"epithelial"	4585	14457	52782739	TRUE	0.165088332577846	0.493251272164434	-0.0138092258048569	0.123710274370588	0.100203125328462	0.275097827635599	-0.0508796321721162	0.0697342855026286	-0.163044927020199	-0.148364867911197
"GSM9231177__epithelial"	"GSM9231177"	"BVAR_RZF122_2a"	"Vehicle"	"epithelial"	2136	3935	19922020	TRUE	0.374754328692878	0.154142852388828	-0.251438436052561	0.223732047514743	0.117793314071031	0.504941966726903	0.352414108000911	1.31876302483338	0.0709951262407447	-0.151173100977867
"GSM9231178__epithelial"	"GSM9231178"	"BVAR_RZF125_1c"	"Vehicle"	"epithelial"	7703	17875	57558916	TRUE	-0.13234843874842	0.346394839486779	0.183401917652731	0.359533296471717	0.113518358714431	0.255589370739317	0.0444622451392289	-0.198083933307137	-0.197188766155235	-0.0623876940402875
"GSM9231171__strict_epithelial"	"GSM9231171"	"BVAR_RZF119_5b"	"MRTX1133"	"strict_epithelial"	3326	11106	54737059	TRUE	-0.653392228277615	-0.256232277902594	0.269452916826466	-0.29404614399095	0.296276443526362	-0.568186608870292	-0.199206241620167	-0.53092576942911	0.895837083780404	0.810018464386899
"GSM9231172__strict_epithelial"	"GSM9231172"	"BVAR_RZF124_2a"	"MRTX1133"	"strict_epithelial"	6646	15257	43510827	TRUE	-0.0607909714690864	-0.340471737332186	0.102036876638789	-0.656228238905724	-0.0880480376765321	-0.274338070435504	-0.27779069488328	-0.0611394046378527	0.516002884837832	0.310176279143881
"GSM9231173__strict_epithelial"	"GSM9231173"	"BVAR_RZF124_1a"	"MRTX1133"	"strict_epithelial"	682	6808	3942423	TRUE	0.5496002257516	-0.279922216917075	-0.407306712699776	-0.409614064506111	-0.688292517639533	0.282058949185581	0.170845740948359	-0.945857744322154	-0.569201850011282	-0.198700353667513
"GSM9231174__strict_epithelial"	"GSM9231174"	"BVAR_RZF122_1c"	"MRTX1133"	"strict_epithelial"	2194	9316	17762130	TRUE	-0.129443851109847	-0.0405610676551202	0.213470970858678	0.071574224751693	0.292683856201475	-0.488597080476887	0.05369082835834	-0.141347340134123	-0.0482230912223306	-0.0831971862542247
"GSM9231175__strict_epithelial"	"GSM9231175"	"BVAR_RZF122_3d"	"MRTX1133"	"strict_epithelial"	190	1228	579210	TRUE	-0.179888898699025	-0.098150712531428	-0.0950772965308717	0.584609447698017	-0.152279363488868	0.0123088172684004	-0.18463276718341	0.34610449439905	-0.509513357127587	-0.464120068305173
"GSM9231176__strict_epithelial"	"GSM9231176"	"BVAR_RZF118_6c"	"Vehicle"	"strict_epithelial"	4397	14457	52361944	TRUE	0.185578851872238	0.502568595573642	-0.0120065237604223	0.123387741570809	0.109609689753204	0.283535512668507	-0.0158573546357912	0.129491923263008	-0.162357308228026	-0.144948737485732
"GSM9231177__strict_epithelial"	"GSM9231177"	"BVAR_RZF122_2a"	"Vehicle"	"strict_epithelial"	2082	3935	19822513	TRUE	0.388613180580418	0.157468507898432	-0.251501241493025	0.222571186467832	0.114743235890975	0.497932994694006	0.379129999001302	1.35930583712701	0.0742627359851182	-0.156285090192117
"GSM9231178__strict_epithelial"	"GSM9231178"	"BVAR_RZF125_1c"	"Vehicle"	"strict_epithelial"	7442	17875	57214203	TRUE	-0.100276308648682	0.355300908866329	0.180931010160162	0.35774584691443	0.115306693432916	0.255285485966189	0.0738204900146447	-0.155631996265825	-0.196807098014128	-0.0729433076260201
"GSM9231171__all_QC"	"GSM9231171"	"BVAR_RZF119_5b"	"MRTX1133"	"all_QC"	8846	11106	80500571	TRUE	-0.642668168075564	-0.215074216723589	0.321948467516004	-0.125038474317092	0.356045502246751	-0.339925988732283	0.057264264141012	0.160750886899805	0.829421105668405	0.761848862278432
