partner	specification	n_patients	n_centers	n_REC_disjoint	n_partner_disjoint	n_shared_removed	rho	p	CI_low	CI_high	bootstrap_valid	bootstrap_B	p_BH
"CANELLAS_CORE_HRC"	"pooled_center_adjusted"	101	3	11	34	7	0.665259553966138	5.87897419234812e-14	0.51813936960125	0.781758394014572	2000	2000	2.35158967693925e-13
"CANELLAS_CORE_HRC"	"center_Sydney"	50	1	11	34	7	0.683841536614646	4.40197094242164e-08	0.486389096702403	0.825232563985215	2000	2000	1.76078837696865e-07
"CANELLAS_CORE_HRC"	"center_UKE"	18	1	11	34	7	0.51702786377709	0.0280061473637872	-0.0209812108559499	0.88530909555536	2000	2000	0.112024589455149
"CANELLAS_CORE_HRC"	"center_UKSH"	33	1	11	34	7	0.644050802139037	5.24860052148634e-05	0.344614227748529	0.843342474054885	2000	2000	0.000209944020859454
"CANELLAS_CORE_HRC"	"omit_Sydney"	51	2	11	34	7	0.643265420547621	4.70297802493148e-07	0.399418246594303	0.812917296793702	2000	2000	1.88119120997259e-06
"CANELLAS_CORE_HRC"	"omit_UKE"	83	2	11	34	7	0.674864259390442	3.59312444462067e-12	0.531148723378487	0.792160175518387	2000	2000	1.43724977784827e-11
"CANELLAS_CORE_HRC"	"omit_UKSH"	68	2	11	34	7	0.657697830947453	1.47873788598289e-09	0.48319081578019	0.792968963975785	2000	2000	5.91495154393158e-09
"CANELLAS_CORE_HRC"	"complete_proteins_only"	35	3	11	34	7	0.556040354317148	0.000779904187505228	0.228744525116413	0.808018329527831	2000	2000	0.00311961675002091
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"pooled_center_adjusted"	56	3	17	3	1	0.263525652738948	0.0541814827972834	-0.0122375444692642	0.512409168523843	2000	2000	0.0541814827972834
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"center_Sydney"	36	1	17	3	1	0.333075933075933	0.0471428764208461	-0.0338952474169199	0.631464420107707	2000	2000	0.0471428764208461
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"center_UKE"	13	1	17	3	1	-0.0989010989010989	0.747868303598391	-0.716812793770871	0.555022818475096	2000	2000	0.747868303598391
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"center_UKSH"	7	1	17	3	1	0.178571428571429	0.701657942516273	-0.764705882352941	1	2000	2000	0.751672517350277
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"omit_Sydney"	20	2	17	3	1	0.0299674484144694	0.903070305700573	-0.498269850364359	0.46751337753739	2000	2000	0.903070305700573
