partner	side	gene
"CANELLAS_CORE_HRC"	"REC18"	"QSOX1"
"CANELLAS_CORE_HRC"	"REC18"	"KRT20"
"CANELLAS_CORE_HRC"	"REC18"	"STBD1"
"CANELLAS_CORE_HRC"	"REC18"	"P4HA2"
"CANELLAS_CORE_HRC"	"REC18"	"NDRG1"
"CANELLAS_CORE_HRC"	"REC18"	"APOL1"
"CANELLAS_CORE_HRC"	"REC18"	"GSN"
"CANELLAS_CORE_HRC"	"REC18"	"CLDN3"
"CANELLAS_CORE_HRC"	"REC18"	"RHOC"
"CANELLAS_CORE_HRC"	"REC18"	"FHL2"
"CANELLAS_CORE_HRC"	"REC18"	"LDHA"
"CANELLAS_CORE_HRC"	"partner"	"LAMB3"
"CANELLAS_CORE_HRC"	"partner"	"LMO7"
"CANELLAS_CORE_HRC"	"partner"	"MYOF"
"CANELLAS_CORE_HRC"	"partner"	"ITGB4"
"CANELLAS_CORE_HRC"	"partner"	"GPRC5A"
"CANELLAS_CORE_HRC"	"partner"	"AHNAK"
"CANELLAS_CORE_HRC"	"partner"	"MYH14"
"CANELLAS_CORE_HRC"	"partner"	"CD55"
"CANELLAS_CORE_HRC"	"partner"	"TINAGL1"
"CANELLAS_CORE_HRC"	"partner"	"MISP"
"CANELLAS_CORE_HRC"	"partner"	"PLEC"
"CANELLAS_CORE_HRC"	"partner"	"ITGA3"
"CANELLAS_CORE_HRC"	"partner"	"LAMC2"
"CANELLAS_CORE_HRC"	"partner"	"RRAS"
"CANELLAS_CORE_HRC"	"partner"	"FLNB"
"CANELLAS_CORE_HRC"	"partner"	"EZR"
"CANELLAS_CORE_HRC"	"partner"	"CDA"
"CANELLAS_CORE_HRC"	"partner"	"ANXA11"
"CANELLAS_CORE_HRC"	"partner"	"BAIAP2L1"
"CANELLAS_CORE_HRC"	"partner"	"F11R"
"CANELLAS_CORE_HRC"	"partner"	"ITGB1"
"CANELLAS_CORE_HRC"	"partner"	"SLC2A1"
"CANELLAS_CORE_HRC"	"partner"	"ITGA2"
