gene	measured_in_integrated_matrix	n_patients_detected	n_samples_detected
"ANKRD37"	FALSE	0	0
"SDCBP2"	TRUE	91	118
"DUOXA2"	FALSE	0	0
"DUOX2"	FALSE	0	0
"TSPAN1"	FALSE	0	0
"PLAUR"	TRUE	83	110
"QSOX1"	TRUE	109	147
"MUC13"	TRUE	107	148
"KRT20"	TRUE	109	149
"C4BPB"	FALSE	0	0
"SLC16A3"	FALSE	0	0
"STBD1"	TRUE	93	132
"CEACAM1"	TRUE	100	134
"P4HA2"	TRUE	81	114
"KRT80"	TRUE	90	124
"NDRG1"	TRUE	111	152
"DDX60"	FALSE	0	0
"KLF4"	FALSE	0	0
"CYP3A5"	FALSE	0	0
"BIRC3"	FALSE	0	0
"APOL1"	TRUE	94	111
"ADGRF1"	FALSE	0	0
"GSN"	TRUE	111	152
"HIF1A-AS3"	FALSE	0	0
"ADM"	FALSE	0	0
"NDUFA4L2"	FALSE	0	0
"CDHR5"	FALSE	0	0
"MX2"	FALSE	0	0
"OAS1"	FALSE	0	0
"COL17A1"	FALSE	0	0
"FXYD3"	FALSE	0	0
"BTG1"	FALSE	0	0
"JUP"	TRUE	110	151
"ANGPTL4"	FALSE	0	0
"ISG15"	FALSE	0	0
"MXD1"	FALSE	0	0
"ARFGAP3"	TRUE	84	125
"CLDN3"	TRUE	108	147
"IL32"	FALSE	0	0
"APOL6"	FALSE	0	0
"RHOC"	TRUE	101	135
"ABCG1"	FALSE	0	0
"RSAD2"	FALSE	0	0
"DUSP5"	FALSE	0	0
"PNCK"	FALSE	0	0
"PTPRH"	FALSE	0	0
"FHL2"	TRUE	100	138
"LDHA"	TRUE	111	152
"GRHL1"	FALSE	0	0
"EGLN3"	FALSE	0	0
