rival_set_id	family	role	source	source_version	citation	retrieval_date	n_genes	gene_sha256	dataset	endpoint	n_units	n_rival_genes_defined	n_rival_genes_measured	n_rec_rival_overlap	n_rec_genes_retained	n_rec_genes_retained_measured	rec_rival_score_correlation	unadjusted_rec_effect	adjusted_rec_effect	adjusted_bootstrap_ci_lower	adjusted_bootstrap_ci_upper	adjusted_bootstrap_seed	adjusted_effect_retention	deoverlap_unadjusted_rec_effect	deoverlap_unadjusted_effect_retention	deoverlap_adjusted_rec_effect	deoverlap_adjusted_bootstrap_ci_lower	deoverlap_adjusted_bootstrap_ci_upper	deoverlap_adjusted_bootstrap_seed	deoverlap_adjusted_effect_retention	rival_endpoint_effect	rival_endpoint_exact_p_two_sided	n_exact_assignments	rival_endpoint_fdr_bh	adjusted_inference
"HEPATOCYTE_CONTEXT_6"	"composition_control"	"composition_control"	"Conservative hepatocyte-context marker panel previously used in the audited project"	"project implementation before Phase 2 hepatocyte-context sensitivity"	"Operational liver-context surrogate; cannot distinguish hepatocyte contamination from tumour-cell mimicry"	2026-09-01	6	"d66eaa40899675aaacd1d9c1467bf6ad277d3c4c97f9f243bb46916cf7485ec5"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	6	6	0	50	48	0.456711592720078	0.505162955238302	0.497919065368576	0.268577912580673	1.20314689751994	651720	0.985660290813865	0.505162955238302	1	0.497919065368576	0.276631601426087	1.19738227144332	668740	0.985660290813865	1.13115688124627	0.0233766233766234	5005	0.0646853146853147	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"PAN_EPITHELIAL_7"	"composition_control"	"composition_control"	"Conservative pan-epithelial marker panel used in the audited project"	"project freeze 2026-08-24"	"Operational composition surrogate; not a tumour-purity estimator"	2026-09-01	7	"edcf0e71c77001993f78a8587d558ac0064bc7a2531008e4281c79f108c09a3d"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	7	7	0	50	48	0.360178981869155	0.505162955238302	0.477240597915604	0.249059813728768	0.736950334308759	597704	0.94472603932423	0.505162955238302	1	0.477240597915604	0.248066421391599	0.749046610788185	614284	0.94472603932423	0.297448482948401	0.257542457542458	5005	0.328588652726584	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"HALLMARK_HYPOXIA"	"MSigDB_h.all"	"generic_stress"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	200	"5c03f2b832d21088e242e2df9aca773be63c1cf0310831b84749e0d022232ab5"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	200	190	8	42	40	0.791526677533242	0.505162955238302	0.275174624561456	0.0403963438166545	0.476680190015755	600935	0.5447244729805	0.482163209981204	0.95447064156506	0.311647787399867	-0.00505160501926367	0.604175751224962	617515	0.616925259796321	0.358167818890668	0.00899100899100899	5005	0.0386058386058386	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	"MSigDB_h.all"	"generic_stress"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	113	"28a14fff358df21aea255d5cf4bab00bb895575d86fc20cffe9f4c411b18cd05"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	113	104	0	50	48	-0.0347043421850721	0.505162955238302	0.508761312935071	0.281852673972367	0.747310017759864	834044	1.00712316225775	0.505162955238302	1	0.508761312935071	0.273028870375746	0.748792194841606	852604	1.00712316225775	0.0272414509020823	0.811188811188811	5005	0.882764294529	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"HALLMARK_FATTY_ACID_METABOLISM"	"MSigDB_h.all"	"metabolic_cooption"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	158	"d61a2be8ef4a6e1f220765bd507c8c465ec968faf65d190d05566e727a3bc72e"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	158	154	1	49	47	0.0618692936719359	0.505162955238302	0.532693480855134	0.295152422363313	0.748776270570252	775251	1.0544983065986	0.506486559713928	1.00262015348097	0.54182406356945	0.301051915059105	0.75502705058978	793371	1.07257283605417	0.160392975936209	0.328871128871129	5005	0.392523605426831	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"HALLMARK_GLYCOLYSIS"	"MSigDB_h.all"	"metabolic_cooption"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	200	"c0b90a28afee230795c557fc44d35b1398786cccd36356c88da22517e4ebe8fb"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	200	196	7	43	41	0.546890030883923	0.505162955238302	0.443990779356295	0.204004268683522	0.749407342672099	638858	0.87890605348694	0.512096493283942	1.0137253493625	0.494456681504803	0.265264633029326	0.745254485339045	655768	0.97880629681476	0.186022305425787	0.0227772227772228	5005	0.0646853146853147	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"HALLMARK_MYC_TARGETS_V1"	"MSigDB_h.all"	"metabolic_cooption"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	200	"50cd9ea3002d1be2e35652dd92850be95434361a27c330ef0e523f5f792de179"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	200	191	1	49	47	-0.44260369429112	0.505162955238302	0.458056893840823	0.255137592860731	0.660380922103118	688923	0.906750760504089	0.506486559713928	1.00262015348097	0.448773262025723	0.24347962886964	0.640295878417728	706273	0.888373261285602	-0.299281790226472	0.308291708291708	5005	0.38022644022644	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	"MSigDB_h.all"	"metabolic_cooption"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	42	"dc952bd5bed0777a5c15a690cbae4f4e254b1179710f3f01ed8d3f1e1c23196b"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	42	42	0	50	48	-0.0315708477010661	0.505162955238302	0.505174140258019	0.253911614831372	0.729839704494246	843232	1.00002214140922	0.505162955238302	1	0.505174140258019	0.261946797575417	0.724943538987436	861902	1.00002214140922	0.000398169785948746	0.998201798201798	5005	0.998201798201798	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"GOBP_PROLINE_BIOSYNTHETIC_PROCESS"	"MSigDB_c5.go.bp"	"pengwinkler_axis"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	6	"284e2d2920c326589b9722bb337df947051d073945d795885d70bc22d9c4fe27"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	6	5	0	50	48	0.00489435749769069	0.505162955238302	0.510562796943261	0.296573336914362	0.723965441237993	822882	1.01068930658704	0.505162955238302	1	0.510562796943261	0.306948436737457	0.730209907714853	841332	1.01068930658704	-0.106706841792759	0.722677322677323	5005	0.810274573910938	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
"GOBP_PROLINE_METABOLIC_PROCESS"	"MSigDB_c5.go.bp"	"pengwinkler_axis"	"MSigDB"	"2025.1.Hs"	"Molecular Signatures Database"	2026-09-01	10	"9dee3071709d811c6760cac7e5d6c59c84c85be73ea4af02963b0ab71e26cc34"	"GSE151165 HGP-labelled bulk tumour"	"rHGP_minus_dHGP"	15	10	9	0	50	48	0.307126752723122	0.505162955238302	0.489967542186927	0.253802253476709	0.793257369079858	778986	0.969919779560623	0.505162955238302	1	0.489967542186927	0.256592645486031	0.791987439293679	797106	0.969919779560623	0.285333794631956	0.234565434565435	5005	0.309961467104324	"Patient bootstrap confidence intervals; adjusted label-exchange P values withdrawn"
