dataset	set_id	n_defined	n_measured
"GSE151165"	"WHITE_RSC"	210	188
"GSE151165"	"WHITE_CBC"	352	330
"GSE151165"	"WHITE_MAPK"	16	15
"GSE151165"	"WHITE_WNT"	111	110
"GSE151165"	"ICMS2_TEMPLATE_UP"	356	329
"GSE151165"	"ICMS3_TEMPLATE_UP"	347	330
"GSE151165"	"ICMS3_MINUS_ICMS2"	703	659
"GSE151165"	"FROZEN_REC_TOP50"	50	48
"GSE151165"	"CANELLAS_CORE_HRC"	100	97
"GSE151165"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	30	27
"GSE151165"	"HALLMARK_E2F_TARGETS"	200	194
"GSE151165"	"HALLMARK_G2M_CHECKPOINT"	200	188
"GSE151165"	"REC_PROTEIN18"	18	18
"Ogden_patient_state"	"WHITE_RSC"	210	204
"Ogden_patient_state"	"WHITE_CBC"	352	347
"Ogden_patient_state"	"WHITE_MAPK"	16	16
"Ogden_patient_state"	"WHITE_WNT"	111	110
"Ogden_patient_state"	"ICMS2_TEMPLATE_UP"	356	350
"Ogden_patient_state"	"ICMS3_TEMPLATE_UP"	347	342
"Ogden_patient_state"	"ICMS3_MINUS_ICMS2"	703	692
"Ogden_patient_state"	"FROZEN_REC_TOP50"	50	50
"Ogden_patient_state"	"CANELLAS_CORE_HRC"	100	95
"Ogden_patient_state"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	30	29
"Ogden_patient_state"	"HALLMARK_E2F_TARGETS"	200	198
"Ogden_patient_state"	"HALLMARK_G2M_CHECKPOINT"	200	193
"Ogden_patient_state"	"REC_PROTEIN18"	18	18
