rival	method	adjustment	state	minimum_cells	n_patients	n_positive	rho	CI_low	CI_high	p_signflip	p_BH
ICMS3_MINUS_ICMS2	gene_z	technical_only	Hypoxia	10	14	13	0.2033141718780766	0.14756220523811575	0.25675312631588243	0.000244140625	0.0009765625
ICMS3_MINUS_ICMS2	gene_z	technical_only	REC	10	12	10	0.18862059237049533	0.09447025383098996	0.26823615783900373	0.0048828125	0.009765625
ICMS3_MINUS_ICMS2	gene_z	technical_only	UPR	10	11	9	0.11326183076135134	-0.04435046125476126	0.24971883081095084	0.1904296875	0.21763392857142855
ICMS3_MINUS_ICMS2	gene_z	technical_only	iREC	10	9	7	0.16731302069569565	0.017841601269537623	0.3059403583251303	0.078125	0.125
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	Hypoxia	10	14	14	0.20103662309849787	0.14871155884903273	0.24938826143757817	0.0001220703125	0.0009765625
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	REC	10	12	10	0.16564843390320974	0.07744557129386505	0.24265219271283053	0.0068359375	0.018229166666666664
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	UPR	10	11	8	0.08280930806563652	-0.13209014877071373	0.23826644862728524	0.4521484375	0.6028645833333333
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	iREC	10	9	7	0.18139396185216433	0.010797628620980911	0.3288300763826896	0.078125	0.125
ICMS3_MINUS_ICMS2	matched	technical_only	Hypoxia	10	14	14	0.2945418215376314	0.2448913313242711	0.3424085058531022	0.0001220703125	0.00048828125
ICMS3_MINUS_ICMS2	matched	technical_only	REC	10	12	12	0.3429716317525345	0.28464108751785877	0.39490061517263503	0.00048828125	0.0009765625
ICMS3_MINUS_ICMS2	matched	technical_only	UPR	10	11	8	0.1269045975490739	-0.03562919061181436	0.2677282610250505	0.15625	0.17857142857142855
ICMS3_MINUS_ICMS2	matched	technical_only	iREC	10	9	7	0.22255282919038152	-0.003141384539216783	0.4039182261889729	0.1015625	0.13541666666666666
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	Hypoxia	10	14	14	0.2830202371850821	0.22297542254268563	0.33439331708944425	0.0001220703125	0.00048828125
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	REC	10	12	12	0.3122406772256701	0.23302820726133178	0.37894441707591686	0.00048828125	0.0009765625
