component	gene	role	source_gene	measured	common_feature	retained
HRC	ABHD11-AS1	target	NA	False	False	False
HRC	AC009133.12	target	NA	False	False	False
HRC	ADAM9	target	ADAM9	True	True	True
HRC	AHNAK	target	AHNAK	True	True	True
HRC	AHNAK2	target	AHNAK2	True	True	True
HRC	ANXA11	target	ANXA11	True	True	True
HRC	ARFGAP3	target	ARFGAP3	True	True	True
HRC	B4GALNT3	target	B4GALNT3	True	True	True
HRC	B4GALT1	target	B4GALT1	True	True	True
HRC	BAIAP2L1	target	BAIAP2L1	True	True	True
HRC	BMP2	target	BMP2	True	True	True
HRC	C19ORF33	target	C19orf33	True	True	True
HRC	C1ORF106	target	NA	False	False	False
HRC	CAMK2N1	target	CAMK2N1	True	True	True
HRC	CD55	target	CD55	True	True	True
HRC	CD59	target	CD59	True	True	True
HRC	CD68	target	CD68	True	True	True
HRC	CDA	target	CDA	True	True	True
HRC	CDCP1	target	CDCP1	True	True	True
HRC	CDKN2B	target	CDKN2B	True	True	True
HRC	CEACAM1	target	CEACAM1	True	True	True
HRC	CEACAM5	target	CEACAM5	True	True	True
HRC	CGN	target	CGN	True	True	True
HRC	CLIC3	target	CLIC3	True	True	True
HRC	COL17A1	target	COL17A1	True	True	True
HRC	CXCL16	target	CXCL16	True	True	True
HRC	CYP3A5	target	CYP3A5	True	True	True
HRC	CYSTM1	target	CYSTM1	True	True	True
HRC	DDR1	target	DDR1	True	True	True
HRC	DSG2	target	DSG2	True	True	True
HRC	DUSP5	target	DUSP5	True	True	True
HRC	EFNB1	target	EFNB1	True	True	True
HRC	EMP1	target	EMP1	True	True	True
HRC	EPS8L1	target	EPS8L1	True	True	True
HRC	ERO1L	target	NA	False	False	False
HRC	EZR	target	EZR	True	True	True
HRC	FA2H	target	FA2H	True	True	True
HRC	FLNB	target	FLNB	True	True	True
HRC	GBP3	target	GBP3	True	True	True
HRC	GJB3	target	GJB3	True	True	True
HRC	GPRC5A	target	GPRC5A	True	True	True
HRC	HEBP2	target	HEBP2	True	True	True
HRC	ITGA2	target	ITGA2	True	True	True
HRC	ITGA3	target	ITGA3	True	True	True
HRC	ITGB1	target	ITGB1	True	True	True
HRC	ITGB4	target	ITGB4	True	True	True
HRC	JUP	target	JUP	True	True	True
HRC	KLK10	target	KLK10	True	True	True
HRC	KRT80	target	KRT80	True	True	True
HRC	LAMA3	target	LAMA3	True	True	True
HRC	LAMB3	target	LAMB3	True	True	True
HRC	LAMC2	target	LAMC2	True	True	True
HRC	LIPH	target	LIPH	True	True	True
HRC	LMO7	target	LMO7	True	True	True
HRC	LRP10	target	LRP10	True	True	True
HRC	MISP	target	MISP	True	True	True
HRC	MUC13	target	MUC13	True	True	True
HRC	MXD1	target	MXD1	True	True	True
HRC	MYH14	target	MYH14	True	True	True
HRC	MYOF	target	MYOF	True	True	True
HRC	PCDH1	target	PCDH1	True	True	True
HRC	PDZK1IP1	target	PDZK1IP1	True	True	True
HRC	PINK1	target	PINK1	True	True	True
HRC	PLAUR	target	PLAUR	True	True	True
HRC	PLEC	target	PLEC	True	True	True
HRC	PPARD	target	PPARD	True	True	True
HRC	PPP2CB	target	PPP2CB	True	True	True
HRC	PRSS22	target	PRSS22	True	True	True
HRC	PTK6	target	PTK6	True	True	True
HRC	PTPRH	target	PTPRH	True	True	True
HRC	RHOF	target	RHOF	True	True	True
HRC	RIOK3	target	RIOK3	True	True	True
HRC	RNF103	target	RNF103	True	True	True
HRC	RRAS	target	RRAS	True	True	True
HRC	SDCBP2	target	SDCBP2	True	True	True
HRC	SEMA3B	target	SEMA3B	True	True	True
HRC	SERINC2	target	SERINC2	True	True	True
HRC	SLC2A1	target	SLC2A1	True	True	True
HRC	SLC44A4	target	SLC44A4	True	True	True
HRC	SLC6A8	target	SLC6A8	True	True	True
HRC	SLPI	target	SLPI	True	True	True
HRC	SMAD3	target	SMAD3	True	True	True
HRC	SNX9	target	SNX9	True	True	True
HRC	SPINT1	target	SPINT1	True	True	True
HRC	SSFA2	target	NA	False	False	False
HRC	STK24	target	STK24	True	True	True
HRC	TIMP2	target	TIMP2	True	True	True
HRC	TINAGL1	target	TINAGL1	True	True	True
HRC	TJP3	target	TJP3	True	True	True
HRC	TM4SF1	target	TM4SF1	True	True	True
HRC	TMBIM1	target	TMBIM1	True	True	True
HRC	TMPRSS2	target	TMPRSS2	True	True	True
HRC	TMPRSS4	target	TMPRSS4	True	True	True
HRC	TNFRSF21	target	TNFRSF21	True	True	True
HRC	TSPAN1	target	TSPAN1	True	True	True
HRC	TSPAN3	target	TSPAN3	True	True	True
HRC	UGCG	target	UGCG	True	True	True
HRC	USP53	target	USP53	True	True	True
HRC	ZNF497	control	ZNF497	True	True	True
HRC	KCNMA1	control	KCNMA1	True	True	True
HRC	GPR19	control	GPR19	True	True	True
