fit	metafor_tau2	independent_tau2	objective_difference	numerical_refit	warning
"fixed_background common Claudin_minus_Polarity"	0.00105326883443451	0.00105321847269807	2.79758438637145e-10	FALSE	""
"fixed_background common Claudin_minus_Polarity omit Che_2021_Cell_Discov"	0.00147010626856667	0.00147056395480907	1.34210580426952e-08	FALSE	""
"fixed_background common Claudin_minus_Polarity omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common Claudin_minus_Polarity omit Liu_2024_Cancer_Res"	0.00239867268991975	0.00239867268991975	0	TRUE	""
"fixed_background common Claudin_minus_Polarity omit Sathe_2023_Clin_Cancer_Res"	0.000852989440573136	0.000852989440573136	0	TRUE	""
"fixed_background common Claudin_minus_Polarity omit Wang_2023_Sci_Adv"	0.00138037041047851	0.00138039340576482	4.06492617344156e-11	FALSE	""
"fixed_background common Claudin"	0.00185429036724907	0.00185429036724907	0	TRUE	""
"fixed_background common Claudin omit Che_2021_Cell_Discov"	0.000729107267989746	0.000729278561810551	3.82008735755335e-09	FALSE	""
"fixed_background common Claudin omit Giguelay_2022_Theranostics"	0.0027954528857705	0.0027954528857705	0	TRUE	""
"fixed_background common Claudin omit Liu_2024_Cancer_Res"	0.00407033824421501	0.00406994370672861	1.96749549985498e-09	FALSE	""
"fixed_background common Claudin omit Sathe_2023_Clin_Cancer_Res"	0.00155795307326095	0.001557619642029	5.49430723140176e-09	FALSE	""
"fixed_background common Claudin omit Wang_2023_Sci_Adv"	0.00279367133360626	0.00279367133360626	0	TRUE	""
"fixed_background common Polarity"	0.0038658840736088	0.0038658840736088	0	TRUE	""
"fixed_background common Polarity omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common Polarity omit Giguelay_2022_Theranostics"	0.00370523419601205	0.00370523419601205	0	TRUE	""
"fixed_background common Polarity omit Liu_2024_Cancer_Res"	0.00494508384220344	0.00494577410412782	1.1581151149187e-08	FALSE	""
"fixed_background common Polarity omit Sathe_2023_Clin_Cancer_Res"	0.0043471783978486	0.00434674323929754	6.67647359620105e-09	FALSE	""
"fixed_background common Polarity omit Wang_2023_Sci_Adv"	0.00518961839219889	0.00518859449420607	2.39344810637476e-08	FALSE	""
"target_mean common Claudin_minus_Polarity"	0.000339204049736102	0.000339538329172595	3.6719145057873e-08	FALSE	""
"target_mean common Claudin_minus_Polarity omit Che_2021_Cell_Discov"	0.000932195863291116	0.000932369182489204	3.79315689968962e-09	FALSE	""
"target_mean common Claudin_minus_Polarity omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"target_mean common Claudin_minus_Polarity omit Liu_2024_Cancer_Res"	0.000994823887217123	0.000994396808748363	2.39574076132953e-08	FALSE	""
"target_mean common Claudin_minus_Polarity omit Sathe_2023_Clin_Cancer_Res"	0.000129161721297459	0.000129161721297459	0	TRUE	""
"target_mean common Claudin_minus_Polarity omit Wang_2023_Sci_Adv"	0.000533483666968909	0.000533483666968909	0	TRUE	""
"target_mean common Claudin"	0.00311460272536391	0.00311563912603207	3.6678651227362e-08	FALSE	""
"target_mean common Claudin omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common Claudin omit Giguelay_2022_Theranostics"	0.00517500924793697	0.00517501172720619	9.68114477473137e-14	FALSE	""
"target_mean common Claudin omit Liu_2024_Cancer_Res"	0.00482228377924744	0.00482226598514323	4.51727544259484e-12	FALSE	""
"target_mean common Claudin omit Sathe_2023_Clin_Cancer_Res"	0.00303505126186086	0.00303558318799511	7.7502768647264e-09	FALSE	""
"target_mean common Claudin omit Wang_2023_Sci_Adv"	0.00410297871017684	0.00410170504807536	3.14909494036897e-08	FALSE	""
"target_mean common Polarity"	0.00239631753234917	0.00239631753234917	0	TRUE	""
"target_mean common Polarity omit Che_2021_Cell_Discov"	0.000146061012741776	0.000146061012741776	0	TRUE	""
"target_mean common Polarity omit Giguelay_2022_Theranostics"	0.00271280081934739	0.00271216266010573	1.31610029541207e-08	FALSE	""
"target_mean common Polarity omit Liu_2024_Cancer_Res"	0.00430672769788972	0.00430650500454952	9.97199656183057e-10	FALSE	""
"target_mean common Polarity omit Sathe_2023_Clin_Cancer_Res"	0.00339025477838815	0.00339025477838815	0	TRUE	""
"target_mean common Polarity omit Wang_2023_Sci_Adv"	0.00393877841975672	0.00393774316517779	2.53408360961771e-08	FALSE	""
"fixed_background common CLDN1"	0	0	0	FALSE	""
"fixed_background common CLDN1 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common CLDN1 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common CLDN1 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN1 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN1 omit Wang_2023_Sci_Adv"	0	0	0	TRUE	""
"fixed_background common CLDN10"	0	0	0	FALSE	""
"fixed_background common CLDN10 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common CLDN10 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common CLDN10 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN10 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common CLDN11"	0	0	0	FALSE	""
"fixed_background common CLDN11 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common CLDN11 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN11 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common CLDN12"	0.000527028797716832	0.000527028797716832	0	TRUE	""
"fixed_background common CLDN12 omit Che_2021_Cell_Discov"	0.000480044650596638	0.000480044650596638	0	TRUE	""
"fixed_background common CLDN12 omit Giguelay_2022_Theranostics"	0.000245219846294402	0.000245219846294402	0	TRUE	""
"fixed_background common CLDN12 omit Liu_2024_Cancer_Res"	0.00105304589036394	0.00105279791836906	1.60891149292297e-08	FALSE	""
"fixed_background common CLDN12 omit Sathe_2023_Clin_Cancer_Res"	0.000843310996150365	0.000842886525839069	6.23046583214659e-08	FALSE	""
"fixed_background common CLDN12 omit Wang_2023_Sci_Adv"	0.000157214506566272	0.000157214506566272	0	TRUE	""
"fixed_background common CLDN14"	0	0	0	TRUE	""
"fixed_background common CLDN14 omit Giguelay_2022_Theranostics"	0.000821480224959409	0.000821480224296783	4.44089209850063e-16	FALSE	""
"fixed_background common CLDN14 omit Liu_2024_Cancer_Res"	0.000100386077432745	0.000100386097328793	8.88178419700125e-16	FALSE	""
"fixed_background common CLDN14 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common CLDN15"	0.000148927880160997	0.000148786167115242	6.07084373882572e-08	FALSE	""
"fixed_background common CLDN15 omit Che_2021_Cell_Discov"	0.000172682514603671	0.000172676891978531	7.95381538409856e-11	FALSE	""
"fixed_background common CLDN15 omit Giguelay_2022_Theranostics"	0.000146927347231822	0.000146927347231822	0	TRUE	""
"fixed_background common CLDN15 omit Liu_2024_Cancer_Res"	0.000239394500467983	0.000239564103374521	3.02390725792634e-08	FALSE	""
"fixed_background common CLDN15 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN15 omit Wang_2023_Sci_Adv"	0.000382567609729837	0.000382567609729837	0	TRUE	""
"fixed_background common CLDN16"	0	0	0	FALSE	""
"fixed_background common CLDN16 omit Che_2021_Cell_Discov"	7.69395745426332e-06	7.69395745426332e-06	0	TRUE	""
