study	patient	scoring	model	n_cells	n_samples	design_columns	design_rank	residual_df	finite_comparison	covariates
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	6	6	1866	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	6	6	288	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	6	6	1259	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	6	6	245	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	6	6	256	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	7	7	799	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Giguelay_2022_EPCAM_Pos.19G00081
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	7	7	523	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Giguelay_2022_EPCAM_Pos.19G00619
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	fixed_background	common	550	1	6	6	544	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	fixed_background	common	1519	4	9	9	1510	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Giguelay_2022_CAF.19G02977B;sample_Giguelay_2022_EPCAM_Pos.19G02977A;sample_Giguelay_2022_EPCAM_Pos.19G02977B
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt01	fixed_background	common	2830	1	6	6	2824	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt02	fixed_background	common	2225	1	6	6	2219	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
