scoring	model	endpoint	k	n_patients	estimate	se	low	high	p	tau2	I2	Q	Q_p	df	q_member_family
"fixed_background"	"common"	"Claudin_minus_Polarity"	5	28	0.0880079933785356	0.0230815779554603	0.0239232592438564	0.152092727513215	0.0188928617314232	0.00105326883443451	34.7266291204384	5.40426672258928	0.24827354822144	4	NA
"fixed_background"	"common"	"Claudin"	5	28	0.178039961869017	0.030868658531164	0.0923348259861443	0.263745097751889	0.00448507540443455	0.00185429036724907	49.8843192137653	8.00945189826372	0.0912325722973809	4	NA
"fixed_background"	"common"	"Polarity"	5	28	0.101751462463931	0.0288661902206057	0.0216060699202218	0.18189685500764	0.0243414266076117	0.0038658840736088	88.3832386208185	53.6558032127184	6.21256335185264e-11	4	NA
"target_mean"	"common"	"Claudin_minus_Polarity"	5	28	0.0545549744330012	0.0178244783065346	0.00506628888611883	0.104043659979883	0.0376336106033428	0.000339204049736102	19.5015793047078	4.62986228481542	0.32742564413074	4	NA
"target_mean"	"common"	"Claudin"	5	28	0.20045925122254	0.03235339227772	0.11063183359652	0.290286668848559	0.00345012082292898	0.00311460272536391	64.6789705013977	10.1781811161135	0.0375308573712515	4	NA
"target_mean"	"common"	"Polarity"	5	28	0.133127256738317	0.0283097427182068	0.0545268101389427	0.211727703337691	0.00929099908044835	0.00239631753234917	75.5710768729126	12.8446717812937	0.012060229319866	4	NA
"fixed_background"	"common"	"CLDN1"	5	28	0.0632417382695243	0.00782972766214696	0.0415029292269246	0.084980547312124	0.00127643097413874	0	0	1.92087999798672	0.750308321449299	4	0.019146464612081
"fixed_background"	"common"	"CLDN10"	4	22	-0.0455617939917619	0.00588590043249261	-0.0642933560764158	-0.026830231907108	0.00448344033401004	0	0	1.2253913951739	0.746921068909374	3	0.0269006420040603
"fixed_background"	"common"	"CLDN11"	3	18	-0.021274463642144	0.00499036143260231	-0.0427462558825668	0.00019732859827876	0.0508619413732933	0	0	0.502876235532603	0.777681580794093	2	0.117373710861446
"fixed_background"	"common"	"CLDN12"	5	28	0.0459612907350293	0.0149690472323728	0.00440055281723341	0.0875220286528253	0.0372776385934633	0.000527028797716832	55.0277835060414	8.67934044452305	0.0696337213146715	4	0.101666287073082
"fixed_background"	"common"	"CLDN14"	3	19	-0.0237792342983189	0.0113366567308151	-0.072556931327393	0.0249984627307552	0.170851838370777	0	0	2.16154319269249	0.339333596043108	2	0.26096213048939
"fixed_background"	"common"	"CLDN15"	5	28	-0.0119451688137206	0.0109711242149097	-0.0424058929387238	0.0185155553112825	0.337454636978917	0.000148927880160997	23.2394417790128	4.96503454297523	0.2909040226399	4	0.421818296223647
"fixed_background"	"common"	"CLDN16"	4	23	-0.00273414528949941	0.00417869618143415	-0.0160326215130077	0.0105643309340089	0.559600137924456	0	0	2.08002024900058	0.555965366366892	3	0.671520165509347
"fixed_background"	"common"	"CLDN17"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"fixed_background"	"common"	"CLDN18"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"fixed_background"	"common"	"CLDN19"	2	5	-0.00296167724099808	0.0205986685197396	-0.264692576745406	0.25876922226341	0.909089824383923	0.000687167779738204	77.0035624365293	4.34849961973448	0.0370415656387581	1	1
"fixed_background"	"common"	"CLDN2"	5	23	-0.0432851978801859	0.0301507841384509	-0.126997194919263	0.0404267991588913	0.224445405170006	0.00296665620528026	81.3499833591265	16.1869213251853	0.00277833037593384	4	0.306061916140917
"fixed_background"	"common"	"CLDN20"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"fixed_background"	"common"	"CLDN22"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"fixed_background"	"common"	"CLDN23"	4	23	0.0604986530646411	0.0197918181509	-0.00248774548453759	0.12348505161382	0.0551339104754649	0.000987166584736296	59.8180099603077	7.7529789292804	0.0514025145488405	3	0.118144093875996
"fixed_background"	"common"	"CLDN3"	5	28	0.147176487070824	0.0392134731968131	0.0383024313557272	0.256050542785921	0.0198915720085588	0.00512405226476773	71.4910083482032	13.0909700232349	0.0108397468242146	4	0.0707921688765232
"fixed_background"	"common"	"CLDN4"	5	28	0.212265817684778	0.0558382715989825	0.0572339218210777	0.367297713548477	0.0190800177226795	0.0111155541908691	80.446157236185	15.8270754536528	0.00326020072674951	4	0.0707921688765232
"fixed_background"	"common"	"CLDN5"	3	13	-0.0155903427406202	0.00549406099906837	-0.0392293792956718	0.0080486938144314	0.104990401301296	0	0	0.71217159042253	0.700412525616766	2	0.18859348364411
"fixed_background"	"common"	"CLDN6"	4	17	0.0120550052173102	0.00136328692993537	0.00771641776409585	0.0163935926705246	0.00304851288316385	0	0	0.0960986037534471	0.992301460877061	3	0.0228638466237289
"fixed_background"	"common"	"CLDN7"	5	28	0.157911598057275	0.0429318473120807	0.0387136807305498	0.277109515384001	0.0212376506629569	0.00745095046726183	84.8873193073263	32.389135646335	1.59286812667711e-06	4	0.0707921688765232
"fixed_background"	"common"	"CLDN8"	2	6	-0.0209337088812807	0.0118357630040172	-0.171321336819166	0.129453919056604	0.327594381293562	0	0	0.579924052897132	0.446342091309638	1	0.421818296223647
"fixed_background"	"common"	"CLDN9"	4	22	0.0452145762265345	0.0203917407483103	-0.0196810437762291	0.110110196229298	0.113327949399414	0.000981158382206302	65.0223314507598	7.77746804040384	0.0508417698435025	3	0.188879915665689
"fixed_background"	"common"	"CRB3"	5	28	0.0645854897124837	0.00677521621719126	0.0457744738096063	0.083396505615361	0.000676231846116733	0	0	1.2185939242759	0.875027864499753	4	0.019146464612081
"fixed_background"	"common"	"F11R"	5	28	0.121596535564919	0.0171855027315085	0.073881930625659	0.169311140504179	0.00210565568242234	0.000561474175316861	32.1094549594504	5.19114129587891	0.268241405914156	4	0.0210565568242234
"fixed_background"	"common"	"PALS1"	5	28	0.048219739334733	0.0136926911754645	0.0102027339436295	0.0862367447258365	0.0244154862204215	0.000310475077826168	36.7213419612869	6.16855277062151	0.186909298949642	4	0.0732464586612644
