study	scoring	model	endpoint	n_patients	estimate	variance	low	high	p_signflip	n_positive
Che_2021_Cell_Discov	fixed_background	common	Claudin_minus_Polarity	5	0.11240328060854339	0.005822255463293813	-0.0029183484775869516	0.25945011138390023	0.25	4
Che_2021_Cell_Discov	fixed_background	common	Claudin	5	0.3108947998743898	0.005027188679456869	0.20737994081444205	0.4506205399417464	0.0625	5
Che_2021_Cell_Discov	fixed_background	common	Polarity	5	0.19849151926584643	0.00015542819057828386	0.17745858701485465	0.2195244515168382	0.0625	5
Che_2021_Cell_Discov	target_mean	common	Claudin_minus_Polarity	5	0.063639355540916	0.0012872109452149378	0.0022083762349900116	0.12005419425481949	0.25	4
Che_2021_Cell_Discov	target_mean	common	Claudin	5	0.3255141060217205	0.0024669989767057655	0.24083825542029613	0.4184841088118135	0.0625	5
Che_2021_Cell_Discov	target_mean	common	Polarity	5	0.2618747504808045	0.0023243029440024165	0.19924339998752053	0.35568781773417396	0.0625	5
Giguelay_2022_Theranostics	fixed_background	common	Claudin_minus_Polarity	4	0.16874368892709266	0.0020079477026031427	0.08722906379329926	0.24353753500340167	0.125	4
Giguelay_2022_Theranostics	fixed_background	common	Claudin	4	0.21452322533597407	0.0011376016847834374	0.15047456950167554	0.25741122458027044	0.125	4
Giguelay_2022_Theranostics	fixed_background	common	Polarity	4	0.04577953640888141	0.00047767487395862306	0.007348324211651679	0.07935511986687555	0.25	3
Giguelay_2022_Theranostics	target_mean	common	Claudin_minus_Polarity	4	0.12330012774083214	0.0016325948820030236	0.0466777854457721	0.1768830448212807	0.125	4
Giguelay_2022_Theranostics	target_mean	common	Claudin	4	0.21242618317995846	0.0013090825638038322	0.14280002398782515	0.2565529212846097	0.125	4
Giguelay_2022_Theranostics	target_mean	common	Polarity	4	0.0891260554391263	0.00020594631419504125	0.06624056253076396	0.11201154834748867	0.125	4
Liu_2024_Cancer_Res	fixed_background	common	Claudin_minus_Polarity	12	0.07916241110032936	0.0009294721675417364	0.02258753371953733	0.13736286119319743	0.02197265625	10
Liu_2024_Cancer_Res	fixed_background	common	Claudin	12	0.15480807177342368	0.000623809065449245	0.10678788864299732	0.20085058389927693	0.0009765625	11
Liu_2024_Cancer_Res	fixed_background	common	Polarity	12	0.07564566067309432	0.00040349606003730584	0.04360634735890509	0.11783928167636375	0.00048828125	12
Liu_2024_Cancer_Res	target_mean	common	Claudin_minus_Polarity	12	0.0405715098262004	0.0009197628593841581	-0.018323909610490054	0.09500502003181831	0.20751953125	8
Liu_2024_Cancer_Res	target_mean	common	Claudin	12	0.17123622616569664	0.0007727908016346264	0.11444730043152573	0.22146551341609577	0.0009765625	11
Liu_2024_Cancer_Res	target_mean	common	Polarity	12	0.13066471633949622	0.0005373667152587716	0.0907084976178291	0.17569744962231548	0.00048828125	12
Ogden_2025	fixed_background	common	Claudin_minus_Polarity	14	0.11239097597720715	0.0002535647800590664	0.08183432206722664	0.14162287542826815	0.000244140625	13
Ogden_2025	fixed_background	common	Claudin	14	0.17151950082915776	0.0003634366851532424	0.13489665009989216	0.20636378529068447	0.0001220703125	14
Ogden_2025	fixed_background	common	Polarity	14	0.059128524851950644	0.00019659462186234598	0.03283340988780563	0.08539884106819323	0.001708984375	11
Ogden_2025	fixed_background	state_enhanced	Claudin_minus_Polarity	14	0.09346724862985807	0.0002837797585178295	0.06132948540733539	0.1254334656758111	0.00048828125	12
Ogden_2025	fixed_background	state_enhanced	Claudin	14	0.14074651076933478	0.000320959277865052	0.10654208208677039	0.17331607940982333	0.0001220703125	14
Ogden_2025	fixed_background	state_enhanced	Polarity	14	0.047279262139476745	0.0001473650249179372	0.023833738451604615	0.07029212702856168	0.0025634765625	11
Ogden_2025	target_mean	common	Claudin_minus_Polarity	14	0.09649451716191604	0.0004142035179087003	0.05788966375224866	0.13419253247595056	0.000732421875	12
Ogden_2025	target_mean	common	Claudin	14	0.18254057540719923	0.0004823354813044646	0.13987049689177064	0.22179614653103788	0.0001220703125	14
Ogden_2025	target_mean	common	Polarity	14	0.08604605824528322	0.00033141978352710784	0.05211753331391882	0.12077251541602409	0.00048828125	12
Ogden_2025	target_mean	state_enhanced	Claudin_minus_Polarity	14	0.0770343680970252	0.0003499877913293929	0.04187934702561143	0.11203662207102925	0.001220703125	12
Ogden_2025	target_mean	state_enhanced	Claudin	14	0.15805842796394595	0.0004447244331316896	0.11680877662342015	0.19651656776110135	0.000244140625	13
Ogden_2025	target_mean	state_enhanced	Polarity	14	0.08102405986692075	0.00026414005231919526	0.050799935073803086	0.11241911688296477	0.0003662109375	13
Sathe_2023_Clin_Cancer_Res	fixed_background	common	Claudin_minus_Polarity	3	0.046803596135053555	0.0009739676728779015	-0.014299608577479	0.08838705232589628	0.5	2
Sathe_2023_Clin_Cancer_Res	fixed_background	common	Claudin	3	0.10503925306928337	0.0023196243143952973	0.05583086805303789	0.20135658298092238	0.25	3
Sathe_2023_Clin_Cancer_Res	fixed_background	common	Polarity	3	0.05823565693422983	0.006243960989600133	-0.03255618427285838	0.21565619155840135	1.0	1
Sathe_2023_Clin_Cancer_Res	target_mean	common	Claudin_minus_Polarity	3	0.01786877212509978	0.0009164459083257215	-0.03825623502654313	0.06559915317024133	0.75	2
