study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive
Che_2021_Cell_Discov	fixed_background	common	CLDN1	5	0.08602054693247271	0.000944290306652679	0.04092749412432258	0.14458270729339853	0.0625	5.0
Che_2021_Cell_Discov	fixed_background	common	CLDN10	2	-0.04315553661972467	0.00011035043776452987	-0.05366031828164082	-0.03265075495780852	0.5	0.0
Che_2021_Cell_Discov	fixed_background	common	CLDN11	1	-0.02280110601156663	NA	NA	NA	NA	0.0
Che_2021_Cell_Discov	fixed_background	common	CLDN12	5	0.09581969742250432	0.0014819292265134038	0.026247947768674507	0.15615521108572314	0.125	4.0
Che_2021_Cell_Discov	fixed_background	common	CLDN14	1	0.01970839145868102	NA	NA	NA	NA	1.0
Che_2021_Cell_Discov	fixed_background	common	CLDN15	5	0.03466837784370817	0.0037889295860528277	-0.07347611519558524	0.1458311989902933	0.625	3.0
Che_2021_Cell_Discov	fixed_background	common	CLDN16	3	0.004533133898347161	0.0001693113434300846	-0.011637867363963194	0.030276722447536427	1.0	1.0
Che_2021_Cell_Discov	fixed_background	common	CLDN17	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN18	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN19	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN2	2	-0.07013633630064953	0.006061160573128329	-0.14798979205650103	0.007717119455201995	1.0	1.0
Che_2021_Cell_Discov	fixed_background	common	CLDN20	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN22	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN23	3	0.10637952072804557	0.00039931117327146403	0.06645944477039448	0.12799006513397698	0.25	3.0
Che_2021_Cell_Discov	fixed_background	common	CLDN3	5	0.26122748562225795	0.0030496194484593542	0.16061049018590096	0.35602375657197155	0.0625	5.0
Che_2021_Cell_Discov	fixed_background	common	CLDN4	5	0.4466068770846217	0.004896992494461702	0.32452867384957124	0.5638111451414693	0.0625	5.0
Che_2021_Cell_Discov	fixed_background	common	CLDN5	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN6	4	0.006756007637955044	0.0007370566878327376	-0.03316053605942149	0.054421983717596	0.875	2.0
Che_2021_Cell_Discov	fixed_background	common	CLDN7	5	0.2254436277622172	0.00906123583663471	0.07159590966025353	0.40575072207460805	0.0625	5.0
Che_2021_Cell_Discov	fixed_background	common	CLDN8	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN9	3	0.0909988811306841	0.0010196828763018731	0.04295585456780615	0.15146143347407318	0.25	3.0
Che_2021_Cell_Discov	fixed_background	common	CRB3	5	0.0644612007705497	0.0011025574439507795	0.019095753534606165	0.13059861239378995	0.0625	5.0
