dataset	normalization	proxy	gene	used
all_pairs	TMM	Epithelial	CDH1	TRUE
all_pairs	TMM	Epithelial	EPCAM	TRUE
all_pairs	TMM	Epithelial	KRT18	FALSE
all_pairs	TMM	Epithelial	KRT19	FALSE
all_pairs	TMM	Epithelial	KRT8	TRUE
all_pairs	TMM	Epithelial	MUC1	TRUE
all_pairs	TMM	Epithelial	TACSTD2	TRUE
all_pairs	TMM	Liver	ALB	TRUE
all_pairs	TMM	Liver	APOA1	TRUE
all_pairs	TMM	Liver	APOA2	TRUE
all_pairs	TMM	Liver	ASGR1	TRUE
all_pairs	TMM	Liver	CPS1	TRUE
all_pairs	TMM	Liver	TTR	TRUE
all_pairs	TMM	Endothelial	VWF	TRUE
all_pairs	TMM	Endothelial	PECAM1	TRUE
all_pairs	TMM	Endothelial	EMCN	TRUE
all_pairs	TMM	Endothelial	KDR	TRUE
all_pairs	TMM	Endothelial	ENG	TRUE
all_pairs	TMM	Endothelial	RAMP2	TRUE
all_pairs	TMM	Endothelial	PLVAP	TRUE
all_pairs	TMM	Endothelial	ESAM	TRUE
all_pairs	library_only	Epithelial	CDH1	TRUE
all_pairs	library_only	Epithelial	EPCAM	TRUE
all_pairs	library_only	Epithelial	KRT18	FALSE
all_pairs	library_only	Epithelial	KRT19	FALSE
all_pairs	library_only	Epithelial	KRT8	TRUE
all_pairs	library_only	Epithelial	MUC1	TRUE
all_pairs	library_only	Epithelial	TACSTD2	TRUE
all_pairs	library_only	Liver	ALB	TRUE
all_pairs	library_only	Liver	APOA1	TRUE
all_pairs	library_only	Liver	APOA2	TRUE
all_pairs	library_only	Liver	ASGR1	TRUE
all_pairs	library_only	Liver	CPS1	TRUE
all_pairs	library_only	Liver	TTR	TRUE
all_pairs	library_only	Endothelial	VWF	TRUE
all_pairs	library_only	Endothelial	PECAM1	TRUE
all_pairs	library_only	Endothelial	EMCN	TRUE
all_pairs	library_only	Endothelial	KDR	TRUE
all_pairs	library_only	Endothelial	ENG	TRUE
all_pairs	library_only	Endothelial	RAMP2	TRUE
all_pairs	library_only	Endothelial	PLVAP	TRUE
all_pairs	library_only	Endothelial	ESAM	TRUE
same_section	TMM	Epithelial	CDH1	TRUE
same_section	TMM	Epithelial	EPCAM	TRUE
same_section	TMM	Epithelial	KRT18	FALSE
same_section	TMM	Epithelial	KRT19	FALSE
same_section	TMM	Epithelial	KRT8	TRUE
same_section	TMM	Epithelial	MUC1	TRUE
same_section	TMM	Epithelial	TACSTD2	TRUE
same_section	TMM	Liver	ALB	TRUE
same_section	TMM	Liver	APOA1	TRUE
same_section	TMM	Liver	APOA2	TRUE
same_section	TMM	Liver	ASGR1	TRUE
same_section	TMM	Liver	CPS1	TRUE
same_section	TMM	Liver	TTR	TRUE
same_section	TMM	Endothelial	VWF	TRUE
same_section	TMM	Endothelial	PECAM1	TRUE
same_section	TMM	Endothelial	EMCN	TRUE
same_section	TMM	Endothelial	KDR	TRUE
same_section	TMM	Endothelial	ENG	TRUE
same_section	TMM	Endothelial	RAMP2	TRUE
same_section	TMM	Endothelial	PLVAP	TRUE
same_section	TMM	Endothelial	ESAM	TRUE
same_section	library_only	Epithelial	CDH1	TRUE
same_section	library_only	Epithelial	EPCAM	TRUE
same_section	library_only	Epithelial	KRT18	FALSE
same_section	library_only	Epithelial	KRT19	FALSE
same_section	library_only	Epithelial	KRT8	TRUE
same_section	library_only	Epithelial	MUC1	TRUE
same_section	library_only	Epithelial	TACSTD2	TRUE
same_section	library_only	Liver	ALB	TRUE
same_section	library_only	Liver	APOA1	TRUE
same_section	library_only	Liver	APOA2	TRUE
same_section	library_only	Liver	ASGR1	TRUE
same_section	library_only	Liver	CPS1	TRUE
same_section	library_only	Liver	TTR	TRUE
same_section	library_only	Endothelial	VWF	TRUE
same_section	library_only	Endothelial	PECAM1	TRUE
same_section	library_only	Endothelial	EMCN	TRUE
same_section	library_only	Endothelial	KDR	TRUE
same_section	library_only	Endothelial	ENG	TRUE
same_section	library_only	Endothelial	RAMP2	TRUE
same_section	library_only	Endothelial	PLVAP	TRUE
same_section	library_only	Endothelial	ESAM	TRUE
