gene	retained
A1CF	TRUE
A2M	TRUE
A2ML1	FALSE
A3GALT2	FALSE
A4GALT	TRUE
A4GNT	FALSE
AAAS	TRUE
AACS	TRUE
AADAC	TRUE
AADACL2	TRUE
AADACL3	FALSE
AADACL4	FALSE
AADAT	TRUE
AAGAB	TRUE
AAK1	TRUE
AAMDC	TRUE
AAMP	TRUE
AANAT	FALSE
AAR2	TRUE
AARD	FALSE
AARS	TRUE
AARS2	TRUE
AARSD1	TRUE
AASDH	TRUE
AASDHPPT	TRUE
AASS	TRUE
AATF	TRUE
AATK	TRUE
ABAT	TRUE
ABCA1	TRUE
ABCA10	TRUE
ABCA12	TRUE
ABCA13	TRUE
ABCA2	TRUE
ABCA3	TRUE
ABCA4	TRUE
ABCA5	TRUE
ABCA6	TRUE
ABCA7	TRUE
ABCA8	TRUE
ABCA9	TRUE
ABCB1	TRUE
ABCB11	TRUE
ABCB4	TRUE
ABCB5	FALSE
ABCB6	TRUE
ABCB7	TRUE
ABCB8	TRUE
ABCB9	TRUE
ABCC1	TRUE
ABCC11	TRUE
ABCC12	TRUE
ABCC2	TRUE
ABCC3	TRUE
ABCC4	TRUE
ABCC5	TRUE
ABCC8	FALSE
ABCC9	TRUE
ABCD1	TRUE
ABCD2	TRUE
ABCD3	TRUE
ABCD4	TRUE
ABCE1	TRUE
ABCF1	TRUE
ABCF2	TRUE
ABCF3	TRUE
ABCG1	TRUE
ABCG2	TRUE
ABCG4	FALSE
ABCG5	TRUE
ABCG8	FALSE
ABHD1	TRUE
ABHD10	TRUE
ABHD11	TRUE
ABHD12	TRUE
ABHD12B	TRUE
ABHD13	TRUE
ABHD14A	TRUE
ABHD14B	TRUE
ABHD15	TRUE
ABHD16A	TRUE
ABHD16B	TRUE
ABHD17B	TRUE
ABHD17C	TRUE
ABHD18	TRUE
ABHD2	TRUE
ABHD3	TRUE
ABHD4	TRUE
ABHD5	TRUE
ABHD6	TRUE
ABHD8	TRUE
ABI1	TRUE
ABI2	TRUE
ABI3	TRUE
