cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new
33685	ENC-P02-S03	EHGP	True	False	Tumor	MΦ	378.6087	3960.2173	dHGP	Tumour-region context	TRUE	Other tissue
33686	ENC-P02-S03	EHGP	True	False	Tumor	CAF3	1364.6	4571.6	dHGP	Tumour-region context	TRUE	Other tissue
33687	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	6689.6875	6484.9062	dHGP	Non-tumour context	FALSE	Other tissue
33688	ENC-P02-S03	EHGP	False	False	Stroma	CAFγ	6186.8125	6945.3125	dHGP	Non-tumour context	FALSE	Other tissue
33689	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	2958.975	10165.925	dHGP	Non-tumour context	FALSE	Other tissue
33690	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	5743.7144	7387.9287	dHGP	Non-tumour context	FALSE	Other tissue
33691	ENC-P02-S03	EHGP	False	False	Stroma	NC3	11013.143	2170.1904	dHGP	Non-tumour context	FALSE	Other tissue
33695	ENC-P02-S03	EHGP	True	True	Tumor	CAF1	9775.833	3397.75	dHGP	Tumour-region context	TRUE	Other tissue
33696	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	1985.2368	11251.158	dHGP	Non-tumour context	FALSE	Other tissue
33698	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	5445.316	7717.9473	dHGP	Non-tumour context	FALSE	Other tissue
33700	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	5025.1177	8173.3237	dHGP	Non-tumour context	FALSE	Other tissue
33701	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	2734.2812	10505.844	dHGP	Non-tumour context	FALSE	Other tissue
33702	ENC-P02-S03	EHGP	False	False	Stroma	CAF1	5693.1177	7515.0586	dHGP	Non-tumour context	FALSE	Other tissue
33704	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	2221.3584	11056.038	dHGP	Non-tumour context	FALSE	Other tissue
33705	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6053.5	7200.9443	dHGP	Non-tumour context	FALSE	Other tissue
33709	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	3667.739	9487.956	dHGP	Non-tumour context	FALSE	Other tissue
