regulon_id	candidate_class	comparator_state	n_paired_patients	n_positive	n_negative	mean_rec_minus_comparator	median_rec_minus_comparator	bootstrap_ci_lower	bootstrap_ci_upper	exact_sign_flip_p	n_exact_assignments	fdr_bh_within_comparator
JUNB	primary_AP1	Hypoxia	9	9	0	0.393418486295031	0.34198857128544	0.309298658213283	0.497134089229794	0.00390625	512	0.005859375
RELB	inflammatory_comparator	Hypoxia	9	9	0	0.371452799142054	0.253700416391193	0.230816883353435	0.530480524597111	0.00390625	512	0.005859375
FOSL2	primary_AP1	Hypoxia	9	9	0	0.28104555560725	0.197301224517699	0.203843826170861	0.367128752534586	0.00390625	512	0.005859375
NFKB_COMBINED	inflammatory_comparator	Hypoxia	9	9	0	0.268070145277084	0.201440276022552	0.14839025952369	0.401702812706355	0.00390625	512	0.005859375
AP1_COMBINED	primary_AP1	Hypoxia	9	9	0	0.167698395905794	0.152717412159494	0.128755524569115	0.210324834803824	0.00390625	512	0.005859375
CDX2	lineage_WNT_comparator	Hypoxia	9	6	3	0.0683602571057256	0.108260451952124	0.0012438691073695	0.136830843499363	0.1015625	512	0.118489583333333
TEAD1	mechanotransduction_comparator	Hypoxia	9	3	6	-0.0713907794040515	-0.0821172621931228	-0.184732689484892	0.0380619265097359	0.26171875	512	0.26171875
HNF4A	lineage_WNT_comparator	Hypoxia	9	0	9	-0.238177270087474	-0.230341218012518	-0.299389470577921	-0.176637596235118	0.00390625	512	0.005859375
FOSL2	primary_AP1	iREC	5	5	0	0.247403714938501	0.149488756641305	0.078180208687946	0.427965085234113	0.0625	32	0.21875
JUNB	primary_AP1	iREC	5	5	0	0.2021409601305	0.0934876223497364	0.0353586769857816	0.387447622985964	0.0625	32	0.21875
CDX2	lineage_WNT_comparator	iREC	5	4	1	0.164246241630527	0.199403872896206	0.0568589319984884	0.242223935458246	0.125	32	0.2625
RELB	inflammatory_comparator	iREC	5	3	2	0.138237527138156	0.0029083990184154	-0.174375050792814	0.450850105069127	0.4375	32	0.57421875
NFKB_COMBINED	inflammatory_comparator	iREC	5	3	2	0.126727767449612	0.0916887124103579	-0.106441345123005	0.359896880022228	0.4375	32	0.57421875
AP1_COMBINED	primary_AP1	iREC	5	3	2	0.103475678459082	0.0465208962868136	-0.0059327112378063	0.230678452642256	0.25	32	0.403846153846154
TEAD1	mechanotransduction_comparator	iREC	5	3	2	-0.0354764901951187	0.0014505292906054	-0.182601609203518	0.11164862881328	0.75	32	0.828947368421053
HNF4A	lineage_WNT_comparator	iREC	5	0	5	-0.100630021304697	-0.0804591934337191	-0.187132787289752	-0.0289016114607409	0.0625	32	0.21875
RELB	inflammatory_comparator	UPR	6	6	0	0.895743634895283	0.826947646278439	0.602899541880582	1.21779428723151	0.03125	64	0.041015625
NFKB_COMBINED	inflammatory_comparator	UPR	6	6	0	0.659025684997919	0.679258492409657	0.39546071518716	0.919497984511925	0.03125	64	0.041015625
JUNB	primary_AP1	UPR	6	6	0	0.63500901936293	0.638554044439997	0.587864689273362	0.683798066565203	0.03125	64	0.041015625
FOSL2	primary_AP1	UPR	6	6	0	0.631189703503908	0.611690618642876	0.512415409616088	0.774523294639216	0.03125	64	0.041015625
AP1_COMBINED	primary_AP1	UPR	6	6	0	0.402774911716928	0.396647294497357	0.365203185941818	0.45142630792929	0.03125	64	0.041015625
TEAD1	mechanotransduction_comparator	UPR	6	4	2	0.232499800170375	0.327461269830248	0.0735276673817168	0.381323091917004	0.125	64	0.138157894736842
CDX2	lineage_WNT_comparator	UPR	6	4	2	0.142620930789704	0.214339639048172	-0.0397426848752118	0.302910313820813	0.25	64	0.2625
HNF4A	lineage_WNT_comparator	UPR	6	1	5	-0.231118023391287	-0.251773831623221	-0.336665651211591	-0.108789560257292	0.0625	64	0.0729166666666667
