source_rank	gene	source_max_adj_p	source_min_log2fc	source_sheet
1	CA9	1.30903728625101e-153	4.47322247174934	Cluster_8
2	NDRG1	5.5379875989208e-105	3.88411458632602	Cluster_8
3	MIR210HG	5.64034839715128e-115	3.54705853515281	Cluster_8
4	HIF1A-AS3	3.03841172762701e-29	3.29608098377111	Cluster_8
5	ALDOC	1.37994941713004e-41	3.13012119508932	Cluster_8
6	C15ORF48	4.44573586261942e-17	3.05838505836986	Cluster_8
7	ST8SIA6	8.06153348855226e-23	2.89935599626635	Cluster_8
8	AC025580.2	4.33955644647832e-22	2.7328241925454	Cluster_8
9	EGLN3	8.63631862732511e-38	2.7008827429619	Cluster_8
10	RAB3B	2.71730677035982e-22	2.45320029229811	Cluster_8
11	TFF1	4.3038696956829e-25	2.43797195171309	Cluster_8
12	PLOD2	3.4352604261232e-23	2.41871315742224	Cluster_8
13	TFF3	2.84751794324681e-39	2.36765695705721	Cluster_8
14	NDNF	1.08484437650017e-25	2.346484299909	Cluster_8
15	ADM	3.77018140988017e-06	2.33862117803072	Cluster_8
16	PFKFB4	2.44426675400677e-13	2.3239901299485	Cluster_8
17	SLC6A8	7.51792744221066e-06	2.30155908380917	Cluster_8
18	PAG1	5.27931342582816e-24	2.27299254271656	Cluster_8
19	NCKAP5	2.31706419808067e-06	2.23030367221617	Cluster_8
20	BHLHE40	1.75182319075559e-16	2.1595579802668	Cluster_8
21	P4HA1	2.98994814518937e-42	2.13992607976029	Cluster_8
22	PTPRB	0.000183065203612063	2.04751346120263	Cluster_8
23	NR2F2-AS1	6.75087396238385e-07	1.90429125329979	Cluster_8
24	BNIP3L	1.14271452502759e-36	1.88707813104689	Cluster_8
25	CDA	2.35109493612351e-16	1.86412303891822	Cluster_8
26	LINC02649	1.06003612300607e-05	1.86098649242319	Cluster_8
27	HSD17B2	7.26025353547972e-16	1.85758505914187	Cluster_8
28	NPSR1	6.37587751060449e-21	1.85622091459852	Cluster_8
29	LDHA	8.50654942522544e-42	1.79819890444854	Cluster_8
30	AC105254.1	0.000608908237654861	1.79424172698221	Cluster_8
31	PGK1	2.66715450094012e-40	1.79054391774587	Cluster_8
32	GAL3ST1	4.13218962709367e-09	1.75231891299607	Cluster_8
33	TFF2	1.12204630953415e-12	1.68631429487553	Cluster_8
34	PTPN22	1.39516829654396e-07	1.67131570378715	Cluster_8
35	SLC15A1	4.35589672213627e-12	1.64329076047461	Cluster_8
36	SMIM24	8.03125114220385e-08	1.62155403692664	Cluster_8
37	SEMA4B	7.51480040309982e-23	1.57662733676156	Cluster_8
38	BNIP3	3.99437651594949e-09	1.5606073551607	Cluster_8
39	RIMKLA	1.24315336996688e-05	1.55901592726441	Cluster_8
40	PTPRR	2.13556750129704e-10	1.55079397843954	Cluster_8
41	LINC01559	1.65682471275221e-09	1.54388532498745	Cluster_8
42	ANKRD37	0.000105730841081691	1.52218054581308	Cluster_8
43	STS	0.00396524375291476	1.51838895975533	Cluster_8
44	NR4A1	1.05474302634983e-07	1.49265178519724	Cluster_8
45	MYO7B	1.42703256284787e-14	1.47245188350222	Cluster_8
46	ERO1A	2.01769070248585e-25	1.46853702122176	Cluster_8
47	NPAS3	2.73290266992897e-09	1.46708709268778	Cluster_8
48	FUT11	0.00579044134037019	1.45500941146886	Cluster_8
49	SLC2A1	1.21400398943775e-12	1.45266538637104	Cluster_8
50	TPI1	7.14836650778574e-26	1.4349483009523	Cluster_8
