set_id	family	role	source	source_version	citation	retrieval_date	n_genes	gene_sha256
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	MSigDB_c2.cp.reactome	pengwinkler_axis	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	67	f6134f8dc4c99dd4b3a321b1bc428656e0e5020d8605f351a1d05a3f06a9c7ee
GOBP_LIVER_REGENERATION	MSigDB_c5.go.bp	regenerative_interpretation	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	27	5cc089aa0833fc524dccb1536b6c9337d94f6a9ed5f6bf1df7e3c3f4989d1671
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_WOUND_HEALING	MSigDB_c5.go.bp	repair_interpretation	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	10	8537db5cd209641bf4dfaaf10f849de1aec1b259e576d789f84982cc87f1db56
GOBP_PROLINE_BIOSYNTHETIC_PROCESS	MSigDB_c5.go.bp	pengwinkler_axis	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	6	284e2d2920c326589b9722bb337df947051d073945d795885d70bc22d9c4fe27
GOBP_PROLINE_METABOLIC_PROCESS	MSigDB_c5.go.bp	pengwinkler_axis	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	10	9dee3071709d811c6760cac7e5d6c59c84c85be73ea4af02963b0ab71e26cc34
GOBP_TISSUE_REGENERATION	MSigDB_c5.go.bp	regenerative_interpretation	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	84	6333702ae2862bc31c64d173f859373513a08206a9d5f7f3a02ae0f8495c201a
GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS	MSigDB_c5.go.bp	repair_interpretation	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	27	212c17689386b85ce53a3830bbb7459d93438caaceb3cdbd1e4cf559bea936d8
HALLMARK_E2F_TARGETS	MSigDB_h.all	proliferation	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	200	564b78438ff87fdfb0fd79653cc41163db2dab0829de7926f93204f7d8518967
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_h.all	plasticity_context	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	200	ce2782c435c8b89c2a7f68a8603515f1cd474eebcfc38e092c3826a99e4dac2f
HALLMARK_FATTY_ACID_METABOLISM	MSigDB_h.all	metabolic_cooption	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	158	d61a2be8ef4a6e1f220765bd507c8c465ec968faf65d190d05566e727a3bc72e
HALLMARK_G2M_CHECKPOINT	MSigDB_h.all	proliferation	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	200	3f510640faed8d39a63cc77999f6c4334d42ad2dce07313215a647389b779260
HALLMARK_GLYCOLYSIS	MSigDB_h.all	metabolic_cooption	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	200	c0b90a28afee230795c557fc44d35b1398786cccd36356c88da22517e4ebe8fb
HALLMARK_HYPOXIA	MSigDB_h.all	generic_stress	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	200	5c03f2b832d21088e242e2df9aca773be63c1cf0310831b84749e0d022232ab5
HALLMARK_MYC_TARGETS_V1	MSigDB_h.all	metabolic_cooption	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	200	50cd9ea3002d1be2e35652dd92850be95434361a27c330ef0e523f5f792de179
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB_h.all	generic_stress	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	113	28a14fff358df21aea255d5cf4bab00bb895575d86fc20cffe9f4c411b18cd05
HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_h.all	metabolic_cooption	MSigDB	2025.1.Hs	Molecular Signatures Database	2026-09-01	42	dc952bd5bed0777a5c15a690cbae4f4e254b1179710f3f01ed8d3f1e1c23196b
PENGWINKLER_CAUSAL_AXIS_5	PengWinkler_causal_axis	pengwinkler_axis	Perturbed or measured MYC-proline-collagen axis	Nature 2026	Peng-Winkler et al., Nature 2026; DOI 10.1038/s41586-026-10686-2	2026-09-01	5	42e56868b4fa550bc1f63d17f72422ec844056ca8bc41127f4a97b89d483fe25
PENGWINKLER_PALMITATE_UP_FDR05	PengWinkler_perturbation	overlap_audit_only	GSE292820 CMT93 palmitate-versus-BSA RNA-seq	source-author q<0.05 and log2FC>0	Peng-Winkler et al., Nature 2026; DOI 10.1038/s41586-026-10686-2	2026-09-01	3102	9a28e7cac4a374836a402a8841c89a2d143ba5ab981074c7144130039dc0b41b
