pair_id	priority	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	A1CF	0.600830361462077	5246	22
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ABI2	0.7037999176135407	6320	23
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC002070.1	0.017061464779726143	319	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC002128.2	0.005553132839567449	88	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC002401.2	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC003005.2	0.0027540346596047244	41	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC003044.1	0.0010560961545269512	16	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC003956.1	0.0012361738607180367	19	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC004241.2	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC004594.1	0.09036868412271988	953	17
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC004596.1	0.03181098324941719	490	14
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC004870.2	0.008870010619026794	93	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC004921.1	0.0007216788647332759	13	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005089.1	0.045725812489181096	670	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005277.1	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005343.4	0.0003125754279147973	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005393.1	0.001998875632456753	34	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005520.3	0.0007962186774439648	14	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005544.1	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005722.3	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005837.1	0.008921888723640888	142	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC005856.1	0.054709563212716666	794	15
