pair_id	priority	expected_direction	side	program_id	source_gene_count	pair_overlap_removed_count	pair_overlap_removed_genes	nonoverlap_source_gene_count	detected_target_gene_count	target_coverage_fraction	matched_control_gene_count	represented_expression_bins
actin_tight_junction	secondary	positive_or_context_dependent	a	ACTIN_TURNOVER_UNION	60	0		60	57	0.95	950	1;3;5;6;8;10;11;12;13;14;15;16;17;19;20;21;22;23;24
actin_tight_junction	secondary	positive_or_context_dependent	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
e2f_g2m	technical_positive_control	positive	a	HALLMARK_E2F_TARGETS	200	73	AURKA;AURKB;BARD1;BIRC5;BRCA2;CCNB2;CDC20;CDC25A;CDC25B;CDK1;CDK4;CDKN1B;CDKN2C;CDKN3;CENPE;CHEK1;CKS1B;CKS2;CTCF;DDX39A;ESPL1;EZH2;GSPT1;H2AX;H2AZ1;HMGA1;HMGB3;HMMR;HNRNPD;HUS1;ILF3;JPT1;KIF22;KIF2C;KIF4A;KPNA2;LBR;LMNB1;MAD2L1;MCM2;MCM3;MCM5;MCM6;MKI67;MYBL2;MYC;NASP;NOLC1;ORC6;PDS5B;PLK1;PLK4;POLA2;POLE;PRIM2;PTTG1;RACGAP1;RAD21;RPA2;SMC1A;SMC4;SRSF1;SRSF2;STAG1;STMN1;SUV39H1;SYNCRIP;TACC3;TMPO;TOP2A;TRA2B;UBE2S;XPO1	127	127	1.0	600	13;14;15;16;17;18;19;20;21;22;23;24
e2f_g2m	technical_positive_control	positive	b	HALLMARK_G2M_CHECKPOINT	200	73	AURKA;AURKB;BARD1;BIRC5;BRCA2;CCNB2;CDC20;CDC25A;CDC25B;CDK1;CDK4;CDKN1B;CDKN2C;CDKN3;CENPE;CHEK1;CKS1B;CKS2;CTCF;DDX39A;ESPL1;EZH2;GSPT1;H2AX;H2AZ1;HMGA1;HMGB3;HMMR;HNRNPD;HUS1;ILF3;JPT1;KIF22;KIF2C;KIF4A;KPNA2;LBR;LMNB1;MAD2L1;MCM2;MCM3;MCM5;MCM6;MKI67;MYBL2;MYC;NASP;NOLC1;ORC6;PDS5B;PLK1;PLK4;POLA2;POLE;PRIM2;PTTG1;RACGAP1;RAD21;RPA2;SMC1A;SMC4;SRSF1;SRSF2;STAG1;STMN1;SUV39H1;SYNCRIP;TACC3;TMPO;TOP2A;TRA2B;UBE2S;XPO1	127	122	0.9606299212598425	600	6;14;15;16;17;18;19;20;21;22;23;24
hrc_e2f	biological_discriminator	negative_or_weak	a	CANELLAS_CORE_HRC	100	0		100	95	0.95	550	14;15;16;17;18;19;20;21;22;23;24
hrc_e2f	biological_discriminator	negative_or_weak	b	HALLMARK_E2F_TARGETS	200	0		200	198	0.99	650	12;13;14;15;16;17;18;19;20;21;22;23;24
hrc_tight_junction	primary	positive	a	CANELLAS_CORE_HRC	100	2	CRB3;F11R	98	93	0.9489795918367347	550	14;15;16;17;18;19;20;21;22;23;24
hrc_tight_junction	primary	positive	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	2	CRB3;F11R	28	26	0.9285714285714286	800	0;2;5;8;10;11;12;13;14;15;17;19;20;21;23;24
pemt_tight_junction	key_secondary	positive	a	PUBLISHED_PEMT	71	0		71	71	1.0	1000	2;3;5;6;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
pemt_tight_junction	key_secondary	positive	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
