pair_id	regulon_id	candidate_class	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ABCA7	0.08728770248499275	1214	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ABCC6	0.1095918862233938	1415	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ABTB1	0.05618629425818072	861	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC000061.1	0.6267428018142944	4538	22
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC002377.1	0.031168585373822305	387	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC003681.1	0.0804093668317727	1216	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC004264.1	0.015909260139451063	228	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC004672.1	0.006534277622090169	105	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC004704.1	0.14997004273643805	1152	18
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005009.2	0.013564564400289183	196	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005014.4	0.016886298262847335	259	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005050.2	0.009555655428557398	148	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005062.1	0.45868984498844556	3874	22
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005154.4	0.02318860662222519	353	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005476.2	0.028956238308616496	424	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005586.1	0.014259372572738354	222	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC005837.1	0.008921888723640888	142	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC007285.2	0.02507656255677724	382	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC007566.1	0.17223608275253333	2175	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC008105.1	0.008974566928182746	138	11
