set_id	display_label	evidence_role	source_regulon_id	source_gene_count	removed_rec_or_tj_count	removed_rec_or_tj_genes	retained_gene_count	gene_sha256
FROZEN_REC_TOP50	frozen REC programme	observable_anchor		50	0		50	5f9adddd343c23a78d04100984cff2d0ccfd3cdd163725810f341e9b77fd8179
REACTOME_TIGHT_JUNCTION_INTERACTIONS	Reactome tight-junction interactions	observable_anchor		30	0		30	eb3de31487eeda4f903662473e7c204a75fdbd3e274b465942a41c0ccc709e7d
JUNB_TIGHT_JUNCTION_TARGETS_5	JUNB tight-junction targets	direct_target_anchor		5	0		5	5f9719530616ec8607f840f523d976d6b6ad40b1d16ab9475a412f3357b6723a
JUNB_REGULON_DISJOINT_REC_TJ	JUNB regulon (REC/TJ-disjoint)	candidate_regulatory_arm	JUNB	302	22	ABCG1;CEACAM1;CLDN3;CLDN4;CLDN7;COL17A1;CRB3;F11R;FXYD3;GSN;IL32;ISG15;JUP;KLF4;KRT20;LDHA;MXD1;PLAUR;RHOC;RSAD2;SDCBP2;TSPAN1	280	804565faa49d924769f78346c79baf7537a93e4438e99b864895e52e6006738e
FOSL2_REGULON_DISJOINT_REC_TJ	FOSL2 regulon (REC/TJ-disjoint)	candidate_regulatory_arm	FOSL2	166	13	APOL1;C4BPB;CDHR5;GSN;JUP;MUC13;MXD1;NDRG1;PLAUR;PTPRH;QSOX1;SLC16A3;TSPAN1	153	f6a1f141c9c2421cceadd4b9f479e61a52788cb07176c8d42f58a14ddce52d09
RELB_REGULON_DISJOINT_REC_TJ	RELB regulon (REC/TJ-disjoint)	candidate_regulatory_arm	RELB	47	3	BIRC3;DUSP5;PLAUR	44	4c897f38c85b9c6542fcbc52b6de94b387ec56861178b34d6196d68882e5f111
NFKB_COMBINED_DISJOINT_REC_TJ	combined NF-kB targets (REC/TJ-disjoint)	candidate_regulatory_arm	NFKB_COMBINED	100	6	ABCG1;BIRC3;SDCBP2;DUSP5;PLAUR;MXD1	94	ad155c7b40d33724f5fed3c8d99b7db59ed862e5827e88b6c2597fec1ed2c093
AP1_COMBINED_DISJOINT_REC_TJ	combined AP-1 targets (REC/TJ-disjoint)	candidate_regulatory_arm	AP1_COMBINED	1152	38	JUP;FXYD3;CEACAM1;CYP3A5;GSN;FHL2;CLDN18;PLAUR;TSPAN1;IL32;PTPRH;C4BPB;KRT20;QSOX1;CLDN3;APOL1;KLF4;MUC13;CLDN7;MXD1;CRB3;PNCK;GRHL1;F11R;CDHR5;SLC16A3;RSAD2;RHOC;LDHA;ISG15;NDRG1;SDCBP2;ANKRD37;KRT80;CLDN4;COL17A1;BTG1;ABCG1	1114	338d64f8d4ee4ef1156a706fad914f7481b00a99a34a6405d3f6881336ac3523
HNF4A_REGULON_DISJOINT_REC_TJ	HNF4A regulon (REC/TJ-disjoint)	lineage_comparator	HNF4A	453	5	CLDN1;CLDN15;CLDN16;CLDN4;JUP	448	8377d550beebfe57685bc47d2863c77e9770d655265d7f634b519cd2874c9756
CDX2_REGULON_DISJOINT_REC_TJ	CDX2 regulon (REC/TJ-disjoint)	lineage_comparator	CDX2	219	4	CLDN15;CLDN3;CLDN4;FXYD3	215	2e923449e645de899eef50ec6c24c8137d90da9ecba4d06c6d98b112b0e6398a
ASCL2_REGULON_DISJOINT_REC_TJ	ASCL2 regulon (REC/TJ-disjoint)	stem_wnt_comparator	ASCL2	346	1	CLDN3	345	0b5ae79cbd3e06aaeb07060e843eebb67ee086fe70dfd8c7377986a71396fa8f
TEAD1_REGULON_DISJOINT_REC_TJ	TEAD1 regulon (REC/TJ-disjoint)	mechanotransduction_comparator	TEAD1	105	0		105	afea537b5fd0455b78474671ed6323d6332f5f306aacf30d731872c7e15ad6ae
