location	path	workspace_path	bytes	sha256	upstream_sha256	adaptation	source	consumers
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/alvarez_c8_top50_source.tsv	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/alvarez_c8_top50_source.tsv	2933	70601137d38b6398bd78bb6e31841c42cbd5a768b892b0f5ffa77e2f4dde7036	70601137d38b6398bd78bb6e31841c42cbd5a768b892b0f5ffa77e2f4dde7036	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	c8_enrichment
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/frozen_gene_set_registry.tsv	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/frozen_gene_set_registry.tsv	9736	2a00ccc030c3fcafba7a74cb58262bae4f91ab2fef5504deea2bd4b68ba2dcb2	2a00ccc030c3fcafba7a74cb58262bae4f91ab2fef5504deea2bd4b68ba2dcb2	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	state_contrasts;state_enrichment;c8_enrichment;historical_rivals
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/frozen_gene_sets.gmt	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/frozen_gene_sets.gmt	46191	3232f13c2f3916c3f0f8bd882c93eb4922b9a85642daff17bf5bb83d53db4d4b	3232f13c2f3916c3f0f8bd882c93eb4922b9a85642daff17bf5bb83d53db4d4b	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	state_enrichment
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/frozen_gene_sets_long.tsv	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/frozen_gene_sets_long.tsv	262788	2c40023b4aa0411d4d4cfecd0c6af688f9ed59c2f4d040cf289ed5c92e30039a	2c40023b4aa0411d4d4cfecd0c6af688f9ed59c2f4d040cf289ed5c92e30039a	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	state_contrasts;state_enrichment;c8_enrichment;historical_rivals;bulk_context;plexin;gata6;serial_selection
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/msigdb_c2.cp.reactome_2025.1.Hs.gmt	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/msigdb_c2.cp.reactome_2025.1.Hs.gmt	694452	0056a8318733579d4f68402abc0f4dbc113e819ca270b49f24118965965b6be1	0056a8318733579d4f68402abc0f4dbc113e819ca270b49f24118965965b6be1	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	state_enrichment;regulatory_overlap;protein
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/msigdb_c5.go.bp_2025.1.Hs.gmt	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/msigdb_c5.go.bp_2025.1.Hs.gmt	4154951	ab295452e729a49d9defe3832f301841c8b180666d509922d03649c39f7bdb5c	ab295452e729a49d9defe3832f301841c8b180666d509922d03649c39f7bdb5c	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	state_enrichment
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/msigdb_h.all_2025.1.Hs.gmt	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/msigdb_h.all_2025.1.Hs.gmt	44970	fd168f123e8a4216991728881afb06bd2ab6699a82c36a80b31be3cb66818fe1	fd168f123e8a4216991728881afb06bd2ab6699a82c36a80b31be3cb66818fe1	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	state_enrichment
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_rec_coexistence_lock_provenance.json	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_rec_coexistence_lock_provenance.json	993	b85a4a2ee0045515be8480cbc454a19c7a9d40963529cb4de35b4a4154580d1f	b85a4a2ee0045515be8480cbc454a19c7a9d40963529cb4de35b4a4154580d1f	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	discovery_coexistence
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_rec_coexistence_locked_genes.tsv	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_rec_coexistence_locked_genes.tsv	839332	afe232241441683e9bfec9d382334ab6af79a75a8c6590ab9b2df369ba59b580	afe232241441683e9bfec9d382334ab6af79a75a8c6590ab9b2df369ba59b580	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	discovery_coexistence;plexin;gata6;serial_selection
bundled	data/inputs/analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_rec_coexistence_pair_registry.tsv	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/ogden_rec_coexistence_pair_registry.tsv	2575	86ffd7fa6561367a0f1bca783de3e1987b674529e582445017507d54408f476a	86ffd7fa6561367a0f1bca783de3e1987b674529e582445017507d54408f476a	none	Frozen source definitions and specifications; see definition registries and THIRD_PARTY_NOTICES.md	discovery_coexistence
