sample	patient	gsm	archive_name	expected_size_bytes	url	Hepatic lobule	Liver macrometastasis stroma	Liver macrometastasis tumor	Liver micrometastasis stroma	Liver micrometastasis tumor	Necrosis	Non-neoplastic Liver-Portal tract bile ducts	Non-neoplastic Liver-Portal tract stroma	Other	has_liver_micro_tumor	has_liver_macro_tumor	selected_for_paired_extension
IX_56688	PAT5	GSM8903657	GSM8903657_IX_56688.tar.gz	15176527	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903657/suppl/GSM8903657_IX_56688.tar.gz	2394	0	0	57	20	0	266	833	0	TRUE	FALSE	TRUE
IX_56689	PAT5	GSM8903658	GSM8903658_IX_56689.tar.gz	22970354	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903658/suppl/GSM8903658_IX_56689.tar.gz	713	1117	983	0	0	167	101	0	109	FALSE	TRUE	TRUE
IX_56690	PAT5	GSM8903659	GSM8903659_IX_56690.tar.gz	16137720	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903659/suppl/GSM8903659_IX_56690.tar.gz	1224	1037	111	0	0	456	149	204	0	FALSE	TRUE	TRUE
M-ST-05	PAT1	GSM8903660	GSM8903660_M-ST-05.tar.gz	240993117	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903660/suppl/GSM8903660_M-ST-05.tar.gz	4555	524	2115	51	48	1020	209	5	28	TRUE	TRUE	TRUE
M-ST-06	PAT3	GSM8903661	GSM8903661_M-ST-06.tar.gz	307620974	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903661/suppl/GSM8903661_M-ST-06.tar.gz	4110	546	5059	19	51	54	134	233	59	TRUE	TRUE	TRUE
M-ST-07	PAT2	GSM8903662	GSM8903662_M-ST-07.tar.gz	209159877	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903662/suppl/GSM8903662_M-ST-07.tar.gz	3000	455	2837	124	6	1281	243	0	0	TRUE	TRUE	TRUE
M-ST-08	PAT2	GSM8903663	GSM8903663_M-ST-08.tar.gz	271909698	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903663/suppl/GSM8903663_M-ST-08.tar.gz	907	986	4475	0	0	5614	79	0	43	FALSE	TRUE	TRUE
M-ST-09	PAT4	GSM8903664	GSM8903664_M-ST-09.tar.gz	198107169	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903664/suppl/GSM8903664_M-ST-09.tar.gz	7235	2352	802	50	28	0	416	403	0	TRUE	TRUE	TRUE
M-ST-10	PAT4	GSM8903665	GSM8903665_M-ST-10.tar.gz	144420022	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903665/suppl/GSM8903665_M-ST-10.tar.gz	3530	1776	1043	0	0	24	159	89	0	FALSE	TRUE	TRUE
M-ST-11	PAT6	GSM8903666	GSM8903666_M-ST-11.tar.gz	183190168	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903666/suppl/GSM8903666_M-ST-11.tar.gz	3699	1199	2412	16	17	6	223	105	596	TRUE	TRUE	TRUE
M-ST-12	PAT6	GSM8903667	GSM8903667_M-ST-12.tar.gz	96472236	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903667/suppl/GSM8903667_M-ST-12.tar.gz	152	918	1278	50	9	4	22	0	426	TRUE	TRUE	TRUE
M-ST-17	PAT5	GSM8903672	GSM8903672_M-ST-17.tar.gz	192824073	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903672/suppl/GSM8903672_M-ST-17.tar.gz	4400	966	1602	0	0	6053	205	0	0	FALSE	TRUE	TRUE
M-ST-19	PAT5	GSM8903674	GSM8903674_M-ST-19.tar.gz	151321456	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903674/suppl/GSM8903674_M-ST-19.tar.gz	540	1074	1497	0	0	9957	7	0	0	FALSE	TRUE	TRUE
M-ST-21	PAT9	GSM8903676	GSM8903676_M-ST-21.tar.gz	268608570	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903676/suppl/GSM8903676_M-ST-21.tar.gz	4818	2486	787	0	0	0	470	792	0	FALSE	TRUE	TRUE
M-ST-22	PAT9	GSM8903677	GSM8903677_M-ST-22.tar.gz	294424202	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903677/suppl/GSM8903677_M-ST-22.tar.gz	10297	1012	182	33	51	0	689	402	23	TRUE	TRUE	TRUE
M-ST-23	PAT7	GSM8903678	GSM8903678_M-ST-23.tar.gz	297469558	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903678/suppl/GSM8903678_M-ST-23.tar.gz	6657	562	1766	79	17	66	414	1014	0	TRUE	TRUE	TRUE
M-ST-24	PAT7	GSM8903679	GSM8903679_M-ST-24.tar.gz	245697468	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903679/suppl/GSM8903679_M-ST-24.tar.gz	5691	394	576	15	9	52	409	611	594	TRUE	TRUE	TRUE
M-ST-25	PAT11	GSM8903680	GSM8903680_M-ST-25.tar.gz	414368239	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903680/suppl/GSM8903680_M-ST-25.tar.gz	10453	298	870	129	38	5	655	363	414	TRUE	TRUE	TRUE
M-ST-26	PAT11	GSM8903681	GSM8903681_M-ST-26.tar.gz	356962668	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903681/suppl/GSM8903681_M-ST-26.tar.gz	10878	0	0	29	39	0	542	120	0	TRUE	FALSE	TRUE
M-ST-27	PAT8	GSM8903682	GSM8903682_M-ST-27.tar.gz	244803314	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903682/suppl/GSM8903682_M-ST-27.tar.gz	4885	3869	322	0	0	1372	340	1508	0	FALSE	TRUE	TRUE
M-ST-35	PAT10	GSM8903690	GSM8903690_M-ST-35.tar.gz	293733540	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8903nnn/GSM8903690/suppl/GSM8903690_M-ST-35.tar.gz	10075	342	1367	0	0	88	494	268	0	FALSE	TRUE	TRUE
