section	claim	source	filters	column	method	scale	transform	reported	rounding_atol
Results 1	nc3_fraction_neoplastic_equal_roi mean_difference_RHGP_minus_EHGP	result:analysis_results/hgp_interface_ecology/primary_effects.tsv	{'endpoint': 'nc3_fraction_neoplastic_equal_roi'}	mean_difference_RHGP_minus_EHGP	one	100	identity	44.37	0.0050000000010000005
Results 1	nc3_fraction_neoplastic_equal_roi mean_difference_bootstrap_CI_low	result:analysis_results/hgp_interface_ecology/primary_effects.tsv	{'endpoint': 'nc3_fraction_neoplastic_equal_roi'}	mean_difference_bootstrap_CI_low	one	100	identity	32.94	0.0050000000010000005
Results 1	nc3_fraction_neoplastic_equal_roi mean_difference_bootstrap_CI_high	result:analysis_results/hgp_interface_ecology/primary_effects.tsv	{'endpoint': 'nc3_fraction_neoplastic_equal_roi'}	mean_difference_bootstrap_CI_high	one	100	identity	55.98	0.0050000000010000005
Results 1	liver_epithelial_k10__any_target_neighbour_rate_equal_roi mean_difference_RHGP_minus_EHGP	result:analysis_results/hgp_interface_ecology/primary_effects.tsv	{'endpoint': 'liver_epithelial_k10__any_target_neighbour_rate_equal_roi'}	mean_difference_RHGP_minus_EHGP	one	100	identity	43.81	0.0050000000010000005
Results 1	liver_epithelial_k10__any_target_neighbour_rate_equal_roi mean_difference_bootstrap_CI_low	result:analysis_results/hgp_interface_ecology/primary_effects.tsv	{'endpoint': 'liver_epithelial_k10__any_target_neighbour_rate_equal_roi'}	mean_difference_bootstrap_CI_low	one	100	identity	29.84	0.0050000000010000005
Results 1	liver_epithelial_k10__any_target_neighbour_rate_equal_roi mean_difference_bootstrap_CI_high	result:analysis_results/hgp_interface_ecology/primary_effects.tsv	{'endpoint': 'liver_epithelial_k10__any_target_neighbour_rate_equal_roi'}	mean_difference_bootstrap_CI_high	one	100	identity	56.96	0.0050000000010000005
Results 1	NC3 exact allocation P	result:analysis_results/hgp_interface_ecology/primary_effects.tsv	{'endpoint': 'nc3_fraction_neoplastic_equal_roi'}	exact_mean_difference_permutation_p	one	1	identity	0.000311	5.00001e-07
Results 1	NC3 reference correlation REC	panel:Figure_1_F.tsv	{'ISS_state': 'NC3', 'Ogden_state': 'REC'}	pearson_correlation	one	1	identity	0.387	0.000500000001
Results 1	NC3 reference correlation Goblet	panel:Figure_1_F.tsv	{'ISS_state': 'NC3', 'Ogden_state': 'Goblet'}	pearson_correlation	one	1	identity	0.177	0.000500000001
Results 1	NC3 abundance rHGP	panel:Figure_1_C.tsv	{'hgp': 'rHGP'}	nc3_fraction_neoplastic_equal_roi	mean	100	identity	52.15	0.0050000000010000005
Results 1	NC3 abundance dHGP	panel:Figure_1_C.tsv	{'hgp': 'dHGP'}	nc3_fraction_neoplastic_equal_roi	mean	100	identity	7.78	0.0050000000010000005
Results 1	Liver neighbour rate rHGP	panel:Figure_1_D.tsv	{'hgp': 'rHGP'}	any_target_neighbour_rate_equal_roi	mean	100	identity	55.89	0.0050000000010000005
Results 1	Liver neighbour rate dHGP	panel:Figure_1_D.tsv	{'hgp': 'dHGP'}	any_target_neighbour_rate_equal_roi	mean	100	identity	12.09	0.0050000000010000005
Results 1	NC3 conditional residual RHGP homotypic_any_neighbour effect	panel:Figure_1_E.tsv	{'hgp': 'RHGP', 'metric': 'homotypic_any_neighbour'}	effect	one	100	identity	-0.68	0.0050000000010000005
Results 1	NC3 conditional residual RHGP homotypic_any_neighbour bootstrap_ci_lower	panel:Figure_1_E.tsv	{'hgp': 'RHGP', 'metric': 'homotypic_any_neighbour'}	bootstrap_ci_lower	one	100	identity	-2.23	0.0050000000010000005
Results 1	NC3 conditional residual RHGP homotypic_any_neighbour bootstrap_ci_upper	panel:Figure_1_E.tsv	{'hgp': 'RHGP', 'metric': 'homotypic_any_neighbour'}	bootstrap_ci_upper	one	100	identity	0.54	0.0050000000010000005
Results 1	NC3 conditional residual EHGP homotypic_any_neighbour effect	panel:Figure_1_E.tsv	{'hgp': 'EHGP', 'metric': 'homotypic_any_neighbour'}	effect	one	100	identity	8.76	0.0050000000010000005
Results 1	NC3 conditional residual EHGP homotypic_any_neighbour bootstrap_ci_lower	panel:Figure_1_E.tsv	{'hgp': 'EHGP', 'metric': 'homotypic_any_neighbour'}	bootstrap_ci_lower	one	100	identity	6.29	0.0050000000010000005
Results 1	NC3 conditional residual EHGP homotypic_any_neighbour bootstrap_ci_upper	panel:Figure_1_E.tsv	{'hgp': 'EHGP', 'metric': 'homotypic_any_neighbour'}	bootstrap_ci_upper	one	100	identity	11.09	0.0050000000010000005
Results 1	NC3 conditional residual RHGP dhc_dual_interface effect	panel:Figure_1_E.tsv	{'hgp': 'RHGP', 'metric': 'dhc_dual_interface'}	effect	one	100	identity	1.54	0.0050000000010000005
Results 1	NC3 conditional residual RHGP dhc_dual_interface bootstrap_ci_lower	panel:Figure_1_E.tsv	{'hgp': 'RHGP', 'metric': 'dhc_dual_interface'}	bootstrap_ci_lower	one	100	identity	-0.001	0.000500000001
Results 1	NC3 conditional residual RHGP dhc_dual_interface bootstrap_ci_upper	panel:Figure_1_E.tsv	{'hgp': 'RHGP', 'metric': 'dhc_dual_interface'}	bootstrap_ci_upper	one	100	identity	3.42	0.0050000000010000005
Results 2	Independent component meta-analysis estimate	panel:Figure_2_C.tsv	{'study': 'Random effects'}	estimate	one	1	identity	0.088	0.000500000001
Results 2	Independent component meta-analysis low	panel:Figure_2_C.tsv	{'study': 'Random effects'}	low	one	1	identity	0.024	0.000500000001
Results 2	Independent component meta-analysis high	panel:Figure_2_C.tsv	{'study': 'Random effects'}	high	one	1	identity	0.152	0.000500000001
Results 2	Independent component meta-analysis p	panel:Figure_2_C.tsv	{'study': 'Random effects'}	p	one	1	identity	0.019	0.000500000001
Results 2	Independent component meta-analysis I2	panel:Figure_2_C.tsv	{'study': 'Random effects'}	I2	one	1	identity	34.7	0.050000000001
Results 2	Independent component meta-analysis tau2	panel:Figure_2_C.tsv	{'study': 'Random effects'}	tau2	one	1	identity	0.00105	5.000001000000001e-06
Results 2	Harmonized discovery common estimate	result:analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	{'study': 'Ogden_2025', 'scoring': 'fixed_background', 'model': 'common', 'endpoint': 'Claudin_minus_Polarity'}	estimate	one	1	identity	0.112	0.000500000001
Results 2	Harmonized discovery common low	result:analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	{'study': 'Ogden_2025', 'scoring': 'fixed_background', 'model': 'common', 'endpoint': 'Claudin_minus_Polarity'}	low	one	1	identity	0.082	0.000500000001
Results 2	Harmonized discovery common high	result:analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	{'study': 'Ogden_2025', 'scoring': 'fixed_background', 'model': 'common', 'endpoint': 'Claudin_minus_Polarity'}	high	one	1	identity	0.142	0.000500000001
Results 2	Harmonized discovery common p_signflip	result:analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	{'study': 'Ogden_2025', 'scoring': 'fixed_background', 'model': 'common', 'endpoint': 'Claudin_minus_Polarity'}	p_signflip	one	1	identity	0.000244	5.00001e-07
Results 2	Harmonized discovery state_enhanced estimate	result:analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	{'study': 'Ogden_2025', 'scoring': 'fixed_background', 'model': 'state_enhanced', 'endpoint': 'Claudin_minus_Polarity'}	estimate	one	1	identity	0.093	0.000500000001
Results 2	Harmonized discovery state_enhanced low	result:analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	{'study': 'Ogden_2025', 'scoring': 'fixed_background', 'model': 'state_enhanced', 'endpoint': 'Claudin_minus_Polarity'}	low	one	1	identity	0.061	0.000500000001
Results 2	Harmonized discovery state_enhanced high	result:analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	{'study': 'Ogden_2025', 'scoring': 'fixed_background', 'model': 'state_enhanced', 'endpoint': 'Claudin_minus_Polarity'}	high	one	1	identity	0.125	0.000500000001
