table	order	sheet	reference	n_rows	kind	source	assembly
1	0	Table_1	reference/workbooks/01/Table_1.json	14	summary	analysis_results/rec_public_upgrade_2026-09-07/specificity/program_coverage.tsv;analysis_results/rec_junction_context_2026-09-16/definitions.tsv;analysis_results/rec_junction_context_2026-09-16/cells/gene_control_lock.tsv;analysis_results/rec_junction_context_2026-09-16/contexts/gene_coverage.tsv	summary_sources.py
1	1	Fixed_programmes	reference/workbooks/01/Fixed_programmes.json	1481	data	analysis_results/rec_junction_context_2026-09-16/definitions.tsv	workbook_sources.py
1	2	Figure_panel_index	reference/workbooks/01/Figure_panel_index.json	52	provenance	manuscript/rec_text_polish_2026-09-21/panel_manifest.tsv	workbook_sources.py
1	3	Added_source_index	reference/workbooks/01/Added_source_index.json	2	provenance		workbook_sources.py
2	0	Table_2	reference/workbooks/02/Table_2.json	61	summary	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/iss_cohesive_dual_interface/iss_cohesive_dual_interface_group_summary.tsv;analysis_results/rec_evidence_bridge_2026-09-16/integration/component_difference_summary.tsv;analysis_results/rec_evidence_bridge_2026-09-16/spatial/correlation_summary.tsv;analysis_results/rec_hgp_focused_revision_2026-09-07/epithelial/correlation_summary.tsv;analysis_results/rec_junction_context_2026-09-16/spatial/context_summary.tsv;analysis_results/rec_junction_context_2026-09-16/spatial/prediction_summary.tsv;analysis_results/rec_program_reader_facing_specificity/state_mapping_gene_bootstrap_summary.tsv;analysis_results/rec_program_reader_facing_specificity/state_mapping_metric_and_marker_sensitivity.tsv;analysis_results/rec_public_upgrade_2026-09-07/mapk/program_intervention_effects.tsv	summary_sources.py
2	1	NC3_patient_abundance	reference/workbooks/02/NC3_patient_abundance.json	15	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Figure_1/figure1c.tsv	workbook_sources.py
2	2	Liver_contact_patients	reference/workbooks/02/Liver_contact_patients.json	15	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Figure_1/figure1d.tsv	workbook_sources.py
2	3	Reference_matrix	reference/workbooks/02/Reference_matrix.json	40	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Figure_2/figure2a.tsv	workbook_sources.py
2	4	Mapping_omissions	reference/workbooks/02/Mapping_omissions.json	32	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Figure_2/leave_one_patient_out_mapping.tsv	workbook_sources.py
2	5	All_neighbour_scales	reference/workbooks/02/All_neighbour_scales.json	192	data	analysis_results/deep_biology_upgrade_2026-08-31/phase2_mechanistic_specificity/iss_cohesive_dual_interface/iss_cohesive_dual_interface_group_summary.tsv	workbook_sources.py
2	6	REC50_epithelial_patients	reference/workbooks/02/REC50_epithelial_patients.json	5	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/supplementary_figure_3/figure4a.tsv	workbook_sources.py
2	7	REC50_spatial_patients	reference/workbooks/02/REC50_spatial_patients.json	12	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/supplementary_figure_3/figure4b.tsv	workbook_sources.py
2	8	Spatial_patient_correlations	reference/workbooks/02/Spatial_patient_correlations.json	768	data	analysis_results/rec_evidence_bridge_2026-09-16/spatial/patient_correlations.tsv	workbook_sources.py
2	9	Neighbour_patient_correlations	reference/workbooks/02/Neighbour_patient_correlations.json	44	data	analysis_results/rec_junction_context_2026-09-16/spatial/patient_partial_correlations.tsv	workbook_sources.py
2	10	Neighbour_context_summary	reference/workbooks/02/Neighbour_context_summary.json	4	data	analysis_results/rec_junction_context_2026-09-16/spatial/context_summary.tsv	workbook_sources.py
2	11	Held_out_patient_prediction	reference/workbooks/02/Held_out_patient_prediction.json	22	data	analysis_results/rec_junction_context_2026-09-16/spatial/held_out_patient_prediction.tsv	workbook_sources.py
2	12	Prediction_summary	reference/workbooks/02/Prediction_summary.json	2	data	analysis_results/rec_junction_context_2026-09-16/spatial/prediction_summary.tsv	workbook_sources.py
2	13	Added_source_index	reference/workbooks/02/Added_source_index.json	12	provenance		workbook_sources.py
