gene	compartment	mean_detection	n_patients
CLDN1	B	0.0	1
CLDN1	Endothelial	0.0345675838954281	8
CLDN1	Epithelial	0.298247088681048	15
CLDN1	Hepatocyte	0.6884102654451492	6
CLDN1	Myeloid	0.0363939617889117	14
CLDN1	Plasma	0.0	1
CLDN1	Stromal	0.0584730124987477	10
CLDN1	T-NK-ILC	0.0194445696179456	11
CLDN10	B	0.0	1
CLDN10	Endothelial	0.029284035412756	8
CLDN10	Epithelial	0.0286827127192987	15
CLDN10	Hepatocyte	0.1444612235309909	6
CLDN10	Myeloid	0.0046784500214615	14
CLDN10	Plasma	0.0	1
CLDN10	Stromal	0.0080300200888436	10
CLDN10	T-NK-ILC	0.0066687488677575	11
CLDN11	B	0.0	1
CLDN11	Endothelial	0.0290469213868509	8
CLDN11	Epithelial	0.0181443773606682	15
CLDN11	Hepatocyte	0.0054834054834054	6
CLDN11	Myeloid	0.004071110434816	14
CLDN11	Plasma	0.0	1
CLDN11	Stromal	0.0908664903444314	10
CLDN11	T-NK-ILC	0.0030342710974234	11
CLDN12	B	0.0344827586206896	1
CLDN12	Endothelial	0.0512824940404716	8
CLDN12	Epithelial	0.2593746978247996	15
CLDN12	Hepatocyte	0.1759102654451491	6
CLDN12	Myeloid	0.0491429130413159	14
CLDN12	Plasma	0.0	1
CLDN12	Stromal	0.132325433292345	10
CLDN12	T-NK-ILC	0.0180412026177705	11
CLDN14	B	0.0	1
CLDN14	Endothelial	0.0635182155576587	8
CLDN14	Epithelial	0.0062040047502872	15
CLDN14	Hepatocyte	0.1210111916507264	6
CLDN14	Myeloid	0.0288293094299969	14
CLDN14	Plasma	0.0	1
CLDN14	Stromal	0.0058420337832102	10
CLDN14	T-NK-ILC	0.0	11
CLDN15	B	0.0344827586206896	1
CLDN15	Endothelial	0.0458638425510576	8
CLDN15	Epithelial	0.1217936779227411	15
CLDN15	Hepatocyte	0.0686424041075203	6
CLDN15	Myeloid	0.0264032970801941	14
CLDN15	Plasma	0.0	1
CLDN15	Stromal	0.0318580623212975	10
CLDN15	T-NK-ILC	0.0200114443272036	11
CLDN16	B	0.0	1
CLDN16	Endothelial	0.0034722222222222	8
CLDN16	Epithelial	0.047799463481769	15
CLDN16	Hepatocyte	0.0451474881707439	6
CLDN16	Myeloid	0.0038754460503893	14
CLDN16	Plasma	0.0	1
CLDN16	Stromal	0.0082457415398591	10
CLDN16	T-NK-ILC	0.0015433354025301	11
CLDN17	B	0.0	1
CLDN17	Endothelial	0.0	8
CLDN17	Epithelial	0.0	15
CLDN17	Hepatocyte	0.0	6
CLDN17	Myeloid	0.0	14
CLDN17	Plasma	0.0	1
CLDN17	Stromal	0.0	10
CLDN17	T-NK-ILC	0.0	11
CLDN18	B	0.0	1
CLDN18	Endothelial	0.0021929824561403	8
CLDN18	Epithelial	0.0341014689276371	15
CLDN18	Hepatocyte	0.0162614517265679	6
CLDN18	Myeloid	0.0096776260196432	14
CLDN18	Plasma	0.0	1
CLDN18	Stromal	0.0412616429454664	10
CLDN18	T-NK-ILC	0.0048319327731092	11
CLDN19	B	0.0	1
CLDN19	Endothelial	0.0021929824561403	8
CLDN19	Epithelial	0.0006644566444408	15
CLDN19	Hepatocyte	0.0	6
CLDN19	Myeloid	0.0	14
CLDN19	Plasma	0.0	1
CLDN19	Stromal	0.0	10
CLDN19	T-NK-ILC	0.0	11
CLDN2	B	0.0	1
CLDN2	Endothelial	0.0197048926576485	8
CLDN2	Epithelial	0.1068267667212689	15
CLDN2	Hepatocyte	0.1106513641397362	6
CLDN2	Myeloid	0.0082947463947695	14
CLDN2	Plasma	0.0	1
CLDN2	Stromal	0.0281977066352066	10
CLDN2	T-NK-ILC	0.0066808257844746	11
CLDN20	B	0.0	1
CLDN20	Endothelial	0.0095595970544167	8
CLDN20	Epithelial	0.0382031122352154	15
CLDN20	Hepatocyte	0.0281783784690761	6
CLDN20	Myeloid	0.013838237448747	14
CLDN20	Plasma	0.0	1
CLDN20	Stromal	0.0210567101192101	10
CLDN20	T-NK-ILC	0.0046160228888063	11
CLDN22	B	0.0	1
CLDN22	Endothelial	0.0	8
CLDN22	Epithelial	0.0001474926253687	15
CLDN22	Hepatocyte	0.0007575757575757	6
CLDN22	Myeloid	0.0	14
CLDN22	Plasma	0.0	1
CLDN22	Stromal	0.0	10
CLDN22	T-NK-ILC	0.0	11
CLDN23	B	0.0	1
CLDN23	Endothelial	0.0164324595916341	8
CLDN23	Epithelial	0.0224075698180791	15
CLDN23	Hepatocyte	0.0127705627705627	6
CLDN23	Myeloid	0.0270256070157611	14
CLDN23	Plasma	0.0	1
CLDN23	Stromal	0.003125	10
CLDN23	T-NK-ILC	0.0023641071082435	11
CLDN3	B	0.0689655172413793	1
CLDN3	Endothelial	0.1788549676036268	8
CLDN3	Epithelial	0.569599777691955	15
CLDN3	Hepatocyte	0.2117118024094767	6
CLDN3	Myeloid	0.1327665113223771	14
CLDN3	Plasma	0.0714285714285714	1
CLDN3	Stromal	0.1375728251169427	10
CLDN3	T-NK-ILC	0.084504329301494	11
CLDN4	B	0.0344827586206896	1
CLDN4	Endothelial	0.1248691411861799	8
CLDN4	Epithelial	0.6197116511144859	15
CLDN4	Hepatocyte	0.1681264471962146	6
CLDN4	Myeloid	0.1213159601926197	14
CLDN4	Plasma	0.0357142857142857	1
CLDN4	Stromal	0.1219630455990749	10
CLDN4	T-NK-ILC	0.0779342612991008	11
CLDN5	B	0.0	1
CLDN5	Endothelial	0.4660364921415664	8
CLDN5	Epithelial	0.0015924765195172	15
CLDN5	Hepatocyte	0.0022727272727272	6
CLDN5	Myeloid	0.0009271917389122	14
CLDN5	Plasma	0.0	1
CLDN5	Stromal	0.003125	10
CLDN5	T-NK-ILC	0.0009775171065493	11
CLDN6	B	0.0	1
CLDN6	Endothelial	0.0016025641025641	8
CLDN6	Epithelial	0.0027393942539827	15
CLDN6	Hepatocyte	0.0007575757575757	6
CLDN6	Myeloid	0.0	14
CLDN6	Plasma	0.0	1
CLDN6	Stromal	0.0033333333333333	10
CLDN6	T-NK-ILC	0.0	11
CLDN7	B	0.0344827586206896	1
CLDN7	Endothelial	0.1523656194708216	8
CLDN7	Epithelial	0.4993644027315783	15
CLDN7	Hepatocyte	0.1693030806402899	6
CLDN7	Myeloid	0.1126943706604115	14
CLDN7	Plasma	0.0357142857142857	1
CLDN7	Stromal	0.0967813091452796	10
CLDN7	T-NK-ILC	0.0771353827058908	11
CLDN8	B	0.0	1
CLDN8	Endothelial	0.0	8
CLDN8	Epithelial	0.0005465112123909	15
CLDN8	Hepatocyte	0.0	6
CLDN8	Myeloid	0.0001597954618088	14
CLDN8	Plasma	0.0	1
CLDN8	Stromal	0.0	10
CLDN8	T-NK-ILC	0.0	11
CLDN9	B	0.0	1
CLDN9	Endothelial	0.0	8
