gene	scoring	model	k	n_patients	estimate	se	low	high	p	tau2	I2	Q	Q_p	df	q_member_family	display_rho	display_rho_low	display_rho_high
CLDN1	fixed_background	common	5	28.0	0.0632417382695243	0.0078297276621469	0.0415029292269246	0.084980547312124	0.0012764309741387	0.0	0.0	1.92087999798672	0.750308321449299	4.0	0.019146464612081	0.06315756078922459	0.04147911613039765	0.08477656870044117
CLDN2	fixed_background	common	5	23.0	-0.0432851978801859	0.0301507841384509	-0.126997194919263	0.0404267991588913	0.224445405170006	0.0029666562052802	81.3499833591265	16.1869213251853	0.0027783303759338	4.0	0.306061916140917	-0.0432581849551891	-0.12631882189030696	0.04040479002261826
CLDN3	fixed_background	common	5	28.0	0.147176487070824	0.0392134731968131	0.0383024313557272	0.256050542785921	0.0198915720085588	0.0051240522647677	71.4910083482032	13.0909700232349	0.0108397468242146	4.0	0.0707921688765232	0.14612295502913858	0.0382837114786208	0.25059777733518407
CLDN4	fixed_background	common	5	28.0	0.212265817684778	0.0558382715989825	0.0572339218210777	0.367297713548477	0.0190800177226795	0.0111155541908691	80.446157236185	15.8270754536528	0.0032602007267495	4.0	0.0707921688765232	0.2091342405464261	0.05717150946274133	0.3516257924493853
CLDN5	fixed_background	common	3	13.0	-0.0155903427406202	0.0054940609990683	-0.0392293792956718	0.0080486938144314	0.104990401301296	0.0	0.0	0.71217159042253	0.700412525616766	2.0	0.18859348364411	-0.01558907974014945	-0.03920926773389839	0.008048520016856967
CLDN6	fixed_background	common	4	17.0	0.0120550052173102	0.0013632869299353	0.0077164177640958	0.0163935926705246	0.0030485128831638	0.0	0.0	0.0960986037534471	0.992301460877061	3.0	0.0228638466237289	0.012054421294139544	0.007716264614590542	0.016392124236356474
CLDN7	fixed_background	common	5	28.0	0.157911598057275	0.0429318473120807	0.0387136807305498	0.277109515384001	0.0212376506629569	0.0074509504672618	84.8873193073263	32.389135646335	1.59286812667711e-06	4.0	0.0707921688765232	0.15661199429029915	0.038694351620524044	0.27022776661501874
CLDN8	fixed_background	common	2	6.0	-0.0209337088812807	0.0118357630040172	-0.171321336819166	0.129453919056604	0.327594381293562	0.0	0.0	0.579924052897132	0.446342091309638	1.0	0.421818296223647	-0.020930651559387326	-0.16966463358514552	0.12873559058548759
CLDN9	fixed_background	common	4	22.0	0.0452145762265345	0.0203917407483103	-0.0196810437762291	0.110110196229298	0.113327949399414	0.0009811583822063	65.0223314507598	7.77746804040384	0.0508417698435025	3.0	0.188879915665689	0.045183789809586324	-0.019678503061857557	0.10966734243710484
CLDN10	fixed_background	common	4	22.0	-0.0455617939917619	0.0058859004324926	-0.0642933560764158	-0.026830231907108	0.00448344033401	0.0	0.0	1.2253913951739	0.746921068909374	3.0	0.0269006420040603	-0.045530293253668946	-0.06420491387273984	-0.026823795744757586
