study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive	rho
Che_2021_Cell_Discov	fixed_background	common	CLDN1	5	0.0860205469324727	0.0009442903066526	0.0409274941243225	0.1445827072933985	0.0625	5.0	0.08580900237482889
Che_2021_Cell_Discov	fixed_background	common	CLDN10	2	-0.0431555366197246	0.0001103504377645	-0.0536603182816408	-0.0326507549578085	0.5	0.0	-0.04312876560085166
Che_2021_Cell_Discov	fixed_background	common	CLDN11	1	-0.0228011060115666	NA	NA	NA	NA	0.0	-0.022797155474126272
Che_2021_Cell_Discov	fixed_background	common	CLDN12	5	0.0958196974225043	0.0014819292265134	0.0262479477686745	0.1561552110857231	0.125	4.0	0.09552751697715167
Che_2021_Cell_Discov	fixed_background	common	CLDN14	1	0.019708391458681	NA	NA	NA	NA	1.0	0.019705840139379083
Che_2021_Cell_Discov	fixed_background	common	CLDN15	5	0.0346683778437081	0.0037889295860528	-0.0734761151955852	0.1458311989902933	0.625	3.0	0.03465449525141251
Che_2021_Cell_Discov	fixed_background	common	CLDN16	3	0.0045331338983471	0.00016931134343	-0.0116378673639631	0.0302767224475364	1.0	1.0	0.004533102847688412
Che_2021_Cell_Discov	fixed_background	common	CLDN17	0	NA	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN18	0	NA	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN19	0	NA	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN2	2	-0.0701363363006495	0.0060611605731283	-0.147989792056501	0.0077171194552019	1.0	1.0	-0.07002155945195705
Che_2021_Cell_Discov	fixed_background	common	CLDN20	0	NA	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN22	0	NA	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN23	3	0.1063795207280455	0.0003993111732714	0.0664594447703944	0.1279900651339769	0.25	3.0	0.10598004400408512
Che_2021_Cell_Discov	fixed_background	common	CLDN3	5	0.2612274856222579	0.0030496194484593	0.1606104901859009	0.3560237565719715	0.0625	5.0	0.2554432825560875
Che_2021_Cell_Discov	fixed_background	common	CLDN4	5	0.4466068770846217	0.0048969924944617	0.3245286738495712	0.5638111451414693	0.0625	5.0	0.41910586622891693
Che_2021_Cell_Discov	fixed_background	common	CLDN5	0	NA	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN6	4	0.006756007637955	0.0007370566878327	-0.0331605360594214	0.054421983717596	0.875	2.0	0.006755904850239946
Che_2021_Cell_Discov	fixed_background	common	CLDN7	5	0.2254436277622172	0.0090612358366347	0.0715959096602535	0.405750722074608	0.0625	5.0	0.22170033235965936
Che_2021_Cell_Discov	fixed_background	common	CLDN8	0	NA	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	fixed_background	common	CLDN9	3	0.0909988811306841	0.0010196828763018	0.0429558545678061	0.1514614334740731	0.25	3.0	0.0907485292750014
Che_2021_Cell_Discov	fixed_background	common	CRB3	5	0.0644612007705497	0.0011025574439507	0.0190957535346061	0.1305986123937899	0.0625	5.0	0.06437206486269978
Che_2021_Cell_Discov	fixed_background	common	F11R	5	0.1717432661018408	0.0141833962437398	0.0195736614051808	0.4150826461488447	0.125	4.0	0.17007438781722867
Che_2021_Cell_Discov	fixed_background	common	PALS1	5	0.111678566804982	0.0012211907260182	0.0448568821807684	0.1683190215650573	0.125	4.0	0.111216582597863
Che_2021_Cell_Discov	fixed_background	common	PARD3	5	0.1043805568822644	0.0022096761522094	0.0229988901445945	0.1857622236199343	0.25	3.0	0.10400311588031629
Che_2021_Cell_Discov	fixed_background	common	PARD6A	4	-0.0611981066707207	0.0008867264290781	-0.1184061094308972	-0.0249187627392009	0.125	0.0	-0.06112182106600549
Che_2021_Cell_Discov	fixed_background	common	PARD6B	5	0.2281656496377564	0.0008101517487429	0.17819413942751	0.2781371598480029	0.0625	5.0	0.22428699666526522
Che_2021_Cell_Discov	fixed_background	common	PARD6G	1	-0.0033040009784291	NA	NA	NA	NA	0.0	-0.003303988955858095
Che_2021_Cell_Discov	fixed_background	common	PATJ	5	0.1223902244978605	0.0013373248196766	0.0586474775747876	0.1843631451385268	0.0625	5.0	0.12178275467829566
Che_2021_Cell_Discov	fixed_background	common	PRKCI	5	0.1494549698450776	0.0010387333101004	0.0952650444106601	0.2061639392811602	0.0625	5.0	0.14835204181952608
Giguelay_2022_Theranostics	fixed_background	common	CLDN1	4	0.0707935726487789	0.0009611791714279	0.0093047448510998	0.1081171965545719	0.25	3.0	0.070675543166961
Giguelay_2022_Theranostics	fixed_background	common	CLDN10	4	-0.043834656738862	0.0010146023228266	-0.1015945531206357	0.0014604176895297	0.375	1.0	-0.04380660253737167
Giguelay_2022_Theranostics	fixed_background	common	CLDN11	3	-0.0203514235394163	0.001698058593132	-0.0880559268454134	0.0541978913179753	0.75	1.0	-0.020348614284311513
