patient	region	library_size	id	macro	Epithelial	Liver	Endothelial	dataset	normalization	norm_factor	Claudin_score	HRC_score	Junction_score	Polarity_score	sample	n_spots
PAT5	micro_tumour	76105	PAT5|micro_tumour	0	0.680282494141394	-0.0822703032818473	-1.25412801941789	all_pairs	TMM	1.0478455588408	-0.912357482000507	-0.621091514612189	-1.12039916347703	-1.32033888439133	NA	NA
PAT5	macro_tumour	111881652	PAT5|macro_tumour	1	0.562899041494704	0.167450070862302	-0.406176750969173	all_pairs	TMM	1.00838765047887	0.478932998295557	0.55796523187249	0.397393159606917	0.152235910861843	NA	NA
PAT1	micro_tumour	941339	PAT1|micro_tumour	0	-0.44210437727109	0.969272205193856	-0.0668470848660078	all_pairs	TMM	1.05303740911045	0.1205907018251	-0.158851383503884	0.0871582958759694	0.213241421339192	NA	NA
PAT1	macro_tumour	128129420	PAT1|macro_tumour	1	0.651756302328475	-0.125432734482207	-0.328863122050887	all_pairs	TMM	0.934706045633342	0.10492329389682	0.337998435552248	0.0930987241436066	0.108515163613675	NA	NA
PAT3	micro_tumour	3604416	PAT3|micro_tumour	0	-1.06309438644947	0.697148306566647	-0.217872829814678	all_pairs	TMM	1.03115453496053	0.155497534442786	-0.133035909221398	0.330465779610481	0.688326629615492	NA	NA
PAT3	macro_tumour	257400948	PAT3|macro_tumour	1	-0.668676497951903	-0.0913560937372703	-0.498094741141479	all_pairs	TMM	1.05488386570361	-0.003298321707887	0.0439789975001457	0.235774788019163	0.679992777547153	NA	NA
PAT2	micro_tumour	41250	PAT2|micro_tumour	0	-3.18518648639548	-1.78707450814965	-3.63317997184251	all_pairs	TMM	1.34992678606903	-1.94344104780546	-1.55416610836914	-1.43629207169825	-0.521644298096419	NA	NA
PAT2	macro_tumour	353104577	PAT2|macro_tumour	1	0.725974148964009	-1.51001827684196	-0.475576402396917	all_pairs	TMM	0.961536564219646	-0.294561570929529	0.526425499144294	0.0181649413599425	0.574002776484496	NA	NA
PAT4	micro_tumour	1275215	PAT4|micro_tumour	0	0.487876227500613	0.919976769169299	0.53859269381262	all_pairs	TMM	0.899909608720227	0.588682838662922	-0.170116159425779	0.35765665833991	-0.140305455551256	NA	NA
PAT4	macro_tumour	52501190	PAT4|macro_tumour	1	1.10007928463825	-0.108029251325436	0.696657317148264	all_pairs	TMM	0.867419387814701	0.619172304863505	0.50843493408027	0.487121278213034	0.0619963252707306	NA	NA
PAT6	micro_tumour	357213	PAT6|micro_tumour	0	-0.737471560236098	0.736803879635701	0.786310306941862	all_pairs	TMM	0.968936791578732	0.105998400907413	0.0445168532951599	0.0537191233811649	0.0744042678218645	NA	NA
PAT6	macro_tumour	133925934	PAT6|macro_tumour	1	-0.0925901877487138	-1.81749389350577	-0.107904291324385	all_pairs	TMM	0.925861077585996	0.184711718138629	0.252863515563035	0.246695288069875	0.348983159815087	NA	NA
PAT9	macro_tumour	781164714	PAT9|macro_tumour	1	-0.194552870580441	-0.937579328877019	0.183913489922029	all_pairs	TMM	1.05564563607569	0.0852865488389823	0.224016364824275	0.165600090924635	0.293555074651566	NA	NA
PAT9	micro_tumour	1927674	PAT9|micro_tumour	0	-1.33166247064795	1.81544725031054	1.14943293511591	all_pairs	TMM	1.00375161900662	0.236319845132366	-0.661967087673995	-0.0337961692957131	-0.430127326716241	NA	NA
PAT7	micro_tumour	581833	PAT7|micro_tumour	0	-0.274966096782253	1.21858033662169	1.00365633892719	all_pairs	TMM	1.0496570814887	0.0094185063156069	-0.10942924944388	-0.18135185260908	-0.521073203626654	NA	NA
PAT7	macro_tumour	124495084	PAT7|macro_tumour	1	1.16000528593863	-0.602004290655842	-0.0852325610963413	all_pairs	TMM	1.01494241116432	0.36139100562713	0.418890375598058	0.257475350646515	-0.0110853138861384	NA	NA
PAT11	micro_tumour	5283855	PAT11|micro_tumour	0	0.154694701883813	1.20791689954132	0.74581283397174	all_pairs	TMM	0.990143615803891	0.0320121463230987	0.169223499677242	0.0213054384895746	-0.0914913827931851	NA	NA
PAT11	macro_tumour	99156505	PAT11|macro_tumour	1	1.03990522142864	0.404627076414201	0.675476931240236	all_pairs	TMM	0.975692924558243	0.402927863883732	0.518404586867761	0.309442110089054	0.109019919795299	NA	NA
PAT8	macro_tumour	455741031	PAT8|macro_tumour	1	0.77875951801795	-0.598951064186492	0.327532321355876	all_pairs	TMM	0.943848562307554	0.149541343443495	0.676828489739875	0.144920262100385	0.0432568313318127	NA	NA
PAT10	macro_tumour	709112556	PAT10|macro_tumour	1	0.427009003337187	-1.04880319765702	0.252039126726185	all_pairs	TMM	0.915667537739738	-0.0318639777192256	-0.218412501058477	-0.0443674120891656	-0.0904150329725038	NA	NA
PAT10	micro_tumour	3484188	PAT10|micro_tumour	0	0.425784328002216	0.0982963295594345	0.0298511709268117	all_pairs	TMM	0.970685092797949	-0.180181451161534	-0.550953803752708	-0.155700611015298	-0.102169935690167	NA	NA
PAT8	micro_tumour	721603	PAT8|micro_tumour	0	-0.204720623612486	0.473493818825513	0.684600308831551	all_pairs	TMM	1.06296640933057	-0.269703199273002	-0.1015230666534	-0.234084008685689	-0.11887942442432	NA	NA
