comparator_state	analysis_mode	n_ranked_genes	permutations	term	es	nes	nominal_p	fdr_q	fwer_p	tag_fraction	rank_fraction	leading_edge_genes	direction	program_label	evidence_class	comparator_order	program_order
Hypoxia	targeted_predeclared	12496	2000	CANELLAS_CORE_HRC	0.8638065898118961	3.3465072082342706	0.0	0.0	0.0	84/95	9.88%	TSPAN1;SDCBP2;MUC13;COL17A1;CEACAM1;PLAUR;MXD1;JUP;TM4SF1;LRP10;KLK10;KRT80;F11R;TMBIM1;SLC2A1;TINAGL1;LAMB3;DDR1;ITGB4;PDZK1IP1;CXCL16;CD59;CD55;CYP3A5;DUSP5;AHNAK;SERINC2;SLC44A4;DSG2;TSPAN3;ARFGAP3;CAMK2N1;PLEC;GPRC5A;TIMP2;PRSS22;PCDH1;LIPH;C19ORF33;EMP1;EPS8L1;CEACAM5;EFNB1;PINK1;CDCP1;MISP;FA2H;EZR;GJB3;PTPRH;LAMA3;RIOK3;TMPRSS2;SPINT1;SEMA3B;TNFRSF21;ITGB1;CGN;CRB3;RRAS;TMPRSS4;STK24;CLIC3;B4GALT1;RHOF;HEBP2;GBP3;MYH14;CDKN2B;SLC6A8;MYOF;AHNAK2;UGCG;ANXA11;LMO7;CD68;PTK6;LAMC2;ADAM9;CYSTM1;SLPI;SNX9;CDA;RNF103	REC_up	Core HRC	targeted	0	0
UPR	targeted_predeclared	10358	2000	CANELLAS_CORE_HRC	0.8760480860709854	3.505739956607707	0.0	0.0	0.0	89/95	10.52%	TSPAN1;PLEC;CEACAM1;SDCBP2;TM4SF1;AHNAK;SERINC2;SLC2A1;CAMK2N1;MUC13;CYP3A5;MYOF;KRT80;SLC6A8;LAMB3;COL17A1;JUP;C19ORF33;LRP10;SPINT1;TMBIM1;RRAS;CD55;ARFGAP3;SLC44A4;ITGB4;TNFRSF21;RIOK3;LAMA3;F11R;CD59;SNX9;UGCG;CDKN2B;FLNB;DSG2;MISP;TINAGL1;PCDH1;LAMC2;CXCL16;PLAUR;SEMA3B;PTPRH;AHNAK2;EMP1;MXD1;PRSS22;LIPH;MYH14;B4GALT1;ANXA11;TSPAN3;DDR1;PPARD;CGN;CEACAM5;CRB3;PDZK1IP1;RNF103;BMP2;ITGB1;PTK6;EPS8L1;KLK10;DUSP5;CDCP1;FA2H;LMO7;SLPI;SMAD3;HEBP2;STK24;EFNB1;EZR;GJB3;ADAM9;ITGA2;PINK1;BAIAP2L1;B4GALNT3;GPRC5A;CLIC3;CD68;USP53;GBP3;CDA;TJP3;RHOF	REC_up	Core HRC	targeted	1	0
iREC	targeted_predeclared	10824	2000	CANELLAS_CORE_HRC	0.7496504451093777	3.102822155842099	0.0	0.0	0.0	63/95	13.17%	MUC13;CEACAM1;CYP3A5;LIPH;PLAUR;TSPAN1;UGCG;LMO7;SLPI;CD55;SDCBP2;SLC44A4;MISP;MXD1;TMPRSS2;TMBIM1;PTPRH;TSPAN3;SLC6A8;CGN;CAMK2N1;SNX9;RNF103;CDKN2B;RIOK3;STK24;DUSP5;ARFGAP3;GBP3;EFNB1;TJP3;TIMP2;SERINC2;CEACAM5;FA2H;PCDH1;CD68;RRAS;JUP;HEBP2;PDZK1IP1;MYH14;CRB3;F11R;CDCP1;PPARD;PTK6;GPRC5A;DSG2;RHOF;SMAD3;LRP10;CXCL16;TINAGL1;TMPRSS4;USP53;SEMA3B;EPS8L1;FLNB;BMP2;SLC2A1;AHNAK;B4GALNT3	REC_up	Core HRC	targeted	2	0
Hypoxia	targeted_predeclared	12496	2000	NUSSE_REGENERATIVE	0.7553565484017409	2.8012355950586216	0.0	0.0	0.0	43/72	8.71%	APOL1;ISG15;OAS1;MX1;TAP1;DUOXA2;IFI44;OAS3;OASL;UBD;SLC16A3;IDO1;ZBP1;IRF7;HLA-DQB1;GBP2;S100A6;CD74;BST2;ADM;PLA2G2F;CHAC1;APOL2;CXCL9;AREG;CAPN2;NPTX2;RHOF;KCNK6;STXBP1;GBP4;SPATS2L;S100A14;PHLDA2;B3GALT5;TRIB3;SERPINB5;PLK3;ICAM1;CIITA;DUOXA1;TNFSF9;DUSP1	REC_up	Regenerative epithelium	targeted	0	1
UPR	targeted_predeclared	10358	2000	NUSSE_REGENERATIVE	0.6958187245457184	2.50302950732044	0.0	0.0	0.0	29/53	10.73%	OAS1;ISG15;SLC16A3;OAS3;ZBP1;S100A6;TRIB3;GBP2;TAP1;CAPN2;AREG;MX1;PHLDA2;APOL1;SPATS2L;ADM;S100A14;DUOXA2;SLC7A11;IRF7;OASL;IDO1;NPTX2;SH3KBP1;CD74;IFI44;KCNK6;RHOF;STXBP1	REC_up	Regenerative epithelium	targeted	1	1
iREC	targeted_predeclared	10824	2000	NUSSE_REGENERATIVE	0.4999055672006983	1.8999527709154345	0.0	0.0006864090998234	0.007	25/61	19.90%	APOL1;DUOXA2;SPATS2L;TRIB3;SLC16A3;CHAC1;GBP2;APOL2;SH3KBP1;ADM;ZBP1;CAPN2;KCNK6;OAS1;AK4;RHOF;AREG;ISG15;LPCAT4;DUOXA1;S100A14;OAS3;NPTX2;MX1;SLC17A9	REC_up	Regenerative epithelium	targeted	2	1
Hypoxia	targeted_predeclared	12496	2000	PUBLISHED_PEMT	0.7017737098305907	2.477102095158822	0.0	0.0	0.0	35/53	16.88%	QSOX1;PLAUR;SDC4;ECM1;CD59;TGM2;IL32;DKK1;TNFRSF12A;PPIB;LAMA3;RHOB;CAPG;FUCA1;ITGB1;AREG;SLC6A8;MMP1;IL15;LAMC2;ENO2;TPM4;SAT1;TNFRSF11B;DST;CXCL8;IGFBP2;SDC1;ITGA2;GADD45B;PLOD2;CXCL1;VEGFA;LRP1;CALU	REC_up	Partial EMT	targeted	0	2
UPR	targeted_predeclared	10358	2000	PUBLISHED_PEMT	0.7007102122138025	2.51758080317032	0.0	0.0	0.0	30/50	13.24%	IL32;QSOX1;PLOD2;SDC4;SLC6A8;DST;TNFRSF12A;VEGFA;LAMA3;CD59;LAMC2;PLAUR;AREG;ECM1;CAPG;PPIB;ITGB1;TGM2;CXCL1;GADD45A;ENO2;ITGA2;IGFBP2;RHOB;TNFRSF11B;LRP1;FUCA1;TPM4;CXCL8;IL15	REC_up	Partial EMT	targeted	1	2
iREC	targeted_predeclared	10824	2000	PUBLISHED_PEMT	0.520782303995175	1.8883637579902603	0.0008445945945945	0.000724123885528	0.008	12/49	9.80%	PLOD2;TGM2;PLAUR;VEGFA;LRP1;SAT1;SLC6A8;QSOX1;ENO2;IL15;IL32;AREG	REC_up	Partial EMT	targeted	2	2
Hypoxia	targeted_predeclared	12496	2000	HALLMARK_E2F_TARGETS	-0.595646031028459	-3.0313340793314603	0.0	0.0	0.0	100/182	18.34%	MMS22L;CHEK2;CENPE;TOP2A;BUB1B;PRKDC;CSE1L;LUC7L3;LMNB1;MCM7;RFC3;ATAD2;PAICS;CIT;KIF4A;NUP153;ORC6;HELLS;NUP205;SRSF1;CTPS1;RRM2;RAD51AP1;TACC3;KIF18B;EZH2;ORC2;LBR;UBE2T;KIF22;NOP56;SMC4;MYC;ILF3;MELK;DIAPH3;ASF1B;NUP107;BRCA2;PLK4;CKS2;GINS4;WDR90;CDC20;SRSF2;HMGB2;DNMT1;POLE;MRE11;HNRNPD;RACGAP1;AURKA;NME1;MCM4;NASP;AURKB;ESPL1;NOLC1;DEPDC1;PLK1;PDS5B;GINS1;BRCA1;BRMS1L;IPO7;TRA2B;GSPT1;MCM5;CDK1;SPAG5;CBX5;POLA2;BARD1;AK2;MCM6;RAD50;TIPIN;MSH2;WEE1;CHEK1;TBRG4;MKI67;DLGAP5;PNN;STAG1;KIF2C;HMMR;PSIP1;RPA2;NCAPD2;EXOSC8;KPNA2;UNG;XPO1;CDCA8;CENPM;PA2G4;TFRC;EED;CDKN3	REC_down	E2F targets	targeted	0	7
