rival	method	adjustment	patient	state	n_cells	n_repair_genes	n_junction_genes	rho
WHITE_RSC	matched	technical_only	CRC01	Hypoxia	100	79	24	0.1970957095709571
WHITE_RSC	matched	technical_plus_rival	CRC01	Hypoxia	100	79	24	0.079015901590159
WHITE_RSC	matched	technical_only	CRC01	REC	51	79	24	0.2490497737556561
WHITE_RSC	matched	technical_plus_rival	CRC01	REC	51	79	24	0.1518552036199095
WHITE_RSC	matched	technical_only	CRC01	iREC	35	79	24	0.3372549019607843
WHITE_RSC	matched	technical_plus_rival	CRC01	iREC	35	79	24	0.361344537815126
WHITE_RSC	matched	technical_only	CRC02	Hypoxia	160	79	24	0.2720789874604476
WHITE_RSC	matched	technical_plus_rival	CRC02	Hypoxia	160	79	24	0.0560090237899918
WHITE_RSC	matched	technical_only	CRC02	REC	13	79	24	0.3076923076923076
WHITE_RSC	matched	technical_plus_rival	CRC02	REC	13	79	24	0.3131868131868132
WHITE_RSC	matched	technical_only	CRC02	UPR	33	79	24	-0.1052807486631016
WHITE_RSC	matched	technical_plus_rival	CRC02	UPR	33	79	24	-0.0832219251336898
WHITE_RSC	matched	technical_only	CRC02	iREC	12	79	24	-0.1748251748251748
WHITE_RSC	matched	technical_plus_rival	CRC02	iREC	12	79	24	0.0489510489510489
WHITE_RSC	matched	technical_only	CRC03	Hypoxia	127	79	24	0.3674775028121484
WHITE_RSC	matched	technical_plus_rival	CRC03	Hypoxia	127	79	24	0.3120664604424447
WHITE_RSC	matched	technical_only	CRC03	REC	14	79	24	0.5472527472527472
WHITE_RSC	matched	technical_plus_rival	CRC03	REC	14	79	24	0.4813186813186813
WHITE_RSC	matched	technical_only	CRC03	iREC	20	79	24	-0.0571428571428571
WHITE_RSC	matched	technical_plus_rival	CRC03	iREC	20	79	24	-0.1609022556390977
WHITE_RSC	matched	technical_only	CRC04	Hypoxia	329	79	24	0.3201770466171089
WHITE_RSC	matched	technical_plus_rival	CRC04	Hypoxia	329	79	24	0.2788645967421266
WHITE_RSC	matched	technical_only	CRC04	REC	80	79	24	0.5150726676043131
WHITE_RSC	matched	technical_plus_rival	CRC04	REC	80	79	24	0.3894749179559306
WHITE_RSC	matched	technical_only	CRC04	UPR	257	79	24	0.1549103305130757
WHITE_RSC	matched	technical_plus_rival	CRC04	UPR	257	79	24	0.138646248077097
WHITE_RSC	matched	technical_only	CRC04	iREC	25	79	24	-0.0569230769230769
WHITE_RSC	matched	technical_plus_rival	CRC04	iREC	25	79	24	-0.2576923076923076
WHITE_RSC	matched	technical_only	CRC05	Hypoxia	104	79	24	0.3999786621145845
WHITE_RSC	matched	technical_plus_rival	CRC05	Hypoxia	104	79	24	0.3426010882321562
WHITE_RSC	matched	technical_only	CRC05	REC	96	79	24	0.4519940314704286
WHITE_RSC	matched	technical_plus_rival	CRC05	REC	96	79	24	0.2398941942485078
WHITE_RSC	matched	technical_only	CRC05	UPR	106	79	24	0.1253747134544172
WHITE_RSC	matched	technical_plus_rival	CRC05	UPR	106	79	24	0.0964455752323853
WHITE_RSC	matched	technical_only	CRC06	Hypoxia	110	79	24	0.4130964993350314
WHITE_RSC	matched	technical_plus_rival	CRC06	Hypoxia	110	79	24	0.1969163492099272
WHITE_RSC	matched	technical_only	CRC06	REC	94	79	24	0.2583751761008561
WHITE_RSC	matched	technical_plus_rival	CRC06	REC	94	79	24	0.3211284904092764
WHITE_RSC	matched	technical_only	CRC06	UPR	73	79	24	0.3403369122547205
