gene	component	mean_log_expression	detection_fraction	z_log_mean	z_logit_detection	matched
CLDN1	Claudin	0.4024207691956785	0.3195504521582658	0.8471735538230633	0.7762624716294464	True
CLDN10	Claudin	0.028006641767137	0.0307314779135344	-0.1305465354844737	-0.2103009551132307	False
CLDN11	Claudin	0.0178741749041021	0.0194404043150017	-0.2953007102381098	-0.3821508585401476	True
CLDN12	Claudin	0.2812453983694482	0.2584209424746229	0.7157360419812101	0.667060539810223	True
CLDN14	Claudin	0.0041198327900543	0.0066471479467363	-0.8336936375993952	-0.779690423555844	False
CLDN15	Claudin	0.1267354408578035	0.1142594601120278	0.4232972450636117	0.3033290604150677	False
CLDN16	Claudin	0.0488958689963753	0.0512137108733239	0.0738902972809132	-0.0155522857111384	True
CLDN18	Claudin	0.0410424671326896	0.0365372881367541	0.0096572479402862	-0.1447645358175854	False
CLDN19	Claudin	0.0006245146560304	0.0007119178333294	-1.525821517220957	-1.5995419701622522	False
CLDN2	Claudin	0.1143753311412222	0.1047169903182427	0.3856507384086204	0.2674865481015048	False
CLDN20	Claudin	0.0292363553806553	0.037685152719549	-0.1147818052268793	-0.1330063073631568	False
CLDN22	Claudin	8.720755457473561e-05	0.000158027812895	-2.248065756549037	-2.1506679129152704	False
CLDN23	Claudin	0.0197504910868368	0.0240081105193705	-0.258679567749536	-0.3031986969969706	False
CLDN3	Claudin	0.9206311339532508	0.5615841773972247	1.1507780801099194	1.1435340817676156	False
CLDN4	Claudin	1.1060432446569928	0.6282624833369493	1.21809252647417	1.2449848119095746	True
CLDN5	Claudin	0.0002683722794388	0.0017062248423399	-1.8356768842913416	-1.2792523920238497	False
CLDN6	Claudin	0.0026165248850538	0.0029350652721243	-1.000238400021828	-1.0802578612128395	False
CLDN7	Claudin	0.7027333299495835	0.4993190029266911	1.051694043636508	1.0519139184648192	True
CLDN8	Claudin	0.0005070760143013	0.0005855477275617	-1.602244909354439	-1.6711130653160184	False
CLDN9	Claudin	0.0054202560670129	0.0067278917458983	-0.7330509613032479	-0.7752414205302604	True
CRB3	Polarity	0.0614376148221083	0.0729769152020095	0.1576566982398053	0.1225602928932573	True
PALS1	Polarity	0.3647737759820809	0.3257103815259365	0.8111396057226868	0.7865794825690031	True
PARD3	Polarity	1.9219404665957136	0.8390893533214208	1.420803291273243	1.6573735112448764	True
PARD6A	Polarity	0.0088043781084974	0.0111247448474889	-0.555081779852635	-0.5895448241014587	True
PARD6B	Polarity	0.430444589324212	0.3586367807644836	0.871871146353579	0.8401514295696092	True
PARD6G	Polarity	0.0151470117980326	0.0176751317017079	-0.356036808542551	-0.4176519963305626	True
PATJ	Polarity	1.9458747355080812	0.8696727069398598	1.425343732940017	1.7476329012835612	False
PRKCI	Polarity	0.499470282986176	0.4122306689967043	0.9264350241867888	0.9230664560320252	True
