gene	column	status	value
CLDN1	Ogden_HRC_rho	estimated	0.0524058122498537
CLDN1	Spatial_HRC_rho	estimated	0.0417449484311808
CLDN1	Bulk_rHGP_minus_dHGP_logFC	estimated	0.480416823156513
CLDN1	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	1.18675768362061
CLDN1	Spatial_rHGP_minus_dHGP_near_logFC	estimated	1.167939711074
CLDN1	Liu_macro_minus_micro_logFC	estimated	-0.212760507721989
CLDN1	Same_section_macro_minus_micro_logFC	estimated	-0.232521161456882
CLDN2	Ogden_HRC_rho	estimated	-0.0302514091149686
CLDN2	Spatial_HRC_rho	estimated	0.0123086481996683
CLDN2	Bulk_rHGP_minus_dHGP_logFC	estimated	0.812663370095509
CLDN2	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	3.07366168314467
CLDN2	Spatial_rHGP_minus_dHGP_near_logFC	estimated	3.07008153530453
CLDN2	Liu_macro_minus_micro_logFC	estimated	0.828735678694252
CLDN2	Same_section_macro_minus_micro_logFC	estimated	0.910903849031887
CLDN3	Ogden_HRC_rho	estimated	0.0829743000717475
CLDN3	Spatial_HRC_rho	estimated	0.2303041441634324
CLDN3	Bulk_rHGP_minus_dHGP_logFC	estimated	-0.421816094939663
CLDN3	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	0.387169432799378
CLDN3	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.308468107762706
CLDN3	Liu_macro_minus_micro_logFC	estimated	0.424281824512207
CLDN3	Same_section_macro_minus_micro_logFC	estimated	0.592708916433243
CLDN4	Ogden_HRC_rho	estimated	0.1619839089679944
CLDN4	Spatial_HRC_rho	estimated	0.3354053605064335
CLDN4	Bulk_rHGP_minus_dHGP_logFC	estimated	-0.218487808048476
CLDN4	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	0.273538198579311
CLDN4	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.192749827088591
CLDN4	Liu_macro_minus_micro_logFC	estimated	0.259817027613646
CLDN4	Same_section_macro_minus_micro_logFC	estimated	0.472547219697368
CLDN5	Ogden_HRC_rho	estimated	-0.0181138591453546
CLDN5	Spatial_HRC_rho	estimated	0.0134078165125427
CLDN5	Bulk_rHGP_minus_dHGP_logFC	estimated	0.751128685886128
CLDN5	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	1.71782562290219
CLDN5	Spatial_rHGP_minus_dHGP_near_logFC	estimated	1.79925711484277
CLDN5	Liu_macro_minus_micro_logFC	estimated	-1.00863569052773
CLDN5	Same_section_macro_minus_micro_logFC	estimated	-0.608504712233626
CLDN6	Ogden_HRC_rho	estimated	0.018475355849202
CLDN6	Spatial_HRC_rho	estimated	0.0063032599363906
CLDN6	Bulk_rHGP_minus_dHGP_logFC	abundance_ineligible	
CLDN6	Spatial_rHGP_minus_dHGP_tumour_logFC	abundance_ineligible	
CLDN6	Spatial_rHGP_minus_dHGP_near_logFC	abundance_ineligible	
CLDN6	Liu_macro_minus_micro_logFC	estimated	-0.406346781492404
CLDN6	Same_section_macro_minus_micro_logFC	estimated	-0.15367261756724
CLDN7	Ogden_HRC_rho	estimated	0.0765332311244135
