Ogden_state	NC3_six_marker_z_mean	KRT19_state_z	KRT18_state_z	CDX2_state_z	KRT20_state_z	ASCL2_state_z	SLPI_state_z	marker_score_rank	highlight
UPR	-0.641921963484313	-1.24006767772195	-0.808503051768017	0.555488313182813	-1.12817357259633	0.59652832018438	-1.82680411218677	10	Other states
Stem NOTUM	-0.532189418219833	-0.623707035422765	-1.41727761394666	-0.422164494788971	-1.09479037027528	0.856320098983801	-0.49151709386912	9	Other states
Hypoxia	-0.264836524198196	0.614695777111195	-0.979430228804708	0.0444400922559522	0.0930887441852082	-0.954543035772307	-0.407270494164517	8	Other states
Intermediate	-0.25882721948956	-0.148956060513688	0.24079069845091	-0.650678453427688	-0.100807264536122	0.107498180610286	-1.00081041752106	7	Other states
TA1	-0.162089316314403	-0.537094883176203	-0.561809250131155	0.157323156437978	-0.708774426250156	0.465512294226173	0.212307211006947	6	Other states
Stem	0.304786458376332	-0.328567825423142	1.12893158384707	0.938869400971687	-1.35290452135191	1.45778926813926	-0.0153991559249691	5	Other states
Goblet	0.308600805604795	-0.351890516776356	-0.322692743316839	0.364175945720516	1.43870323180101	-0.407557283870614	1.13086620007105	4	Other states
iREC	0.362450992498399	1.90501565029004	2.09777618118857	-2.33040692656704	0.519940195944348	0.00624542026396687	-0.0238645661294984	3	Other states
Colonocyte	0.416271892274739	-0.923656030984519	0.184821456466676	1.5978792779283	0.92832767667423	0.204254840149325	0.506004133414428	2	Other states
REC	0.467754292952044	1.63422860261739	0.43739296801417	-0.254926311713537	1.405390306405	-2.33204810291427	1.91648829530351	1	REC
