gene	program_rank	patient	difference
TSPAN1	5	CRC01	2.12799732759854
TSPAN1	5	CRC04	2.07149087592423
TSPAN1	5	CRC05	1.58520130571964
TSPAN1	5	CRC06	2.17560487629913
TSPAN1	5	CRC08	1.99708704990291
TSPAN1	5	CRC10	1.89034263832725
TSPAN1	5	CRC12	3.06832708018702
TSPAN1	5	CRC14	1.07817542257364
TSPAN1	5	CRC15	2.15292774014286
QSOX1	7	CRC01	1.78306395454494
QSOX1	7	CRC04	1.65599451483055
QSOX1	7	CRC05	1.29220446139541
QSOX1	7	CRC06	0.746608993215717
QSOX1	7	CRC08	1.39377382058457
QSOX1	7	CRC10	1.82587515798366
QSOX1	7	CRC12	1.86376900505411
QSOX1	7	CRC14	1.38696474812816
QSOX1	7	CRC15	1.39435080588621
C4BPB	10	CRC01	1.32003126448859
C4BPB	10	CRC04	2.80762293452258
C4BPB	10	CRC05	2.11210169989966
C4BPB	10	CRC06	1.73567685085095
C4BPB	10	CRC08	1.25911424436453
C4BPB	10	CRC10	2.81654492151267
C4BPB	10	CRC12	1.64337489160855
C4BPB	10	CRC14	1.62272508669786
C4BPB	10	CRC15	3.14369538554885
MUC13	8	CRC01	1.44267434516959
MUC13	8	CRC04	1.11541533673115
MUC13	8	CRC05	0.806981908496454
MUC13	8	CRC06	1.63572431157985
MUC13	8	CRC08	1.25977833232218
MUC13	8	CRC10	2.04119540820492
MUC13	8	CRC12	1.84353446593733
MUC13	8	CRC14	1.3441436675434
MUC13	8	CRC15	1.56698839728579
STBD1	12	CRC01	1.3200555481668
STBD1	12	CRC04	2.11479788771112
STBD1	12	CRC05	1.59363166734813
STBD1	12	CRC06	1.49637290540947
STBD1	12	CRC08	2.03888588227342
STBD1	12	CRC10	2.04977233658325
STBD1	12	CRC12	2.53024508922288
STBD1	12	CRC14	1.74811740773665
STBD1	12	CRC15	2.3756338413406
ANKRD37	1	CRC01	1.97435219473553
ANKRD37	1	CRC04	1.92543270691666
ANKRD37	1	CRC05	2.43776118620031
ANKRD37	1	CRC06	0.942553205559427
ANKRD37	1	CRC08	3.03279573706365
ANKRD37	1	CRC10	2.43080632637303
ANKRD37	1	CRC12	2.2892130362211
ANKRD37	1	CRC14	1.89316189762119
ANKRD37	1	CRC15	2.45440788008765
DUOX2	4	CRC01	3.38422912618298
DUOX2	4	CRC04	-0.0298210298574029
DUOX2	4	CRC05	2.34447735693584
DUOX2	4	CRC06	3.16286152383749
DUOX2	4	CRC08	2.31260294126234
DUOX2	4	CRC10	3.22730633311229
DUOX2	4	CRC12	2.27501067547167
DUOX2	4	CRC14	-2.4796094253432e-06
DUOX2	4	CRC15	4.8306708901757
DUOXA2	3	CRC01	5.48029689674727
DUOXA2	3	CRC04	-1.10831771362122
DUOXA2	3	CRC05	2.62685504631103
DUOXA2	3	CRC06	4.625975941606
DUOXA2	3	CRC08	4.35605900046283
DUOXA2	3	CRC10	4.42630939980256
DUOXA2	3	CRC12	3.56493858650966
DUOXA2	3	CRC14	-6.2934864093922e-05
DUOXA2	3	CRC15	6.00454444418434
KRT20	9	CRC01	1.20448352634989
KRT20	9	CRC04	1.85095194636098
KRT20	9	CRC05	1.66750677909956
KRT20	9	CRC06	0.907327559903843
KRT20	9	CRC08	2.1506488364928
KRT20	9	CRC10	1.57219762324678
KRT20	9	CRC12	2.38647561202683
KRT20	9	CRC14	1.64034670421165
KRT20	9	CRC15	2.4839663747718
SLC16A3	11	CRC01	1.02876459086633
SLC16A3	11	CRC04	1.66695682785756
SLC16A3	11	CRC05	1.33440305813637
SLC16A3	11	CRC06	1.23426481719148
SLC16A3	11	CRC08	1.32247644731259
SLC16A3	11	CRC10	1.5048727168235
SLC16A3	11	CRC12	2.09243388121928
SLC16A3	11	CRC14	1.30017972590967
SLC16A3	11	CRC15	2.11628710514913
PLAUR	6	CRC01	1.34308773911244
PLAUR	6	CRC04	1.70296250638577
PLAUR	6	CRC05	2.06971600327966
PLAUR	6	CRC06	1.33586140885934
PLAUR	6	CRC08	1.37076916079551
PLAUR	6	CRC10	2.43010335459523
PLAUR	6	CRC12	2.14270624051258
PLAUR	6	CRC14	1.45327446026417
PLAUR	6	CRC15	2.10667513067675
SDCBP2	2	CRC01	2.0144276708304
SDCBP2	2	CRC04	2.59061506991869
SDCBP2	2	CRC05	3.33166673031341
SDCBP2	2	CRC06	1.82364264771071
SDCBP2	2	CRC08	2.10528846004858
SDCBP2	2	CRC10	2.71821025211636
SDCBP2	2	CRC12	2.5188381767938
SDCBP2	2	CRC14	1.91299564313077
SDCBP2	2	CRC15	3.36289660546858
