sample	class	hgp	tissue	rec_program_score	pooled_program_log2_cpm
KR-004	D_N	dHGP	Adjacent liver	-0.356557749955959	11.6292753543872
KR-006	D_N	dHGP	Adjacent liver	-0.0553774208605843	11.7822279801339
KR-008	D_N	dHGP	Adjacent liver	-0.308901452080077	12.0351043298387
KR-012	D_N	dHGP	Adjacent liver	0.029673151916161	12.2936589348911
KR-016	D_N	dHGP	Adjacent liver	0.0760318592651375	12.0849563957931
KR-018	D_N	dHGP	Adjacent liver	-0.593811962507212	11.7137905044738
KR-026	D_N	dHGP	Adjacent liver	-0.110412919943004	12.6712971616166
KR-028	D_N	dHGP	Adjacent liver	-0.22338406987429	11.9139119537761
KR-065	D_N	dHGP	Adjacent liver	-0.676768158250482	11.2812653615209
KR-010	R_N	rHGP	Adjacent liver	-0.33109339504184	12.4822881690596
KR-014	R_N	rHGP	Adjacent liver	-0.237271792089668	11.7870176056105
KR-020	R_N	rHGP	Adjacent liver	0.102165643404538	11.9388154107625
KR-022	R_N	rHGP	Adjacent liver	-0.5981307125664	12.2333493294919
KR-032	R_N	rHGP	Adjacent liver	0.122848176501313	12.3079340795793
KR-067	R_N	rHGP	Adjacent liver	-0.215727188895826	11.631470365173
KR-003	D_T	dHGP	Tumour	0.197761106769681	12.2887467831878
KR-005	D_T	dHGP	Tumour	0.131854158434264	11.9386681675396
KR-007	D_T	dHGP	Tumour	0.299747551600759	12.2803352543732
KR-011	D_T	dHGP	Tumour	0.215422917536603	11.7384224952709
KR-015	D_T	dHGP	Tumour	-0.359742907768938	11.1352151642743
KR-017	D_T	dHGP	Tumour	0.275548103025107	12.1530529516928
KR-025	D_T	dHGP	Tumour	-0.0786069563571951	11.7932804113094
KR-027	D_T	dHGP	Tumour	0.0930220521226659	11.4871797618305
KR-064	D_T	dHGP	Tumour	0.107363812978502	11.638603215695
KR-009	R_T	rHGP	Tumour	0.38708792352897	11.8901935485653
KR-013	R_T	rHGP	Tumour	0.329543416903811	11.8395082726127
KR-019	R_T	rHGP	Tumour	0.372362050880187	12.8343979533169
KR-021	R_T	rHGP	Tumour	0.223122985051912	11.9033651066062
KR-031	R_T	rHGP	Tumour	0.540611303075397	11.9941429726861
KR-066	R_T	rHGP	Tumour	0.641620473196466	12.3978333305947
